员工ID,姓名,事业部,城市,站点,岗位,员工状态,申购情况,申购订单状态
49,员工49,事业部4,城市3,站点31,岗位2,正式,已申购,已支付
50,员工50,事业部8,城市14,站点32,岗位2,正式,已申购,已支付
51,员工51,事业部4,城市6,站点11,岗位2,正式,已申购,已支付
52,员工52,事业部5,城市2,站点33,岗位6,正式,未申购,
53,员工53,事业部3,城市2,站点4,岗位2,正式,已申购,已支付
54,员工54,事业部4,城市3,站点31,岗位2,正式,已申购,已支付
55,员工55,事业部14,城市2,站点34,岗位7,正式,已申购,已支付
56,员工56,事业部7,城市5,站点9,岗位2,正式,已申购,已支付
57,员工57,事业部13,城市15,站点35,岗位2,正式,已申购,已支付
58,员工58,事业部11,城市16,站点36,岗位2,正式,已申购,已支付
59,员工59,事业部9,城市7,站点37,岗位2,正式,已申购,已支付
60,员工60,事业部8,城市14,站点22,岗位2,正式,已申购,已支付
61,员工61,事业部2,城市8,站点13,岗位2,正式,已申购,已支付
62,员工62,事业部2,城市1,站点2,岗位2,正式,已申购,已支付
63,员工63,事业部3,城市2,站点4,岗位2,正式,已申购,已支付
64,员工64,事业部6,城市9,站点38,岗位2,正式,已申购,已支付
65,员工65,事业部1,城市1,站点1,岗位2,正式,已申购,已支付
66,员工66,事业部2,城市3,站点39,岗位2,正式,已申购,已支付
67,员工67,事业部2,城市5,站点10,岗位2,正式,已申购,已支付
68,员工68,事业部8,城市10,站点19,岗位2,正式,已申购,已支付
69,员工69,事业部3,城市2,站点4,岗位2,正式,已申购,已支付
70,员工70,事业部2,城市2,站点3,岗位4,正式,已申购,已支付
71,员工71,事业部11,城市16,站点36,岗位2,正式,已申购,已支付
72,员工72,事业部1,城市1,站点40,岗位4,正式,已申购,已支付
73,员工73,事业部4,城市3,站点5,岗位2,正式,已申购,已支付
74,员工74,事业部12,城市13,站点21,岗位2,正式,已申购,已支付
75,员工75,事业部6,城市9,站点14,岗位1,正式,已申购,已支付
76,员工76,事业部11,城市12,站点20,岗位2,正式,已申购,已支付
77,员工77,事业部7,城市5,站点9,岗位3,正式,未申购,
78,员工78,事业部1,城市1,站点1,岗位2,正式,已申购,已支付
79,员工79,事业部6,城市9,站点14,岗位2,正式,已申购,已支付
80,员工80,事业部1,城市1,站点24,岗位2,正式,已申购,已支付
81,员工81,事业部1,城市1,站点24,岗位2,正式,已申购,已支付
82,员工82,事业部1,城市1,站点24,岗位2,正式,已申购,已支付
83,员工83,事业部8,城市14,站点22,岗位2,正式,已申购,已支付
84,员工84,事业部4,城市3,站点5,岗位4,正式,已申购,已支付
85,员工85,事业部11,城市12,站点20,岗位1,正式,已申购,已支付
86,员工86,事业部9,城市7,站点37,岗位2,正式,已申购,已支付
87,员工87,事业部9,城市7,站点37,岗位4,正式,已申购,已支付
88,员工88,事业部4,城市3,站点31,岗位4,正式,已申购,已支付
89,员工33,事业部8,城市10,站点16,岗位3,正式,已申购,已支付
90,员工89,事业部9,城市7,站点37,岗位4,正式,已申购,已支付
91,员工90,事业部2,城市3,站点39,岗位3,正式,已申购,已支付
92,员工91,事业部2,城市3,站点39,岗位4,正式,已申购,已支付
93,员工92,事业部5,城市2,站点6,岗位2,正式,已申购,已支付
94,员工93,事业部11,城市16,站点36,岗位2,正式,未申购,
95,员工94,事业部4,城市3,站点31,岗位2,正式,已申购,已支付
96,员工95,事业部4,城市3,站点31,岗位2,正式,已申购,已支付
97,员工96,事业部2,城市7,站点12,岗位4,正式,已申购,已支付
98,员工97,事业部4,城市3,站点5,岗位1,正式,已申购,已支付
99,员工98,事业部4,城市3,站点5,岗位2,正式,已申购,已支付
100,员工99,事业部6,城市9,站点14,岗位2,正式,未申购,
101,员工100,事业部6,城市4,站点7,岗位2,正式,已申购,已支付
102,员工101,事业部4,城市3,站点5,岗位4,正式,已申购,已支付
103,员工102,事业部6,城市9,站点14,岗位2,正式,已申购,已支付
104,员工103,事业部11,城市12,站点20,岗位2,正式,已申购,已支付
105,员工54,事业部6,城市9,站点14,岗位2,正式,已申购,已支付
106,员工104,事业部3,城市2,站点4,岗位7,正式,已申购,已支付
107,员工105,事业部13,城市15,站点35,岗位2,正式,已申购,已支付
108,员工106,事业部11,城市16,站点36,岗位2,正式,已申购,已支付
109,员工107,事业部3,城市2,站点4,岗位2,正式,已申购,已支付
110,员工108,事业部1,城市1,站点24,岗位2,正式,已申购,已支付
111,员工109,事业部14,城市2,站点34,岗位2,正式,已申购,已支付
112,员工110,事业部4,城市6,站点11,岗位2,正式,已申购,已支付
113,员工111,事业部5,城市2,站点6,岗位2,正式,已申购,已支付
114,员工112,事业部9,城市7,站点29,岗位4,正式,已申购,已支付
115,员工113,事业部11,城市12,站点20,岗位2,正式,已申购,已支付
116,员工114,事业部1,城市1,站点1,岗位2,正式,已申购,已支付
117,员工115,事业部2,城市3,站点39,岗位2,正式,已申购,已支付
118,员工116,事业部5,城市2,站点6,岗位4,正式,已申购,已支付
119,员工117,事业部12,城市13,站点21,岗位5,正式,已申购,已支付
120,员工118,事业部8,城市10,站点16,岗位2,正式,已申购,已支付
121,员工119,事业部8,城市10,站点16,岗位2,正式,已申购,已支付
122,员工120,事业部1,城市1,站点24,岗位2,正式,已申购,已支付
123,员工121,事业部5,城市2,站点6,岗位2,正式,已申购,已支付
124,员工122,事业部5,城市2,站点6,岗位4,正式,已申购,已支付
125,员工123,事业部2,城市2,站点3,岗位2,正式,已申购,已支付
126,员工124,事业部14,城市2,站点41,岗位2,正式,已申购,已支付
127,员工125,事业部1,城市1,站点24,岗位2,正式,已申购,已支付
128,员工126,事业部1,城市1,站点1,岗位2,正式,已申购,已支付
129,员工127,事业部2,城市2,站点3,岗位2,正式,已申购,已支付
130,员工128,事业部10,城市8,站点42,岗位2,正式,已申购,已支付
131,员工129,事业部5,城市2,站点6,岗位2,正式,已申购,已支付
132,员工130,事业部14,城市2,站点34,岗位2,正式,已申购,已支付
133,员工131,事业部5,城市2,站点6,岗位4,正式,已申购,已支付
134,员工132,事业部8,城市10,站点16,岗位2,正式,已申购,已支付
135,员工133,事业部14,城市2,站点34,岗位4,正式,已申购,已支付
136,员工134,事业部1,城市1,站点40,岗位5,正式,已申购,已支付
137,员工135,事业部14,城市2,站点34,岗位2,正式,已申购,已支付
138,员工136,事业部2,城市2,站点3,岗位2,正式,已申购,已支付
139,员工137,事业部10,城市17,站点43,岗位2,正式,已申购,已支付
140,员工138,事业部4,城市3,站点5,岗位4,正式,已申购,已支付
141,员工139,事业部9,城市7,站点37,岗位2,正式,已申购,已支付
142,员工140,事业部2,城市3,站点39,岗位2,正式,已申购,已支付
143,员工141,事业部3,城市2,站点28,岗位4,正式,已申购,已支付
144,员工142,事业部10,城市8,站点42,岗位7,正式,已申购,已支付
145,员工143,事业部8,城市10,站点16,岗位7,正式,已申购,已支付
146,员工144,事业部3,城市2,站点4,岗位4,正式,已申购,已支付
147,员工145,事业部9,城市7,站点37,岗位2,正式,已申购,已支付
148,员工146,事业部8,城市10,站点16,岗位2,正式,已申购,已支付
149,员工147,事业部11,城市12,站点20,岗位2,正式,已申购,已支付
150,员工148,事业部5,城市2,站点6,岗位4,正式,已申购,已支付
151,员工149,事业部3,城市2,站点4,岗位2,正式,已申购,已支付
152,员工150,事业部2,城市2,站点3,岗位2,正式,已申购,已支付
153,员工151,事业部2,城市3,站点39,岗位4,正式,已申购,已支付
154,员工152,事业部5,城市2,站点6,岗位2,正式,已申购,已支付
155,员工153,事业部2,城市3,站点39,岗位2,正式,已申购,已支付
156,员工154,事业部8,城市10,站点16,岗位2,正式,已申购,已支付
157,员工155,事业部4,城市3,站点5,岗位2,正式,已申购,已支付
158,员工156,事业部5,城市2,站点33,岗位2,正式,未申购,
159,员工157,事业部2,城市2,站点3,岗位2,正式,已申购,已支付
160,员工158,事业部2,城市2,站点3,岗位2,正式,已申购,已支付
161,员工159,事业部1,城市1,站点40,岗位2,正式,已申购,已支付
162,员工160,事业部14,城市2,站点34,岗位1,正式,已申购,已支付
163,员工161,事业部2,城市1,站点2,岗位2,正式,已申购,已支付
164,员工101,事业部6,城市9,站点14,岗位4,正式,已申购,已支付
165,员工162,事业部10,城市8,站点26,岗位2,正式,已申购,已支付
166,员工163,事业部9,城市7,站点37,岗位2,正式,未申购,
167,员工164,事业部2,城市1,站点2,岗位2,正式,已申购,已支付
168,员工165,事业部5,城市2,站点6,岗位4,正式,已申购,已支付
169,员工166,事业部11,城市12,站点20,岗位2,正式,已申购,已支付
170,员工167,事业部4,城市3,站点5,岗位2,正式,已申购,已支付
171,员工168,事业部11,城市16,站点36,岗位2,正式,未申购,
172,员工169,事业部3,城市2,站点4,岗位2,正式,已申购,已支付
173,员工170,事业部2,城市7,站点12,岗位2,正式,已申购,已支付
174,员工171,事业部9,城市11,站点17,岗位2,正式,已申购,已支付
175,员工172,事业部14,城市2,站点34,岗位2,正式,已申购,已支付
176,员工173,事业部9,城市11,站点17,岗位4,正式,已申购,已支付
177,员工174,事业部4,城市3,站点31,岗位2,正式,已申购,已支付
178,员工175,事业部11,城市16,站点36,岗位3,正式,已申购,已支付
179,员工176,事业部9,城市11,站点17,岗位2,正式,已申购,已支付
180,员工177,事业部4,城市3,站点31,岗位2,正式,已申购,已支付
181,员工178,事业部8,城市14,站点22,岗位2,正式,已申购,已支付
182,员工179,事业部9,城市7,站点44,岗位2,正式,已申购,已支付
183,员工9,事业部9,城市11,站点17,岗位4,正式,已申购,已支付
184,员工180,事业部8,城市10,站点16,岗位2,正式,已申购,已支付
185,员工181,事业部1,城市1,站点40,岗位4,正式,已申购,已支付
186,员工182,事业部2,城市8,站点13,岗位2,正式,已申购,已支付
187,员工183,事业部12,城市13,站点21,岗位2,正式,已申购,已支付
188,员工184,事业部9,城市11,站点17,岗位2,正式,已申购,已支付
189,员工185,事业部14,城市2,站点41,岗位2,正式,已申购,已支付
190,员工186,事业部3,城市2,站点4,岗位4,正式,已申购,已支付
191,员工187,事业部5,城市2,站点6,岗位2,正式,已申购,已支付
192,员工188,事业部10,城市17,站点43,岗位2,正式,已申购,已支付
193,员工189,事业部7,城市5,站点9,岗位4,正式,已申购,已支付
194,员工190,事业部8,城市10,站点16,岗位2,正式,已申购,已支付
195,员工191,事业部8,城市10,站点16,岗位2,正式,已申购,已支付
196,员工192,事业部9,城市7,站点37,岗位1,正式,已申购,已支付
197,员工193,事业部2,城市2,站点3,岗位2,正式,已申购,已支付
198,员工194,事业部8,城市18,站点45,岗位2,正式,已申购,已支付
199,员工195,事业部8,城市10,站点16,岗位2,正式,已申购,已支付
200,员工196,事业部4,城市6,站点11,岗位1,正式,已申购,已支付
201,员工197,事业部4,城市6,站点11,岗位2,正式,已申购,已支付
202,员工198,事业部9,城市11,站点17,岗位2,正式,已申购,已支付
203,员工199,事业部4,城市3,站点31,岗位2,正式,已申购,已支付
204,员工200,事业部14,城市2,站点46,岗位2,正式,已申购,已支付
205,员工201,事业部8,城市10,站点16,岗位6,正式,已申购,已支付
206,员工202,事业部2,城市7,站点12,岗位2,正式,已申购,已支付
207,员工203,事业部2,城市2,站点3,岗位1,正式,已申购,已支付
208,员工204,事业部2,城市2,站点3,岗位2,正式,已申购,已支付
209,员工205,事业部5,城市2,站点6,岗位2,正式,已申购,已支付
210,员工206,事业部5,城市2,站点6,岗位2,正式,已申购,已支付
211,员工207,事业部1,城市1,站点1,岗位4,正式,已申购,已支付
212,员工208,事业部2,城市8,站点13,岗位2,正式,已申购,已支付
213,员工209,事业部2,城市3,站点39,岗位2,正式,已申购,已支付
214,员工210,事业部5,城市2,站点6,岗位2,正式,已申购,已支付
215,员工211,事业部1,城市1,站点24,岗位2,正式,已申购,已支付
216,员工212,事业部8,城市14,站点22,岗位2,正式,已申购,已支付
217,员工213,事业部14,城市2,站点34,岗位4,正式,已申购,已支付
218,员工214,事业部11,城市16,站点36,岗位2,正式,已申购,已支付
219,员工215,事业部5,城市2,站点6,岗位2,正式,已申购,已支付
220,员工216,事业部9,城市7,站点37,岗位2,正式,已申购,已支付
221,员工217,事业部3,城市2,站点28,岗位2,正式,已申购,已支付
222,员工218,事业部8,城市10,站点16,岗位2,正式,已申购,已支付
223,员工219,事业部1,城市1,站点1,岗位2,正式,已申购,已支付
224,员工220,事业部3,城市2,站点4,岗位4,正式,已申购,已支付
225,员工221,事业部2,城市8,站点13,岗位2,正式,已申购,已支付
226,员工222,事业部8,城市18,站点45,岗位2,正式,已申购,已支付
227,员工223,事业部2,城市1,站点2,岗位7,正式,已申购,已支付
228,员工224,事业部8,城市10,站点16,岗位2,正式,已申购,已支付
229,员工225,事业部11,城市16,站点36,岗位2,正式,已申购,已支付
230,员工226,事业部4,城市3,站点31,岗位4,正式,已申购,已支付
231,员工227,事业部4,城市3,站点31,岗位2,正式,已申购,已支付
232,员工228,事业部4,城市3,站点31,岗位2,正式,已申购,已支付
233,员工229,事业部11,城市16,站点36,岗位4,正式,已申购,已支付
234,员工230,事业部11,城市16,站点36,岗位2,正式,未申购,
235,员工231,事业部2,城市1,站点2,岗位2,正式,已申购,已支付
236,员工232,事业部9,城市11,站点17,岗位2,正式,已申购,已支付
237,员工233,事业部14,城市2,站点34,岗位2,正式,已申购,已支付
238,员工234,事业部3,城市2,站点4,岗位4,正式,已申购,已支付
239,员工235,事业部2,城市3,站点39,岗位1,正式,已申购,已支付
240,员工236,事业部6,城市9,站点14,岗位2,正式,已申购,已支付
241,员工237,事业部2,城市3,站点39,岗位2,正式,已申购,已支付
242,员工238,事业部2,城市7,站点12,岗位2,正式,已申购,已支付
243,员工239,事业部2,城市5,站点10,岗位2,正式,已申购,已支付
244,员工240,事业部2,城市8,站点13,岗位2,正式,已申购,已支付
245,员工241,事业部9,城市7,站点29,岗位2,正式,已申购,已支付
246,员工242,事业部9,城市7,站点37,岗位4,正式,已申购,已支付
247,员工243,事业部8,城市18,站点45,岗位2,正式,已申购,已支付
248,员工244,事业部2,城市1,站点2,岗位2,正式,已申购,已支付
249,员工245,事业部2,城市1,站点2,岗位2,正式,已申购,已支付
250,员工246,事业部3,城市2,站点4,岗位4,正式,已申购,已支付
251,员工247,事业部3,城市2,站点4,岗位2,正式,已申购,已支付
252,员工248,事业部2,城市15,站点25,岗位2,正式,已申购,已支付
253,员工249,事业部11,城市16,站点36,岗位2,正式,已申购,已支付
254,员工250,事业部2,城市8,站点13,岗位2,正式,已申购,已支付
255,员工251,事业部3,城市2,站点4,岗位2,正式,已申购,已支付
256,员工252,事业部5,城市2,站点6,岗位2,正式,已申购,已支付
257,员工253,事业部6,城市9,站点14,岗位2,正式,未申购,
258,员工254,事业部5,城市2,站点47,岗位2,正式,已申购,已支付
259,员工255,事业部10,城市8,站点48,岗位2,正式,已申购,已支付
260,员工256,事业部4,城市3,站点5,岗位2,正式,已申购,已支付
261,员工257,事业部11,城市16,站点36,岗位4,正式,已申购,已支付
262,员工258,事业部10,城市17,站点43,岗位2,正式,已申购,已支付
263,员工259,事业部8,城市10,站点16,岗位2,正式,已申购,已支付
264,员工260,事业部9,城市7,站点29,岗位2,正式,已申购,已支付
265,员工261,事业部4,城市3,站点5,岗位2,正式,已申购,已支付
266,员工262,事业部2,城市5,站点10,岗位2,正式,已申购,已支付
267,员工263,事业部12,城市13,站点21,岗位2,正式,已申购,已支付
268,员工264,事业部3,城市2,站点4,岗位3,正式,已申购,已支付
269,员工265,事业部7,城市5,站点9,岗位2,正式,已申购,已支付
270,员工266,事业部10,城市8,站点48,岗位2,正式,已申购,已支付
271,员工267,事业部7,城市5,站点9,岗位2,正式,已申购,已支付
272,员工268,事业部10,城市17,站点43,岗位2,正式,已申购,已支付
273,员工269,事业部3,城市2,站点4,岗位2,正式,已申购,已支付
274,员工270,事业部13,城市15,站点49,岗位3,正式,未申购,
275,员工271,事业部3,城市2,站点4,岗位1,正式,已申购,已支付
276,员工272,事业部7,城市5,站点15,岗位4,正式,已申购,已支付
277,员工273,事业部4,城市3,站点31,岗位4,正式,已申购,已支付
278,员工274,事业部5,城市2,站点33,岗位2,正式,未申购,
279,员工275,事业部6,城市9,站点14,岗位2,正式,已申购,已支付
280,员工276,事业部7,城市5,站点9,岗位4,正式,已申购,已支付
281,员工277,事业部5,城市2,站点6,岗位2,正式,已申购,已支付
282,员工278,事业部13,城市15,站点23,岗位2,正式,已申购,已支付
283,员工279,事业部8,城市18,站点45,岗位2,正式,未申购,
284,员工280,事业部3,城市2,站点4,岗位2,正式,已申购,已支付
285,员工281,事业部5,城市2,站点6,岗位2,正式,已申购,已支付
286,员工282,事业部14,城市2,站点50,岗位2,正式,已申购,已支付
287,员工283,事业部2,城市3,站点39,岗位2,正式,已申购,已支付
288,员工284,事业部2,城市7,站点12,岗位1,正式,已申购,已支付
289,员工285,事业部2,城市3,站点39,岗位1,正式,已申购,已支付
290,员工286,事业部2,城市2,站点3,岗位2,正式,已申购,已支付
291,员工287,事业部4,城市3,站点31,岗位2,正式,已申购,已支付
292,员工288,事业部10,城市8,站点26,岗位1,正式,已申购,已支付
293,员工289,事业部3,城市2,站点4,岗位2,正式,已申购,已支付
294,员工290,事业部4,城市6,站点11,岗位2,正式,已申购,已支付
295,员工291,事业部1,城市1,站点24,岗位2,正式,已申购,已支付
296,员工292,事业部6,城市9,站点14,岗位2,正式,已申购,已支付
297,员工293,事业部2,城市7,站点12,岗位2,正式,已申购,已支付
298,员工294,事业部14,城市2,站点34,岗位2,正式,已申购,已支付
299,员工295,事业部14,城市2,站点41,岗位2,正式,已申购,已支付
300,员工296,事业部2,城市3,站点39,岗位2,正式,已申购,已支付
301,员工297,事业部2,城市1,站点2,岗位2,正式,已申购,已支付
302,员工298,事业部14,城市2,站点41,岗位4,正式,已申购,已支付
303,员工299,事业部2,城市3,站点39,岗位2,正式,已申购,已支付
304,员工300,事业部9,城市11,站点17,岗位2,正式,已申购,已支付
305,员工301,事业部2,城市5,站点10,岗位2,正式,已申购,已支付
306,员工302,事业部3,城市2,站点4,岗位2,正式,已申购,已支付
307,员工303,事业部5,城市2,站点6,岗位2,正式,已申购,已支付
308,员工304,事业部7,城市5,站点15,岗位2,正式,已申购,已支付
309,员工305,事业部5,城市2,站点6,岗位2,正式,已申购,已支付
310,员工306,事业部9,城市11,站点51,岗位2,正式,已申购,已支付
311,员工307,事业部14,城市2,站点34,岗位2,正式,已申购,已支付
312,员工308,事业部2,城市3,站点39,岗位4,正式,已申购,已支付
313,员工309,事业部14,城市2,站点34,岗位2,正式,已申购,已支付
314,员工310,事业部7,城市5,站点9,岗位2,正式,已申购,已支付
315,员工311,事业部2,城市7,站点12,岗位2,正式,已申购,已支付
316,员工312,事业部9,城市7,站点37,岗位2,正式,已申购,已支付
317,员工313,事业部9,城市7,站点29,岗位2,正式,已申购,已支付
318,员工314,事业部4,城市3,站点30,岗位2,正式,已申购,已支付
319,员工315,事业部7,城市5,站点9,岗位2,正式,已申购,已支付
320,员工316,事业部2,城市1,站点2,岗位2,正式,已申购,已支付
321,员工317,事业部6,城市9,站点14,岗位2,正式,已申购,已支付
322,员工318,事业部2,城市3,站点39,岗位2,正式,已申购,已支付
323,员工319,事业部2,城市2,站点3,岗位2,正式,已申购,已支付
324,员工320,事业部8,城市14,站点32,岗位5,正式,已申购,已支付
325,员工321,事业部2,城市5,站点10,岗位2,正式,已申购,已支付
326,员工322,事业部2,城市8,站点13,岗位2,正式,已申购,已支付
327,员工323,事业部2,城市5,站点10,岗位2,正式,已申购,已支付
328,员工324,事业部9,城市7,站点29,岗位1,正式,已申购,已支付
329,员工325,事业部5,城市2,站点6,岗位2,正式,已申购,已支付
330,员工326,事业部14,城市2,站点41,岗位2,正式,已申购,已支付
331,员工327,事业部6,城市9,站点14,岗位2,正式,已申购,已支付
332,员工328,事业部14,城市2,站点41,岗位5,正式,已申购,已支付
333,员工329,事业部9,城市7,站点37,岗位2,正式,已申购,已支付
334,员工330,事业部7,城市5,站点9,岗位2,正式,已申购,已支付
335,员工331,事业部4,城市3,站点31,岗位2,正式,已申购,已支付
336,员工332,事业部9,城市11,站点17,岗位2,正式,已申购,已支付
337,员工333,事业部9,城市11,站点51,岗位2,正式,已申购,已支付
338,员工334,事业部8,城市14,站点22,岗位2,正式,已申购,已支付
339,员工335,事业部10,城市8,站点42,岗位2,正式,已申购,已支付
340,员工336,事业部2,城市2,站点3,岗位4,正式,已申购,已支付
341,员工337,事业部1,城市1,站点1,岗位1,正式,已申购,已支付
342,员工338,事业部7,城市5,站点9,岗位1,正式,已申购,已支付
343,员工339,事业部2,城市3,站点39,岗位2,正式,已申购,已支付
344,员工340,事业部9,城市7,站点37,岗位7,正式,已申购,已支付
345,员工341,事业部2,城市19,站点52,岗位3,正式,已申购,已支付
346,员工342,事业部2,城市15,站点53,岗位2,正式,已申购,已支付
347,员工343,事业部11,城市16,站点36,岗位2,正式,已申购,已支付
348,员工344,事业部6,城市9,站点14,岗位2,正式,已申购,已支付
349,员工345,事业部10,城市8,站点18,岗位4,正式,已申购,已支付
350,员工346,事业部7,城市5,站点9,岗位2,正式,已申购,已支付
351,员工347,事业部12,城市13,站点21,岗位2,正式,未申购,
352,员工348,事业部1,城市1,站点1,岗位5,正式,已申购,已支付
353,员工349,事业部11,城市16,站点36,岗位2,正式,已申购,已支付
354,员工350,事业部10,城市8,站点48,岗位2,正式,已申购,已支付
355,员工351,事业部8,城市10,站点19,岗位2,正式,已申购,已支付
356,员工352,事业部7,城市5,站点9,岗位2,正式,已申购,已支付
357,员工353,事业部7,城市5,站点9,岗位2,正式,已申购,已支付
358,员工354,事业部3,城市2,站点4,岗位4,正式,已申购,已支付
359,员工355,事业部2,城市2,站点3,岗位2,正式,已申购,已支付
360,员工356,事业部2,城市2,站点3,岗位4,正式,已申购,已支付
361,员工357,事业部4,城市3,站点5,岗位2,正式,已申购,已支付
362,员工358,事业部3,城市2,站点4,岗位2,正式,已申购,已支付
363,员工359,事业部14,城市2,站点50,岗位2,正式,已申购,已支付
364,员工360,事业部9,城市7,站点44,岗位2,正式,已申购,已支付
365,员工361,事业部14,城市2,站点34,岗位2,正式,已申购,已支付
366,员工362,事业部2,城市3,站点39,岗位2,正式,已申购,已支付
367,员工363,事业部8,城市14,站点22,岗位1,正式,已申购,已支付
368,员工364,事业部3,城市2,站点4,岗位2,正式,未申购,
369,员工365,事业部9,城市7,站点37,岗位2,正式,已申购,已支付
370,员工366,事业部7,城市5,站点9,岗位2,正式,已申购,已支付
371,员工367,事业部11,城市16,站点36,岗位2,正式,未申购,
372,员工368,事业部5,城市2,站点33,岗位2,正式,未申购,
373,员工369,事业部1,城市1,站点24,岗位2,正式,已申购,已支付
374,员工370,事业部1,城市1,站点1,岗位2,正式,已申购,已支付
375,员工371,事业部9,城市7,站点37,岗位2,正式,已申购,已支付
376,员工372,事业部1,城市1,站点24,岗位2,正式,已申购,已支付
377,员工373,事业部4,城市3,站点5,岗位2,正式,已申购,已支付
378,员工374,事业部4,城市3,站点5,岗位2,正式,已申购,已支付
379,员工375,事业部1,城市1,站点24,岗位2,正式,未申购,
380,员工376,事业部5,城市2,站点6,岗位2,正式,已申购,已支付
381,员工377,事业部9,城市7,站点37,岗位2,正式,已申购,已支付
382,员工378,事业部3,城市2,站点4,岗位2,正式,未申购,
383,员工379,事业部3,城市2,站点4,岗位2,正式,已申购,已支付
384,员工380,事业部1,城市1,站点1,岗位2,正式,已申购,已支付
385,员工381,事业部14,城市2,站点34,岗位2,正式,已申购,已支付
386,员工382,事业部2,城市7,站点12,岗位2,正式,已申购,已支付
387,员工383,事业部2,城市7,站点12,岗位2,正式,已申购,已支付
388,员工384,事业部9,城市11,站点51,岗位4,正式,已申购,已支付
389,员工385,事业部13,城市15,站点23,岗位2,正式,已申购,已支付
390,员工386,事业部5,城市2,站点6,岗位4,正式,已申购,已支付
391,员工387,事业部9,城市7,站点44,岗位2,正式,已申购,已支付
392,员工388,事业部5,城市2,站点33,岗位3,正式,未申购,
393,员工389,事业部3,城市2,站点4,岗位2,正式,已申购,已支付
394,员工390,事业部4,城市3,站点5,岗位2,正式,已申购,已支付
395,员工391,事业部1,城市1,站点1,岗位2,正式,已申购,已支付
396,员工392,事业部14,城市2,站点34,岗位2,正式,已申购,已支付
397,员工393,事业部14,城市2,站点34,岗位2,正式,已申购,已支付
398,员工394,事业部8,城市18,站点45,岗位1,正式,已申购,已支付
399,员工395,事业部4,城市3,站点31,岗位2,正式,已申购,已支付
