员工ID,姓名,事业部,城市,站点,岗位,员工状态,入职时间,7月申领情况,申购情况,申购订单状态
216486,usr_45,***苏南事业部,无锡,深度服****,员工,正式,2022/5/30 00:00,未申领,已申购,已支付
216538,usr_46,***上海北区事业部,上海,深度服****,员工,正式,2018/3/7 00:00,未申领,已申购,已支付
217086,usr_47,***川渝事业部,重庆,重庆家师****,储备培训师,正式,2018/3/12 00:00,未申领,已申购,已支付
218819,usr_48,***苏南事业部,无锡,深度服****,带单师父,正式,2018/4/18 00:00,未申领,已申购,已支付
219732,usr_49,***北京事业部,北京,深度服务****,员工,正式,2018/6/7 00:00,未申领,已申购,已支付
219862,usr_50,***苏南事业部,无锡,家师傅无锡****,员工,正式,2018/6/10 00:00,未申领,已申购,已支付
220969,usr_51,***北京事业部,青岛,深度服****,员工,正式,2018/7/28 00:00,未申领,已申购,已支付
221131,usr_52,***上海浦西事业部,上海,上海搬****,储备站长,正式,2019/2/27 00:00,未申领,已申购,已支付
221290,usr_53,***上海北区事业部,上海,深度服****,员工,正式,2018/8/15 00:00,未申领,已申购,已支付
221391,usr_54,***北京事业部,北京,深度服务****,员工,正式,2018/8/20 00:00,未申领,已申购,已支付
221395,usr_55,***上海浦东事业部,上海,深度服****,培训师,正式,2024/3/8 00:00,未申领,已申购,已支付
221399,usr_56,***苏北事业部,南京,深度服****,员工,正式,2018/8/17 00:00,未申领,已申购,已支付
221446,usr_57,***厦门事业部,厦门,家师傅厦门深****,员工,正式,2025/10/22 00:00,未申领,已申购,已支付
221627,usr_58,***川渝事业部,成都,深度服****,员工,正式,2018/8/31 00:00,未申领,已申购,已支付
222899,usr_59,***浙江事业部,杭州,深度服****,员工,正式,2018/9/24 00:00,未申领,已申购,已支付
222946,usr_60,***苏南事业部,无锡,深度服****,员工,正式,2018/9/26 00:00,未申领,已申购,已支付
223026,usr_61,***收纳即刻事业部,广州,广州收纳****,员工,正式,2025/11/27 00:00,未申领,已申购,已支付
223589,usr_62,***收纳即刻事业部,深圳,深圳收纳****,员工,正式,2018/10/5 00:00,未申领,已申购,已支付
224170,usr_63,***上海北区事业部,上海,深度服****,员工,正式,2018/10/16 00:00,未申领,已申购,已支付
224497,usr_64,***华中事业部,武汉,家师傅武汉维修****,员工,正式,2018/10/17 00:00,未申领,已申购,已支付
225792,usr_65,***深圳事业部,深圳,深度服****,员工,正式,2018/11/1 00:00,未申领,已申购,已支付
226936,usr_66,***收纳即刻事业部,北京,北京收纳****,员工,正式,2018/11/8 00:00,未申领,已申购,已支付
227188,usr_67,***收纳即刻事业部,南京,南京收纳****,员工,正式,2019/3/10 00:00,未申领,已申购,已支付
228146,usr_68,***苏南事业部,苏州,家师傅苏州****,员工,正式,2018/11/26 00:00,未申领,已申购,已支付
228591,usr_69,***上海北区事业部,上海,深度服****,员工,正式,2018/11/27 00:00,未申领,已申购,已支付
228966,usr_70,***收纳即刻事业部,上海,上海收纳****,带单师父,正式,2018/12/23 00:00,未申领,已申购,已支付
241962,usr_71,***川渝事业部,成都,深度服****,员工,正式,2019/8/25 00:00,未申领,已申购,已支付
242134,usr_72,***深圳事业部,深圳,家师傅深圳****,带单师父,正式,2019/1/19 00:00,未申领,已申购,已支付
242339,usr_73,***北京事业部,北京,深度服****,员工,正式,2019/1/20 00:00,未申领,已申购,已支付
243518,usr_74,***福州事业部,福州,深度服****,员工,正式,2019/2/28 00:00,未申领,已申购,已支付
244257,usr_75,***华中事业部,武汉,武汉深度服务****,站长,正式,2019/2/20 00:00,未申领,已申购,已支付
244445,usr_76,***川渝事业部,重庆,重庆家师****,员工,正式,2019/2/27 00:00,未申领,已申购,已支付
244616,usr_77,***苏北事业部,南京,深度服****,其他职员,正式,2019/2/24 00:00,未申领,未申购,
244758,usr_78,***深圳事业部,深圳,深度服****,员工,正式,2019/2/28 00:00,未申领,已申购,已支付
244822,usr_79,***华中事业部,武汉,武汉深度服务****,员工,正式,2019/3/6 00:00,未申领,已申购,已支付
244878,usr_80,***深圳事业部,深圳,家师傅深圳深度服****,员工,正式,2019/2/22 00:00,未申领,已申购,已支付
244885,usr_81,***深圳事业部,深圳,家师傅深圳深度服****,员工,正式,2019/2/22 00:00,未申领,已申购,已支付
244925,usr_82,***深圳事业部,深圳,家师傅深圳深度服****,员工,正式,2019/2/28 00:00,未申领,已申购,已支付
245030,usr_83,***苏南事业部,无锡,深度服****,员工,正式,2019/2/21 00:00,未申领,已申购,已支付
245098,usr_84,***北京事业部,北京,深度服****,带单师父,正式,2019/2/28 00:00,未申领,已申购,已支付
245853,usr_85,***川渝事业部,重庆,重庆家师****,站长,正式,2019/3/5 00:00,未申领,已申购,已支付
245919,usr_86,***浙江事业部,杭州,深度服****,员工,正式,2019/2/24 00:00,未申领,已申购,已支付
245929,usr_87,***浙江事业部,杭州,深度服****,带单师父,正式,2019/2/24 00:00,未申领,已申购,已支付
246300,usr_88,***北京事业部,北京,深度服务****,带单师父,正式,2019/6/6 00:00,未申领,已申购,已支付
246435,usr_89,***苏南事业部,苏州,深度服****,其他职员,正式,2021/1/30 00:00,未申领,已申购,已支付
246862,usr_90,***浙江事业部,杭州,深度服****,带单师父,正式,2019/2/26 00:00,未申领,已申购,已支付
247887,usr_91,***收纳即刻事业部,北京,北京收纳****,其他职员,正式,2019/3/3 00:00,未申领,已申购,已支付
247900,usr_92,***收纳即刻事业部,北京,北京收纳****,带单师父,正式,2019/3/11 00:00,未申领,已申购,已支付
248257,usr_93,***上海浦西事业部,上海,深度服****,员工,正式,2019/3/1 00:00,未申领,已申购,已支付
249185,usr_94,***川渝事业部,成都,深度服****,员工,正式,2024/1/4 00:00,未申领,未申购,
249499,usr_95,***北京事业部,北京,深度服务****,员工,正式,2019/6/6 00:00,未申领,已申购,已支付
249971,usr_96,***北京事业部,北京,深度服务****,员工,正式,2019/6/6 00:00,未申领,已申购,已支付
250883,usr_97,***收纳即刻事业部,杭州,杭州收纳****,带单师父,正式,2019/3/13 00:00,未申领,已申购,已支付
251984,usr_98,***北京事业部,北京,深度服****,站长,正式,2019/3/10 00:00,未申领,已申购,已支付
252007,usr_99,***北京事业部,北京,深度服****,员工,正式,2023/4/24 00:00,未申领,已申购,已支付
252096,usr_100,***华中事业部,武汉,武汉深度服务****,员工,正式,2024/12/13 00:00,未申领,未申购,
252283,usr_101,***华中事业部,长沙,深度服****,员工,正式,2019/3/10 00:00,未申领,已申购,已支付
253430,usr_102,***北京事业部,北京,深度服****,带单师父,正式,2019/3/16 00:00,未申领,已申购,已支付
261177,usr_103,***华中事业部,武汉,武汉深度服务****,员工,正式,2019/3/22 00:00,未申领,已申购,已支付
262930,usr_104,***川渝事业部,重庆,重庆家师****,员工,正式,2019/3/28 00:00,未申领,已申购,已支付
263260,usr_105,***华中事业部,武汉,武汉深度服务****,员工,正式,2019/3/31 00:00,未申领,已申购,已支付
263277,usr_106,***上海北区事业部,上海,深度服****,培训师,正式,2022/6/23 00:00,未申领,已申购,已支付
264393,usr_107,***厦门事业部,厦门,家师傅厦门深****,员工,正式,2025/9/11 00:00,未申领,已申购,已支付
264420,usr_108,***川渝事业部,成都,深度服****,员工,正式,2019/4/22 00:00,未申领,已申购,已支付
264450,usr_109,***上海北区事业部,上海,深度服****,员工,正式,2019/4/23 00:00,未申领,已申购,已支付
264758,usr_110,***深圳事业部,深圳,家师傅深圳深度服****,员工,正式,2019/4/25 00:00,未申领,已申购,已支付
264992,usr_111,***上海浦东事业部,上海,深度服****,员工,正式,2019/5/1 00:00,未申领,已申购,已支付
265137,usr_112,***北京事业部,青岛,深度服****,员工,正式,2019/5/1 00:00,未申领,已申购,已支付
265507,usr_113,***上海浦西事业部,上海,深度服****,员工,正式,2019/5/8 00:00,未申领,已申购,已支付
266213,usr_114,***浙江事业部,杭州,家师傅杭州深度服****,带单师父,正式,2019/5/13 00:00,未申领,已申购,已支付
266257,usr_115,***川渝事业部,重庆,重庆家师****,员工,正式,2019/5/20 00:00,未申领,已申购,已支付
266501,usr_116,***深圳事业部,深圳,深度服****,员工,正式,2019/5/28 00:00,未申领,已申购,已支付
266642,usr_117,***收纳即刻事业部,北京,北京收纳****,员工,正式,2019/6/12 00:00,未申领,已申购,已支付
266880,usr_118,***上海浦西事业部,上海,深度服****,带单师父,正式,2019/5/28 00:00,未申领,已申购,已支付
266979,usr_119,***福州事业部,福州,深度服****,储备培训师,正式,2019/5/31 00:00,未申领,已申购,已支付
267047,usr_120,***苏南事业部,苏州,深度服****,员工,正式,2019/6/3 00:00,未申领,已申购,已支付
267055,usr_121,***苏南事业部,苏州,深度服****,员工,正式,2019/6/3 00:00,未申领,已申购,已支付
267093,usr_122,***深圳事业部,深圳,家师傅深圳深度服****,员工,正式,2019/6/6 00:00,未申领,已申购,已支付
267191,usr_123,***上海浦西事业部,上海,深度服****,员工,正式,2019/6/9 00:00,未申领,已申购,已支付
267193,usr_124,***上海浦西事业部,上海,深度服****,带单师父,正式,2019/6/9 00:00,未申领,已申购,已支付
267220,usr_125,***收纳即刻事业部,上海,上海收纳****,员工,正式,2020/12/25 00:00,未申领,已申购,已支付
267336,usr_126,***上海浦东事业部,上海,家师傅上海浦东****,员工,正式,2019/6/10 00:00,未申领,已申购,已支付
267347,usr_127,***深圳事业部,深圳,家师傅深圳深度服****,员工,正式,2019/6/16 00:00,未申领,已申购,已支付
267348,usr_128,***深圳事业部,深圳,深度服****,员工,正式,2020/11/17 00:00,未申领,已申购,已支付
267376,usr_129,***收纳即刻事业部,上海,上海收纳****,员工,正式,2019/6/29 00:00,未申领,已申购,已支付
267661,usr_130,***广佛事业部,广州,深度服****,员工,正式,2019/6/16 00:00,未申领,已申购,已支付
267770,usr_131,***上海浦西事业部,上海,深度服****,员工,正式,2019/6/21 00:00,未申领,已申购,已支付
267815,usr_132,***上海浦东事业部,上海,深度服****,员工,正式,2019/6/20 00:00,未申领,已申购,已支付
267848,usr_133,***上海浦西事业部,上海,深度服****,带单师父,正式,2019/6/30 00:00,未申领,已申购,已支付
267853,usr_134,***苏南事业部,苏州,深度服****,员工,正式,2019/6/20 00:00,未申领,已申购,已支付
268192,usr_135,***上海浦东事业部,上海,深度服****,带单师父,正式,2019/6/26 00:00,未申领,已申购,已支付
268237,usr_136,***深圳事业部,深圳,家师傅深圳****,储备培训师,正式,2019/6/30 00:00,未申领,已申购,已支付
268462,usr_137,***上海浦东事业部,上海,深度服****,员工,正式,2019/6/30 00:00,未申领,已申购,已支付
268516,usr_138,***收纳即刻事业部,上海,上海收纳****,员工,正式,2019/7/27 00:00,未申领,已申购,已支付
268526,usr_139,***广佛事业部,佛山,深度服务城****,员工,正式,2019/7/10 00:00,未申领,已申购,已支付
268617,usr_140,***北京事业部,北京,深度服****,带单师父,正式,2019/7/8 00:00,未申领,已申购,已支付
268836,usr_141,***浙江事业部,杭州,深度服****,员工,正式,2019/7/10 00:00,未申领,已申购,已支付
268898,usr_142,***收纳即刻事业部,北京,北京收纳****,员工,正式,2019/7/26 00:00,未申领,已申购,已支付
269136,usr_143,***上海北区事业部,上海,家师傅上海浦西****,带单师父,正式,2019/7/17 00:00,未申领,已申购,已支付
269373,usr_144,***广佛事业部,广州,深度服****,培训师,正式,2019/7/22 00:00,未申领,已申购,已支付
269384,usr_145,***苏南事业部,苏州,深度服****,培训师,正式,2019/7/22 00:00,未申领,已申购,已支付
269411,usr_146,***上海北区事业部,上海,深度服****,带单师父,正式,2019/7/25 00:00,未申领,已申购,已支付
269413,usr_147,***浙江事业部,杭州,深度服****,员工,正式,2024/8/15 00:00,未申领,已申购,已支付
269517,usr_148,***苏南事业部,苏州,深度服****,员工,正式,2019/7/26 00:00,未申领,已申购,已支付
269534,usr_149,***川渝事业部,重庆,重庆家师****,员工,正式,2019/7/26 00:00,未申领,已申购,已支付
269747,usr_150,***上海浦西事业部,上海,深度服****,带单师父,正式,2019/7/31 00:00,未申领,已申购,已支付
269941,usr_151,***上海北区事业部,上海,深度服****,员工,正式,2019/8/8 00:00,未申领,已申购,已支付
270044,usr_152,***收纳即刻事业部,上海,上海收纳****,员工,正式,2019/8/27 00:00,未申领,已申购,已支付
270672,usr_153,***收纳即刻事业部,北京,北京收纳****,带单师父,正式,2019/9/2 00:00,未申领,已申购,已支付
270787,usr_154,***上海浦西事业部,上海,深度服****,员工,正式,2019/8/28 00:00,未申领,已申购,已支付
270974,usr_155,***收纳即刻事业部,北京,北京收纳****,员工,正式,2019/9/29 00:00,未申领,已申购,已支付
271084,usr_156,***苏南事业部,苏州,深度服****,员工,正式,2019/9/10 00:00,未申领,已申购,已支付
271113,usr_157,***北京事业部,北京,深度服****,员工,正式,2022/4/18 00:00,未申领,已申购,已支付
271156,usr_158,***上海浦西事业部,上海,上海搬****,员工,正式,2025/5/16 00:00,未申领,已申购,已支付
271161,usr_159,***收纳即刻事业部,上海,上海收纳****,员工,正式,2019/9/30 00:00,未申领,已申购,已支付
271163,usr_160,***收纳即刻事业部,上海,上海收纳****,员工,正式,2019/10/7 00:00,未申领,已申购,已支付
271399,usr_161,***深圳事业部,深圳,家师傅深圳****,员工,正式,2019/9/11 00:00,未申领,已申购,已支付
271759,usr_162,***上海浦东事业部,上海,深度服****,站长,正式,2019/9/18 00:00,未申领,已申购,已支付
271854,usr_163,***收纳即刻事业部,深圳,深圳收纳****,员工,正式,2019/9/15 00:00,未申领,已申购,已支付
272158,usr_164,***华中事业部,武汉,武汉深度服务****,带单师父,正式,2019/9/25 00:00,未申领,已申购,已支付
272400,usr_165,***广佛事业部,广州,家师傅深度服****,员工,正式,2025/8/19 00:00,未申领,已申购,已支付
273674,usr_166,***浙江事业部,杭州,深度服****,员工,正式,2025/3/1 00:00,未申领,未申购,
273700,usr_167,***收纳即刻事业部,深圳,深圳收纳****,员工,正式,2019/11/21 00:00,未申领,已申购,已支付
273761,usr_168,***上海浦西事业部,上海,深度服****,带单师父,正式,2019/10/26 00:00,未申领,已申购,已支付
273958,usr_169,***川渝事业部,重庆,重庆家师****,员工,正式,2019/10/27 00:00,未申领,已申购,已支付
274130,usr_170,***北京事业部,北京,深度服****,员工,正式,2023/9/2 00:00,未申领,已申购,已支付
274369,usr_171,***川渝事业部,成都,深度服****,员工,正式,2024/1/8 00:00,未申领,未申购,
274373,usr_172,***上海北区事业部,上海,深度服****,员工,正式,2019/11/5 00:00,未申领,已申购,已支付
274892,usr_173,***收纳即刻事业部,杭州,杭州收纳****,员工,正式,2025/4/15 00:00,未申领,已申购,已支付
275154,usr_174,***浙江事业部,宁波,深度服****,员工,正式,2019/11/28 00:00,未申领,已申购,已支付
275198,usr_175,***上海浦东事业部,上海,深度服****,员工,正式,2019/12/7 00:00,未申领,已申购,已支付
275432,usr_176,***浙江事业部,宁波,深度服****,带单师父,正式,2019/12/9 00:00,未申领,已申购,已支付
275452,usr_177,***北京事业部,北京,深度服务****,员工,正式,2019/12/11 00:00,未申领,已申购,已支付
275555,usr_178,***川渝事业部,成都,深度服****,其他职员,正式,2019/12/18 00:00,未申领,已申购,已支付
275580,usr_179,***浙江事业部,宁波,深度服****,员工,正式,2019/12/20 00:00,未申领,已申购,已支付
275726,usr_180,***北京事业部,北京,深度服务****,员工,正式,2020/9/16 00:00,未申领,已申购,已支付
275817,usr_181,***苏南事业部,无锡,深度服****,员工,正式,2020/1/6 00:00,未申领,已申购,已支付
275868,usr_182,***浙江事业部,杭州,家师傅杭州****,员工,正式,2023/12/21 00:00,未申领,已申购,已支付
275897,usr_183,***浙江事业部,宁波,深度服****,带单师父,正式,2020/1/12 00:00,未申领,已申购,已支付
275917,usr_184,***苏南事业部,苏州,深度服****,员工,正式,2020/1/17 00:00,未申领,已申购,已支付
290146,usr_185,***深圳事业部,深圳,家师傅深圳****,带单师父,正式,2020/3/29 00:00,未申领,已申购,已支付
290302,usr_186,***收纳即刻事业部,广州,广州收纳****,员工,正式,2020/4/9 00:00,未申领,已申购,已支付
290305,usr_187,***福州事业部,福州,深度服****,员工,正式,2020/4/7 00:00,未申领,已申购,已支付
352113,usr_188,***浙江事业部,宁波,深度服****,员工,正式,2020/4/18 00:00,未申领,已申购,已支付
353241,usr_189,***上海浦东事业部,上海,家师傅上海浦东****,员工,正式,2020/5/2 00:00,未申领,已申购,已支付
353242,usr_190,***上海北区事业部,上海,深度服****,带单师父,正式,2020/5/4 00:00,未申领,已申购,已支付
353243,usr_191,***上海浦西事业部,上海,深度服****,员工,正式,2020/5/5 00:00,未申领,已申购,已支付
353287,usr_192,***广佛事业部,佛山,深度服务城****,员工,正式,2020/5/6 00:00,未申领,已申购,已支付
367099,usr_193,***苏北事业部,南京,深度服****,带单师父,正式,2020/5/8 00:00,未申领,已申购,已支付
367123,usr_194,***苏南事业部,苏州,深度服****,员工,正式,2020/5/9 00:00,未申领,已申购,已支付
367124,usr_195,***苏南事业部,苏州,深度服****,员工,正式,2020/5/9 00:00,未申领,已申购,已支付
367228,usr_196,***浙江事业部,杭州,深度服****,站长,正式,2020/5/17 00:00,未申领,已申购,已支付
367257,usr_197,***收纳即刻事业部,上海,上海收纳****,员工,正式,2020/5/20 00:00,未申领,已申购,已支付
367260,usr_198,***苏南事业部,南通,深度服****,员工,正式,2020/5/15 00:00,未申领,已申购,已支付
367327,usr_199,***苏南事业部,苏州,深度服****,员工,正式,2020/5/16 00:00,未申领,已申购,已支付
367338,usr_200,***北京事业部,青岛,深度服****,站长,正式,2020/6/2 00:00,未申领,已申购,已支付
367340,usr_201,***北京事业部,青岛,深度服****,员工,正式,2020/6/2 00:00,未申领,已申购,已支付
367387,usr_202,***浙江事业部,宁波,深度服****,员工,正式,2025/5/2 00:00,未申领,已申购,已支付
367404,usr_203,***北京事业部,北京,深度服务****,员工,正式,2020/11/24 00:00,未申领,已申购,已支付
367455,usr_204,***上海浦东事业部,上海,家师傅上海浦东****,员工,正式,2025/11/26 00:00,未申领,已申购,已支付
367610,usr_205,***苏南事业部,苏州,深度服****,储备站长,正式,2020/5/26 00:00,未申领,已申购,已支付
367640,usr_206,***收纳即刻事业部,杭州,杭州收纳****,员工,正式,2022/11/24 00:00,未申领,已申购,已支付
367706,usr_207,***收纳即刻事业部,上海,上海收纳****,站长,正式,2020/6/13 00:00,未申领,已申购,已支付
367714,usr_208,***收纳即刻事业部,上海,上海收纳****,员工,正式,2020/6/17 00:00,未申领,已申购,已支付
367864,usr_209,***上海浦西事业部,上海,深度服****,员工,正式,2020/6/6 00:00,未申领,已申购,已支付
368028,usr_210,***上海浦西事业部,上海,深度服****,员工,正式,2020/6/8 00:00,未申领,已申购,已支付
368558,usr_211,***深圳事业部,深圳,深度服****,带单师父,正式,2020/9/22 00:00,未申领,已申购,已支付
368573,usr_212,***收纳即刻事业部,广州,广州收纳****,员工,正式,2020/7/21 00:00,未申领,已申购,已支付
369271,usr_213,***收纳即刻事业部,北京,北京收纳****,员工,正式,2021/8/1 00:00,未申领,已申购,已支付
369465,usr_214,***上海浦西事业部,上海,深度服****,员工,正式,2020/8/24 00:00,未申领,已申购,已支付
369467,usr_215,***深圳事业部,深圳,家师傅深圳深度服****,员工,正式,2020/8/27 00:00,未申领,已申购,已支付
370003,usr_216,***苏南事业部,无锡,深度服****,员工,正式,2025/5/1 00:00,未申领,已申购,已支付
370087,usr_217,***上海浦东事业部,上海,深度服****,带单师父,正式,2020/9/15 00:00,未申领,已申购,已支付
370357,usr_218,***川渝事业部,成都,深度服****,员工,正式,2020/10/1 00:00,未申领,已申购,已支付
370399,usr_219,***上海浦西事业部,上海,深度服****,员工,正式,2023/5/27 00:00,未申领,已申购,已支付
370467,usr_220,***浙江事业部,杭州,深度服****,员工,正式,2020/9/22 00:00,未申领,已申购,已支付
371399,usr_221,***上海北区事业部,上海,家师傅上海浦西****,员工,正式,2025/10/29 00:00,未申领,已申购,已支付
371488,usr_222,***苏南事业部,苏州,深度服****,员工,正式,2020/10/20 00:00,未申领,已申购,已支付
371538,usr_223,***深圳事业部,深圳,深度服****,员工,正式,2020/10/22 00:00,未申领,已申购,已支付
372003,usr_224,***上海北区事业部,上海,深度服****,带单师父,正式,2020/11/3 00:00,未申领,已申购,已支付
372134,usr_225,***收纳即刻事业部,广州,广州收纳****,员工,正式,2020/11/30 00:00,未申领,已申购,已支付
372135,usr_226,***苏南事业部,南通,深度服****,员工,正式,2020/11/7 00:00,未申领,已申购,已支付
372478,usr_227,***收纳即刻事业部,深圳,深圳收纳****,培训师,正式,2020/12/21 00:00,未申领,已申购,已支付
373118,usr_228,***苏南事业部,苏州,深度服****,员工,正式,2020/12/14 00:00,未申领,已申购,已支付
373183,usr_229,***川渝事业部,成都,深度服****,员工,正式,2025/4/9 00:00,未申领,已申购,已支付
373436,usr_230,***北京事业部,北京,深度服务****,带单师父,正式,2020/12/23 00:00,未申领,已申购,已支付
373437,usr_231,***北京事业部,北京,深度服务****,员工,正式,2020/12/23 00:00,未申领,已申购,已支付
373439,usr_232,***北京事业部,北京,深度服务****,员工,正式,2024/10/29 00:00,未申领,已申购,已支付
373510,usr_233,***川渝事业部,成都,深度服****,带单师父,正式,2020/12/24 00:00,未申领,已申购,已支付
373669,usr_234,***川渝事业部,成都,深度服****,员工,正式,2024/1/9 00:00,未申领,未申购,
373707,usr_235,***收纳即刻事业部,深圳,深圳收纳****,员工,正式,2020/12/31 00:00,未申领,已申购,已支付
373758,usr_236,***浙江事业部,宁波,深度服****,员工,正式,2020/12/31 00:00,未申领,已申购,已支付
374804,usr_237,***上海浦东事业部,上海,深度服****,员工,正式,2021/1/3 00:00,未申领,已申购,已支付
374962,usr_238,***上海北区事业部,上海,深度服****,带单师父,正式,2021/1/9 00:00,未申领,已申购,已支付
374993,usr_239,***收纳即刻事业部,北京,北京收纳****,站长,正式,2021/2/1 00:00,未申领,已申购,已支付
375369,usr_240,***华中事业部,武汉,武汉深度服务****,员工,正式,2021/12/20 00:00,未申领,已申购,已支付
375427,usr_241,***收纳即刻事业部,北京,北京收纳****,员工,正式,2021/2/1 00:00,未申领,已申购,已支付
20168412,usr_242,***收纳即刻事业部,杭州,杭州收纳****,员工,正式,2023/2/21 00:00,未申领,已申购,已支付
20190098,usr_243,***收纳即刻事业部,南京,南京收纳****,员工,正式,2019/10/29 00:00,未申领,已申购,已支付
20191954,usr_244,***收纳即刻事业部,广州,广州收纳****,员工,正式,2020/7/8 00:00,未申领,已申购,已支付
20194050,usr_245,***浙江事业部,杭州,家师傅杭州深度服****,员工,正式,2021/3/1 00:00,未申领,已申购,已支付
20194345,usr_246,***浙江事业部,杭州,深度服****,带单师父,正式,2021/3/2 00:00,未申领,已申购,已支付
20194495,usr_247,***苏南事业部,南通,深度服****,员工,正式,2021/3/11 00:00,未申领,已申购,已支付
20194591,usr_248,***收纳即刻事业部,深圳,深圳收纳****,员工,正式,2025/11/7 00:00,未申领,已申购,已支付
