序号,学校名称,教师总数_________人。,班级总数___________个。,学生总数___________人。,道德与法治教师人数：___________。,道德与法治教师名单：___________。（提示：用“、”隔开）,语文教师人数：___________。,语文教师名单：___________。（提示：用“、”隔开）,数学教师人数：___________。,数学教师名单：___________。（提示：用“、”隔开）,英语教师人数：___________。,英语教师名单：___________。（提示：用“、”隔开）,科学教师人数：___________。,科学教师名单：___________。（提示：用“、”隔开）,信息科技教师人数：___________。,信息科技教师名单：___________。（提示：用“、”隔开）,综合实践活动教师人数：___________。,综合实践活动教师名单：___________。（提示：用“、”隔开）,劳动教师人数：___________。,劳动教师名单：___________。（提示：用“、”隔开）,心理健康教师人数：___________。,心理健康教师名单：___________。（提示：用“、”隔开）,音乐教师人数：___________。,音乐教师名单：___________。（提示：用“、”隔开）,美术教师人数：___________。,美术教师名单：___________。（提示：用“、”隔开）,体育教师人数：___________。,体育教师名单：___________。（提示：用“、”隔开）,地方课程教师人数：___________。,地方课程教师名单：___________。（提示：用“、”隔开）,校本课程教师人数：___________。,校本课程教师名单：___________。（提示：用“、”隔开）,（附件3）2025年-2026学年各学校（在编和聘任）各学科任教教师人数及学生人数统计表（Excel版）,（附件3）2025年-2026学年各学校（在编和聘任）各学科任教教师人数及学生人数统计表（盖章签字扫描后的pdf版）
16,学校16,79,31,1518,4,教师116、教师117、教师118、教师119,29,教师864、教师865、教师866、教师867、教师868、教师869、教师870、教师871、教师872、教师873、教师874、教师875、教师876、教师877、教师878、教师879、教师880、教师881、教师882、教师883、教师884、教师885、教师886、教师887、教师888、教师889、教师890,22,教师1042、教师2294、教师2295、教师2296、教师2297、教师2298、教师2299、教师2300、教师2301、教师2302、教师2303、教师2304、教师2305、教师2306、教师2307、教师2308、教师2309、教师2310、教师2311、教师2312、教师2313、教师2314,5,教师3152、教师3153、教师3154、教师3155、教师2895,3,教师16、教师3439、教师3440,1,教师3617,1,教师3717,1,教师3774,0,教师347,4,教师3933、教师3934、教师3935、教师3936,3,教师4157、教师4158、教师4159,4,教师4403、教师4404、教师4405、教师4406,1,教师4648,1,教师4717,,
17,学校17,108,46,2178,7,教师120、教师121、教师122、教师123、教师124、教师125、教师126,34,教师891、教师892、教师893、教师894、教师895、教师896、教师897、教师898、教师899、教师900、教师901、教师902、教师903、教师904、教师905、教师906、教师907、教师908、教师909、教师910、教师578、教师911、教师912、教师913、教师914、教师915、教师916、教师917、教师918、教师919、教师920、教师921、教师922、教师923,32,教师2315、教师2316、教师2317、教师2318、教师2319、教师2320、教师2321、教师2322、教师2323、教师2324、教师2325、教师2326、教师2327、教师2328、教师2329、教师2330、教师2331、教师2332、教师2333、教师2334、教师2335、教师564、教师2336、教师2337、教师1042、教师2338、教师2339、教师2340、教师2341、教师2342、教师1624、教师2343,6,教师3156、教师3157、教师3158、教师3159、教师3160、教师3161,3,教师3441、教师3442、教师3443,4,教师3618、教师3619、教师3620、教师162,0,教师347,1,教师3775,1,教师3833,7,教师3937、教师3938、教师3939、教师3940、教师3941、教师3942、教师2859,6,教师4160、教师4161、教师4162、教师4163、教师4164、教师4165,5,教师4407、教师4408、教师4409、教师4410、教师4411,1,教师4649,1,教师4718,,
18,学校18,65,21,1030,7,教师127、教师128、教师129、教师130、教师131、教师132、教师133,15,教师924、教师925、教师926、教师927、教师928、教师929、教师930、教师931、教师932、教师933、教师934、教师935、教师625、教师936、教师937,19,教师2344、教师2345、教师2346、教师2347、教师2348、教师2349、教师2350、教师2351、教师2352、教师2353、教师2354、教师2355、教师2356、教师2357、教师2358、教师1390、教师2359、教师2360、教师2361,2,教师3162、教师3163,3,教师3444、教师3445、教师3446,1,教师3621,3,教师3718、教师3719、教师3720,1,教师3776,2,教师2402、教师3834,3,教师2073、教师3943、教师3944,1,教师4166,6,教师4412、教师4413、教师4414、教师4415、教师2571、教师4416,2,教师2089、教师4650,0,教师347,,
19,学校19,93,37,1734,9,教师134、教师135、教师136、教师137、教师138、教师139、教师140、教师141、教师142,34,教师938、教师939、教师940、教师941、教师942、教师943、教师944、教师945、教师946、教师947、教师948、教师949、教师950、教师951、教师952、教师953、教师954、教师955、教师956、教师957、教师958、教师959、教师960、教师961、教师962、教师450、教师963、教师668、教师964、教师965、教师966、教师967、教师968、教师969,21,教师2362、教师2363、教师2364、教师2365、教师2366、教师2161、教师2367、教师2368、教师2369、教师2370、教师2371、教师2372、教师2373、教师2374、教师2375、教师2376、教师2377、教师2378、教师2379、教师757、教师2380,3,教师3164、教师3165、教师3166,4,教师3447、教师3103、教师3448、教师3449,3,教师3622、教师3623、教师3624,1,教师3721,1,教师3777,2,教师3835、教师1038,3,教师3945、教师3124、教师3946,2,教师4167、教师4168,6,教师4417、教师4418、教师4419、教师4420、教师4421、教师4422,2,教师4651、教师4652,2,教师4719、教师4720,,
20,学校20,102,44,2269,7,教师143、教师144、教师145、教师146、教师147、教师148、教师149,34,教师970、教师971、教师900、教师972、教师973、教师974、教师975、教师976、教师977、教师978、教师979、教师585、教师980、教师981、教师982、教师983、教师984、教师985、教师986、教师987、教师988、教师585、教师989、教师990、教师991、教师992、教师993、教师994、教师995、教师996、教师997、教师998、教师999、教师1000,25,教师2381、教师2382、教师2383、教师2384、教师2385、教师2386、教师2387、教师2388、教师2389、教师452、教师2390、教师2391、教师2392、教师2393、教师2394、教师2395、教师2396、教师2397、教师2398、教师2399、教师2400、教师2401、教师2402、教师2403、教师2404,4,教师3167、教师3095、教师3168、教师3169,4,教师3450、教师3451、教师3452、教师3453,5,教师3625、教师1949、教师3626、教师3627、教师3628,2,教师3722、教师3723,2,教师1018、教师3778,3,教师3836、教师3837、教师3838,4,教师3947、教师3948、教师1602、教师3949,3,教师4169、教师4170、教师4171,6,教师4423、教师4424、教师4425、教师4426、教师4427、教师4428,3,教师4653、教师4654、教师3841,0,教师347,,
21,学校21,63,22,1076,5,教师150、教师151、教师152、教师153、教师154,23,教师1001、教师1002、教师1003、教师1004、教师1005、教师1006、教师1007、教师1008、教师1009、教师1010、教师1011、教师1012、教师1013、教师1014、教师1015、教师1016、教师1017、教师1018、教师1019、教师1020、教师1021、教师1022,14,教师2405、教师2406、教师2407、教师2408、教师2409、教师1080、教师2410、教师1778、教师539、教师2411、教师2412、教师2413、教师2414、教师2415,4,教师3170、教师3171、教师3172、教师3173,1,教师3454,1,教师3629,0,教师3704,1,教师611,0,教师3704,5,教师3950、教师3951、教师3952、教师3953、教师3954,2,教师4172、教师4173,6,教师4429、教师4430、教师4431、教师4432、教师4433、教师4434,1,教师3704、教师4655,0,教师3704,,"=DISPIMG(""ID_672321E6D5E64C74AF808D7C8A0758C6"",1)"
22,学校22,49,23,1008,5,教师155、教师156、教师157、教师158、教师159,13,教师1023、教师1024、教师1025、教师1026、教师1027、教师1028、教师1029、教师1030、教师1031、教师1032、教师1033、教师1034、教师1035,11,教师2416、教师2417、教师2418、教师2419、教师2420、教师2421、教师2422、教师2423、教师2424、教师2425、教师2426,5,教师3174、教师3175、教师3176、教师3177、教师3178,1,教师3455,2,教师3630、教师3631,1,教师3724,0,教师3704,1,教师3839,1,教师3955,1,教师4174,5,教师4435、教师4436、教师4437、教师4438、教师4439,1,教师4656,2,教师4721、教师111,,
23,学校23,107,42,2116,5,教师160、教师161、教师162、教师163、教师164,40,教师1036、教师1037、教师1038、教师1039、教师1040、教师1041、教师1042、教师1043、教师1044、教师1045、教师1046、教师1047、教师1048、教师1049、教师1050、教师1051、教师1052、教师1053、教师1054、教师923、教师1055、教师1056、教师1057、教师1058、教师1059、教师1060、教师1061、教师1062、教师1063、教师1064、教师1065、教师1066、教师1067、教师1068、教师1069、教师1070、教师1071、教师1072、教师1073、教师1074,23,教师2427、教师2428、教师513、教师2429、教师2430、教师2431、教师5、教师2432、教师2433、教师2434、教师101、教师2435、教师2436、教师2437、教师2438、教师2439、教师2440、教师2441、教师2442、教师661、教师2443、教师2444、教师2445,8,教师3179、教师3180、教师3181、教师888、教师3182、教师3183、教师3184、教师2787,7,教师3456、教师3457、教师3458、教师3459、教师3460、教师3461、教师3462,2,教师3632、教师3633,0,教师347,0,教师347,0,教师347,6,教师3956、教师3957、教师3958、教师3959、教师3960、教师3961,6,教师4175、教师4176、教师4177、教师4178、教师4179、教师4180,8,教师4440、教师4441、教师4442、教师4443、教师4444、教师1173、教师4445、教师1102,1,教师4657,1,教师4722,,
24,学校24,12,3,120,2,教师165、教师166,3,教师1075、教师1076、教师1077,3,教师2446、教师2447、教师2448,2,教师3185、教师3186,0,教师347,0,教师347,0,教师347,0,教师347,0,教师347,1,教师3962,1,教师4181,0,教师347,0,教师347,0,教师347,,
26,学校25,144,53,2718,13,教师167、教师168、教师169、教师170、教师171、教师172、教师173、教师174、教师175、教师176、教师177、教师178、教师179,43,教师1078、教师1079、教师1080、教师1081、教师1082、教师1083、教师1084、教师1085、教师1086、教师1087、教师1088、教师1089、教师1090、教师1091、教师1092、教师1093、教师1094、教师1095、教师1096、教师1097、教师1098、教师1099、教师1100、教师1101、教师1102、教师1103、教师1104、教师1105、教师1106、教师1107、教师1108、教师1109、教师1110、教师1111、教师1112、教师1113、教师1114、教师1115、教师1116、教师1117、教师1118、教师1119,33,教师2449、教师2450、教师2451、教师2452、教师2453、教师2454、教师2455、教师2456、教师2457、教师2458、教师2459、教师1431、教师2460、教师2461、教师2462、教师2463、教师2464、教师2465、教师2466、教师2467、教师2468、教师2469、教师2470、教师2471、教师706、教师2472、教师2473、教师2474、教师2475、教师2476、教师2477、教师2478,10,教师3187、教师3188、教师3189、教师3190、教师3191、教师3192、教师3193、教师3194、教师3195、教师3196,5,教师3463、教师3464、教师3465、教师321、教师3466,2,教师3634、教师1472,0,教师347,2,教师3779、教师3780,3,教师3840、教师3841、教师3842,7,教师3963、教师3964、教师1209、教师3965、教师3966、教师3967、教师3968,9,教师4182、教师4183、教师4184、教师4185、教师4186、教师4187、教师4188、教师538、教师1023,13,教师2066、教师387、教师276、教师4446、教师4447、教师4448、教师4449、教师4450、教师4451、教师4452、教师1841、教师4453、教师4454,4,教师4658、教师4659、教师4660、教师4661,0,教师347,,
27,学校26,166,66,3325,7,教师180、教师181、教师182、教师183、教师184、教师185、教师186,67,教师1120、教师1121、教师419、教师1122、教师1123、教师1124、教师1125、教师1126、教师1127、教师1128、教师1129、教师1130、教师1131、教师1132、教师1133、教师1134、教师1135、教师1136、教师1137、教师1138、教师1139、教师1140、教师1141、教师1142、教师1143、教师1144、教师40、教师1145、教师1146、教师1147、教师1148、教师1149、教师1150、教师1151、教师1152、教师1153、教师1154、教师1155、教师1021、教师1156、教师1157、教师1158、教师1159、教师1160、教师1161、教师1162、教师1163、教师1164、教师1165、教师1166、教师1167、教师1168、教师346、教师1169、教师1170、教师1171、教师1172、教师1173、教师335、教师128、教师1174、教师1175、教师1176、教师1177、教师1178、教师1179、教师1180,39,教师1116、教师132、教师2479、教师2480、教师2481、教师2482、教师2483、教师2484、教师2485、教师2486、教师2487、教师2488、教师2489、教师2490、教师2491、教师2492、教师2493、教师2494、教师2495、教师2496、教师2497、教师2498、教师2499、教师2500、教师2501、教师2502、教师2503、教师2504、教师2505、教师2506、教师2507、教师2508、教师2509、教师2510、教师2511、教师2512、教师2513、教师2514、教师2515,10,教师3197、教师3198、教师3199、教师3200、教师3201、教师3202、教师3203、教师3204、教师3205、教师3206,8,教师3467、教师3468、教师3469、教师3470、教师3471、教师3472、教师3473、教师3474,5,教师3635、教师2586、教师3636、教师3637、教师3638,2,教师3725、教师3726,2,教师3781、教师3782,2,教师3843、教师3844,6,教师3969、教师668、教师680、教师3970、教师3971、教师3972,7,教师4189、教师4190、教师4191、教师4192、教师4193、教师4194、教师4195,11,教师101、教师4455、教师4456、教师4457、教师4458、教师4459、教师4460、教师4461、教师4462、教师2483、教师1536,0,教师347,0,教师347,,
28,学校27,85,31,1462,5,教师187、教师188、教师189、教师190、教师191,28,教师1181、教师1182、教师1183、教师1184、教师1185、教师1186、教师1187、教师1188、教师1189、教师1190、教师1191、教师1192、教师1193、教师1194、教师1195、教师1196、教师1197、教师1198、教师1199、教师1200、教师1201、教师1202、教师1203、教师1204、教师1205、教师1206、教师1207、教师1208,17,教师2516、教师2517、教师2518、教师2519、教师2520、教师2521、教师2522、教师2523、教师2524、教师2525、教师2526、教师2527、教师1096、教师2528、教师2529、教师2530、教师2531,4,教师3207、教师3208、教师3209、教师3210,4,教师2809、教师3475、教师3476、教师3477,2,教师3639、教师3640,1,教师3727,1,教师3783,1,教师3845,4,教师3973、教师3974、教师3975、教师3976,3,教师4196、教师4197、教师4198,8,教师4463、教师4464、教师4465、教师4466、教师4467、教师4468、教师4469、教师4470,4,教师4662、教师4663、教师4664、教师4665,3,教师4723、教师4724、教师4725,,
29,学校28,47,19,809,1,教师192,14,教师1209、教师1210、教师1211、教师1212、教师1213、教师1214、教师834、教师1215、教师1216、教师1217、教师1218、教师1219、教师1220、教师1221,13,教师2532、教师2533、教师2534、教师2535、教师2536、教师2537、教师2538、教师2539、教师2540、教师2541、教师2542、教师2543、教师2544,3,教师3211、教师3212、教师3213,3,教师3478、教师3479、教师3480,2,教师3641、教师3642,1,教师3728,0,教师347,1,教师3846,4,教师2864、教师3977、教师3978、教师3979,2,教师4199、教师4200,3,教师4471、教师4472、教师4473,0,教师347,0,教师347,,
30,学校29,107,51,2558,7,教师193、教师194、教师195、教师196、教师197、教师198、教师199,33,教师1222、教师1223、教师1224、教师1225、教师1226、教师1227、教师1228、教师1229、教师1230、教师1231、教师1232、教师1233、教师1234、教师247、教师1235、教师1236、教师1237、教师1238、教师1239、教师1240、教师1241、教师1242、教师1243、教师1244、教师1245、教师1246、教师1247、教师1248、教师1249、教师1250、教师1251、教师1252、教师1253,25,教师2545、教师2546、教师2547、教师2548、教师877、教师2549、教师2550、教师2551、教师364、教师2552、教师2553、教师40、教师2554、教师2555、教师2556、教师2557、教师2558、教师2559、教师2560、教师2561、教师2562、教师2563、教师2564、教师2565、教师2566,8,教师2560、教师3214、教师3215、教师261、教师3216、教师3217、教师3218、教师3219,3,教师3481、教师3482、教师3483,2,教师3643、教师3644,3,教师3729、教师3730、教师3731,2,教师3784、教师3785,2,教师3847、教师3848,3,教师3980、教师3981、教师1724,6,教师4201、教师4202、教师4203、教师4204、教师4205、教师4206,10,教师4474、教师4475、教师4476、教师4477、教师4478、教师4479、教师4480、教师4481、教师630、教师4482,1,教师4666,2,教师3124、教师4726,,
31,学校30,68,33,1608,7,教师200、教师201、教师202、教师203、教师204、教师205、教师206,18,教师1254、教师1255、教师1256、教师1257、教师1258、教师1259、教师1260、教师1261、教师1262、教师1263、教师1264、教师1265、教师1266、教师764、教师1267、教师1268、教师1269,15,教师2567、教师2568、教师2569、教师2570、教师2571、教师2572、教师2573、教师2574、教师2575、教师2576、教师2577、教师2578、教师2579,5,教师3220、教师3221、教师3222、教师3223、教师3224,4,教师2191、教师3484、教师3485、教师3486,3,教师3645、教师3646、教师3647,0,教师3704,1,教师3786,1,教师3849,3,教师3982、教师3983、教师3984,4,教师4207、教师4208、教师4209、教师4210,6,教师4483、教师4484、教师4485、教师4486、教师4487、教师4488,1,教师4667,0,教师3704,,
32,学校31,89,29,1477,5,教师207、教师208、教师209、教师7、教师210,32,教师1270、教师1271、教师1272、教师1273、教师1274、教师1275、教师1276、教师1277、教师1278、教师1279、教师1280、教师1281、教师1282、教师1283、教师1284、教师1285、教师1286、教师1287、教师1069、教师1288、教师1289、教师1290、教师1291、教师1292、教师1293、教师1294、教师1295、教师1296、教师1297、教师1298、教师1299,19,教师2580、教师2581、教师2582、教师2583、教师2584、教师2585、教师2586、教师1518、教师2587、教师2588、教师2589、教师2590、教师2591、教师2592、教师2593、教师2594、教师2595、教师2596、教师2597,6,教师3225、教师3226、教师419、教师3227、教师3228、教师3229,5,教师3487、教师3488、教师3489、教师3490、教师3491,2,教师3648、教师2732,1,教师3732,1,教师3787,0,教师347,5,教师3985、教师3986、教师3987、教师3988、教师3989,4,教师3417、教师4211、教师4212、教师4213,6,教师4489、教师4490、教师4491、教师4492、教师4493、教师4494,0,教师347,3,教师4727、教师159、教师4728,,"=DISPIMG(""ID_764C194437A94C79911D51979A588C0B"",1)"
33,学校32,132,50,2468,8,教师211、教师128、教师212、教师213、教师214、教师215、教师216、教师217,44,教师1300、教师1301、教师1302、教师1303、教师1304、教师1305、教师1306、教师1307、教师1308、教师1309、教师1310、教师1311、教师1312、教师1313、教师1314、教师1315、教师1316、教师1317、教师1318、教师1319、教师1047、教师1320、教师1321、教师1322、教师1323、教师1324、教师1325、教师1326、教师1327、教师1328、教师1329、教师577、教师1330、教师1331、教师1332、教师1333、教师1334、教师1335、教师1336、教师1337、教师1338、教师1339、教师1340、教师1341,31,教师2598、教师2599、教师2600、教师2601、教师2602、教师2603、教师2604、教师2605、教师2606、教师2607、教师2608、教师2609、教师2610、教师2611、教师2612、教师2613、教师2614、教师2615、教师2616、教师2617、教师460、教师2618、教师2619、教师2620、教师1622、教师2621、教师2622、教师2623、教师2624、教师2625、教师2626,7,教师419、教师3230、教师3231、教师3232、教师3233、教师3234、教师3235,5,教师3492、教师3493、教师3494、教师3495、教师3496,3,教师3649、教师3650、教师3651,3,教师3733、教师3734、教师3735,3,教师3788、教师1018、教师3789,2,教师680、教师3850,5,教师3990、教师3991、教师3992、教师3993、教师3994,6,教师4214、教师4215、教师4216、教师202、教师1753、教师2792,11,教师4495、教师4496、教师4497、教师4498、教师4499、教师4500、教师4501、教师4502、教师1209、教师4503、教师4504,3,教师634、教师556、教师4668,1,教师4729,,
34,学校33,88,34,1626,11,教师218、教师219、教师220、教师221、教师222、教师223、教师224、教师225、教师226、教师227、教师228,22,教师1342、教师1343、教师1344、教师1345、教师1346、教师1347、教师1348、教师1349、教师1350、教师1351、教师1352、教师1353、教师1354、教师1355、教师1356、教师1357、教师1358、教师1359、教师1360、教师1361、教师1362、教师1363,17,教师2627、教师2628、教师2319、教师630、教师2629、教师2630、教师2631、教师2632、教师2633、教师2634、教师2635、教师2636、教师2637、教师2638、教师2639、教师2640、教师2641,2,教师3236、教师3237,8,教师630、教师3497、教师3498、教师3499、教师3500、教师3501、教师3502、教师3503,2,教师3652、教师3653,0,教师347,4,教师3790、教师13、教师2165、教师3791,4,教师3851、教师3852、教师3853、教师3854,3,教师3995、教师3996、教师3997,6,教师4217、教师4218、教师4219、教师4220、教师900、教师4221,7,教师4505、教师4506、教师3482、教师4507、教师4508、教师4509、教师4510,1,教师4669,1,教师4730,,
35,学校34,65,24,1144,7,教师229、教师230、教师231、教师232、教师233、教师234、教师235,12,教师1364、教师1365、教师1366、教师1367、教师1368、教师1369、教师988、教师1370、教师79、教师1371、教师1372、教师1373,14,教师2642、教师2643、教师2644、教师2645、教师2646、教师2647、教师2648、教师2649、教师2650、教师2651、教师2652、教师2653、教师2654、教师2655,5,教师3238、教师3239、教师3240、教师3241、教师3242,4,教师3504、教师3505、教师3506、教师3507,2,教师3654、教师3655,0,教师347,4,教师3792、教师3793、教师3794、教师3795,1,教师3855,5,教师3998、教师3999、教师4000、教师4001、教师4002,5,教师4222、教师4223、教师4224、教师4225、教师4226,3,教师4511、教师4512、教师4513,1,教师4670,2,教师4731、教师4732,,
36,学校35,96,39,1953,5,教师236、教师237、教师238、教师239、教师240,38,教师1374、教师1375、教师1376、教师1377、教师197、教师1378、教师1379、教师1380、教师1381、教师1382、教师1077、教师1383、教师577、教师1384、教师1385、教师1386、教师1387、教师1388、教师1389、教师1390、教师1391、教师1392、教师1393、教师1394、教师1395、教师1396、教师128、教师1397、教师1398、教师1399、教师1400、教师1401、教师1402、教师1403、教师1404、教师1405、教师1406,22,教师2656、教师2657、教师2658、教师2659、教师2660、教师2661、教师2662、教师2663、教师2664、教师2665、教师2666、教师2667、教师2668、教师2669、教师2670、教师695、教师2671、教师2672、教师2673、教师2674、教师2675,6,教师3243、教师3244、教师3245、教师3246、教师3247、教师3248,5,教师3508、教师3509、教师3510、教师3511、教师3512,2,教师3656、教师3657,0,教师347,0,教师347,1,教师3856,5,教师4003、教师261、教师4004、教师4005、教师4006,6,教师2855、教师4227、教师4228、教师4229、教师4230、教师4231,6,教师4514、教师4515、教师4516、教师4517、教师4518、教师4519,0,教师347,0,教师347,,
37,学校36,73,27,1361,5,教师241、教师242、教师243、教师244、教师245,22,教师1407、教师1408、教师1409、教师1410、教师1411、教师1412、教师1413、教师1414、教师1415、教师1416、教师1417、教师1418、教师1419、教师1420、教师1421、教师1422、教师1423、教师1424、教师1425、教师1426、教师1427、教师1428、教师1429,19,教师2676、教师2677、教师2678、教师2679、教师2680、教师2681、教师2682、教师2683、教师2684、教师2685、教师2686、教师2687、教师2688、教师2689、教师2690、教师2691、教师2692、教师2693、教师2694,5,教师3249、教师3250、教师3251、教师3252、教师3253,5,教师3513、教师3514、教师3515、教师3516、教师3517,3,教师2732、教师3658、教师3659,0,教师347,0,教师347,2,教师2361、教师3857,3,教师4007、教师4008、教师4009,2,教师4232、教师4233,6,教师2074、教师4520、教师4521、教师4522、教师4523、教师4524,1,教师4671,0,教师347,,
38,学校37,71,11,485,3,教师246、教师247、教师248,24,教师1430、教师1431、教师1432、教师1433、教师1434、教师1435、教师1436、教师1437、教师1438、教师1439、教师549、教师1440、教师1441、教师1442、教师1443、教师1444、教师1445、教师1446、教师1447、教师1448、教师1449、教师1450、教师1451、教师1452,16,教师2695、教师2696、教师2697、教师2698、教师1326、教师2699、教师2700、教师2701、教师2702、教师2703、教师2704、教师2705、教师2706、教师2707、教师2708、教师1889,6,教师3254、教师1159、教师1472、教师2616、教师3255、教师3256,2,教师3518、教师3519,2,教师848、教师3660,2,教师3736、教师3737,1,教师3796,1,教师215,5,教师2767、教师4010、教师4011、教师4012、教师4013,3,教师4234、教师4235、教师4236,5,教师4525、教师4526、教师4527、教师4528、教师4529,0,教师347,1,教师4733,,"=DISPIMG(""ID_51E1430A74AE44DB80F9D06098D04950"",1)"
39,学校38,49,19,473,5,教师249、教师250、教师251、教师252、教师253,13,教师1453、教师1454、教师364、教师1279、教师1455、教师1456、教师1457、教师1458、教师1459、教师1460、教师1461、教师1462、教师1463,13,教师2709、教师2710、教师2711、教师2712、教师500、教师2713、教师2714、教师2715、教师2716、教师2717、教师2718、教师2719、教师2720,4,教师3257、教师3258、教师3259、教师3260,3,教师3520、教师3521、教师3522,0,教师347,0,教师347,1,教师3797,3,教师1563、教师3858、教师3859,1,教师428,0,教师347,4,教师4530、教师4531、教师4532、教师4533,2,教师4672、教师4673,0,教师347,,
40,学校39,120,44,1283,10,教师254、教师255、教师256、教师257、教师258、教师259、教师260、教师261、教师262、教师263,38,教师1464、教师1465、教师1466、教师1467、教师1468、教师1469、教师1470、教师1471、教师1472、教师1473、教师1474、教师1475、教师1476、教师1477、教师1478、教师1479、教师1480、教师1481、教师1482、教师1483、教师1484、教师1485、教师1486、教师1487、教师1488、教师1489、教师1490、教师1491、教师1492、教师1493、教师1494、教师1495、教师1496、教师577、教师1497、教师1498、教师83、教师1499,35,教师2721、教师2722、教师2723、教师2724、教师2725、教师160、教师2726、教师2727、教师2728、教师2729、教师2730、教师2731、教师2732、教师2733、教师2734、教师2735、教师2736、教师2737、教师2738、教师2739、教师2740、教师2741、教师2742、教师2743、教师2744、教师2745、教师2746、教师2747、教师2748、教师2749、教师2750、教师2751、教师2752、教师2753、教师2754,11,教师3261、教师3262、教师3263、教师3264、教师464、教师3265、教师3266、教师3267、教师3268、教师3269、教师3270,4,教师3523、教师3524、教师3525、教师2139,2,教师3661、教师3662,0,教师347,1,教师3798,0,教师347,6,教师4014、教师4015、教师4016、教师4017、教师492、教师4018,3,教师1254、教师4237、教师4238,6,教师4534、教师4535、教师4536、教师4537、教师4538、教师4539,4,教师4674、教师4675、教师4676、教师4677,0,教师347,,
41,学校40,138,45,1509,5,教师264、教师265、教师229、教师266、教师5,45,教师1500、教师1501、教师1502、教师1503、教师1504、教师1505、教师1506、教师1507、教师1508、教师1509、教师1510、教师1511、教师1512、教师1513、教师1514、教师1515、教师1516、教师1517、教师1518、教师1519、教师1520、教师1521、教师1269、教师1522、教师1523、教师1524、教师1525、教师1526、教师1527、教师1528、教师1529、教师1530、教师1531、教师1532、教师1533、教师1534、教师1535、教师1536、教师1537、教师1538、教师1539、教师44、教师1540、教师1541、教师1542,32,教师2755、教师2756、教师2757、教师2758、教师2759、教师2760、教师2761、教师2762、教师2763、教师2764、教师2765、教师2766、教师2767、教师2768、教师2769、教师853、教师40、教师2770、教师2771、教师2772、教师2773、教师2774、教师2775、教师2776、教师2777、教师2778、教师2779、教师619、教师2780、教师2781、教师2782、教师2783,10,教师3271、教师3272、教师3273、教师3274、教师3275、教师3276、教师3277、教师3278、教师3279、教师3280,6,教师3526、教师3527、教师3528、教师3529、教师3530、教师3531,3,教师3663、教师3664、教师3665,1,教师3738,3,教师3799、教师3800、教师3801,2,教师3860、教师3861,8,教师757、教师4019、教师4020、教师4021、教师4022、教师1449、教师4023、教师4024,5,教师4239、教师4240、教师4241、教师4242、教师4243,11,教师4540、教师4541、教师4542、教师4543、教师4544、教师4545、教师4546、教师4547、教师4548、教师4549、教师4550,4,教师4678、教师4679、教师4680、教师4681,3,教师4734、教师4735、教师4736,,
42,学校41,124,45,1701,8,教师267、教师268、教师269、教师270、教师271、教师272、教师273、教师274,48,教师1543、教师1544、教师1545、教师1546、教师1547、教师1548、教师1549、教师1550、教师1551、教师1552、教师1553、教师1554、教师1555、教师1556、教师1557、教师1558、教师1559、教师1560、教师1561、教师1562、教师1563、教师1564、教师1565、教师1566、教师1567、教师1568、教师1569、教师1570、教师1571、教师1572、教师1573、教师1574、教师1575、教师1576、教师1577、教师1578、教师1579、教师1580、教师1581、教师1582、教师1583、教师1584、教师1585、教师1586、教师1587、教师1588、教师1589、教师1590,28,教师2784、教师2785、教师2786、教师2787、教师2788、教师2789、教师2790、教师2791、教师2792、教师2793、教师2794、教师2795、教师2796、教师2797、教师2798、教师2799、教师2800、教师2801、教师2802、教师2803、教师124、教师2804、教师2805、教师2806、教师2807、教师2808、教师2809、教师2810,12,教师3281、教师3282、教师3207、教师3283、教师3284、教师1102、教师3285、教师3286、教师3287、教师834、教师3288、教师3289,4,教师3532、教师3533、教师3534、教师3535,1,教师3666,0,教师3704,0,教师3704,0,教师3704,5,教师4025、教师4026、教师4027、教师4028、教师4029,6,教师4244、教师4245、教师4246、教师4247、教师4248、教师1541,12,教师4551、教师4552、教师4553、教师4554、教师4555、教师4556、教师4557、教师4558、教师4559、教师4560、教师4561、教师4562,0,教师3704,0,教师3704,,
43,学校42,82,24,888,4,教师275、教师276、教师277、教师278,32,教师1591、教师1592、教师848、教师1593、教师1594、教师1595、教师1596、教师1597、教师1598、教师1404、教师1599、教师1600、教师1601、教师1602、教师1603、教师1287、教师1604、教师1605、教师1606、教师1607、教师1608、教师1609、教师1610、教师1611、教师1612、教师1613、教师1614、教师1615、教师1616、教师1617、教师1618、教师1619,22,教师2811、教师2812、教师2813、教师585、教师1778、教师2814、教师2815、教师2816、教师2817、教师2818、教师2130、教师2819、教师1983、教师2820、教师2821、教师2822、教师2823、教师2824、教师2151、教师2825、教师2826、教师2827,4,教师3290、教师3291、教师3292、教师3293,3,教师3536、教师3537、教师3538,2,教师3667、教师3668,0,教师347,1,教师3802,0,教师347,7,教师4030、教师4031、教师4032、教师4033、教师4034、教师4035、教师4036,4,教师4249、教师4250、教师4251、教师4252,3,教师4563、教师4564、教师4565,0,教师347,0,教师347,,
