商品编码,商品名称,年份,第一计量单位编码,第一计量单位名称,第二计量单位编码,第二计量单位名称
97,干、熏、盐腌或盐渍的鲸、海豚及鼠海豚的、海牛及儒艮的、海豹、海狮及海象的肉及食用杂碎（包括细粉、粗粉）,2025,9,千克,?,?
98,干、熏、盐腌或盐渍的爬行动物（包括蛇及龟鳖）的肉及食用杂碎，包括可供食用的肉或杂碎的细粉、粗粉,2025,9,千克,?,?
99,其他干、熏、盐腌或盐渍肉及食用杂碎，包括可供食用的肉或杂碎的细粉、粗粉,2025,9,千克,?,?
100,淡水观赏鱼,2025,9,千克,?,?
101,其他观赏鱼,2025,9,千克,?,?
102,鳟鱼,2025,9,千克,?,?
103,鳗鱼（鳗鲡属）,2025,9,千克,?,?
104,鲤科鱼（西鲤、黑?、草鱼、鲢属、鲮属、青鱼）,2025,9,千克,?,?
105,大西洋及太平洋蓝鳍金枪鱼,2025,9,千克,?,?
106,南方蓝鳍金枪鱼,2025,9,千克,?,?
107,其他活鱼,2025,9,千克,?,?
108,鲜、冷鳟鱼,2025,9,千克,?,?
109,鲜、冷大麻哈鱼,2025,9,千克,?,?
110,鲜、冷大西洋鲑鱼及多瑙哲罗鱼,2025,9,千克,?,?
111,其他鲜、冷鲑科鱼,2025,9,千克,?,?
112,鲜、冷庸鲽鱼（马舌鲽、庸鲽、狭鳞庸鲽）,2025,9,千克,?,?
113,鲜、冷鲽鱼（鲽）,2025,9,千克,?,?
114,鲜、冷鳎鱼（鳎属）,2025,9,千克,?,?
115,鲜、冷大菱鲆（瘤棘?）,2025,9,千克,?,?
116,其他鲜、冷比目鱼（鲽科、?科、舌鳎科、鳎科、菱?科、刺?科）,2025,9,千克,?,?
117,鲜、冷长鳍金枪鱼,2025,9,千克,?,?
118,鲜、冷黄鳍金枪鱼,2025,9,千克,?,?
119,鲜、冷鲣,2025,9,千克,?,?
120,鲜、冷大眼金枪鱼,2025,9,千克,?,?
121,鲜、冷大西洋及太平洋蓝鳍金枪鱼,2025,9,千克,?,?
122,鲜、冷南方蓝鳍金枪鱼,2025,9,千克,?,?
123,其他鲜、冷金枪鱼,2025,9,千克,?,?
124,鲜、冷鲱鱼（大西洋鲱鱼、太平洋鲱鱼）,2025,9,千克,?,?
125,鲜、冷?鱼(?属),2025,9,千克,?,?
126,鲜、冷沙丁鱼（沙丁鱼、沙瑙鱼属）、小沙丁鱼属、黍鲱或西鲱,2025,9,千克,?,?
127,鲜、冷鲭鱼〔大西洋鲭、澳洲鲭（鲐）、日本鲭（鲐）〕,2025,9,千克,?,?
128,鲜、冷对称竹荚鱼、新西兰竹荚鱼及竹荚鱼(竹荚鱼属),2025,9,千克,?,?
129,鲜、冷军曹鱼,2025,9,千克,?,?
130,鲜、冷剑鱼,2025,9,千克,?,?
131,鲜、冷印度鲭(羽鳃鲐属)、马鲛鱼(马鲛属)、?鱼（?属）、银鲳(鲳属)、秋刀鱼、圆?(圆?属）、多春鱼（毛鳞鱼）、鲔鱼、狐鲣（狐鲣属）、枪鱼 、旗鱼、四鳍旗鱼（旗鱼科）,2025,9,千克,?,?
132,鲜、冷鳕鱼（大西洋鳕鱼、格陵兰鳕鱼、太平洋鳕鱼）,2025,9,千克,?,?
133,鲜、冷黑线鳕鱼（黑线鳕）,2025,9,千克,?,?
134,鲜、冷绿青鳕鱼,2025,9,千克,?,?
135,鲜、冷狗鳕鱼(无须鳕属、长鳍鳕属),2025,9,千克,?,?
136,鲜、冷阿拉斯加狭鳕鱼,2025,9,千克,?,?
137,鲜、冷蓝鳕鱼（小鳍鳕、南蓝鳕）,2025,9,千克,?,?
138,其他鲜、冷犀鳕科、多丝真鳕科、鳕科、长尾鳕科、黑鳕科、无须鳕科、深海鳕科及南极鳕科鱼,2025,9,千克,?,?
139,鲜、冷罗非鱼（口孵非鲫属）,2025,9,千克,?,?
140,鲜、冷鲶鱼（（鱼芒）鲶属、鲶属、胡鲶属、真?属）,2025,9,千克,?,?
141,鲜、冷鲤科鱼（鲤属、鲫属、草鱼、鲢属、鲮属、青鱼、卡特拉?、野鲮属、哈氏纹唇鱼、何氏细须?、鲂属）,2025,9,千克,?,?
142,鲜、冷鳗鱼（鳗鲡属）,2025,9,千克,?,?
143,鲜、冷尼罗河鲈鱼（尼罗尖吻鲈）及黑鱼（鳢属）,2025,9,千克,?,?
144,鲜、冷角鲨及其他鲨鱼,2025,9,千克,?,?
145,鲜、冷?鱼及鳐鱼（鳐科）,2025,9,千克,?,?
146,鲜、冷南极犬牙鱼（南极犬牙鱼属）,2025,9,千克,?,?
147,鲜、冷尖吻鲈鱼(舌齿鲈属),2025,9,千克,?,?
148,鲜、冷菱羊鲷(鲷科),2025,9,千克,?,?
149,其他鲜、冷鱼,2025,9,千克,?,?
150,鲜、冷鱼肝、鱼卵及鱼精,2025,9,千克,?,?
151,鲜、冷鲨鱼翅,2025,9,千克,?,?
152,其他鲜、冷可食用鱼杂碎,2025,9,千克,?,?
153,冻红大麻哈鱼,2025,9,千克,?,?
154,其他冻大麻哈鱼,2025,9,千克,?,?
155,冻大西洋鲑鱼及多瑙哲罗鱼,2025,9,千克,?,?
156,冻鳟鱼,2025,9,千克,?,?
157,其他冻鲑科鱼,2025,9,千克,?,?
158,冻罗非鱼（口孵非鲫属）,2025,9,千克,?,?
159,冻鲶鱼（（鱼芒）鲶属、鲶属、胡鲶属、真?属）,2025,9,千克,?,?
160,冻鲤科鱼（鲤属、鲫属、草鱼、鲢属、鲮属、青鱼、卡特拉?、野鲮属、哈氏纹唇鱼、何氏细须?、鲂属）,2025,9,千克,?,?
161,冻鳗鱼（鳗鲡属）,2025,9,千克,?,?
162,冻尼罗河鲈鱼（尼罗尖吻鲈）及黑鱼（鳢属）,2025,9,千克,?,?
163,冻庸鲽鱼,2025,9,千克,?,?
164,冻鲽鱼（鲽）,2025,9,千克,?,?
165,冻鳎鱼（鳎属）,2025,9,千克,?,?
166,冻大菱鲆（瘤棘?）,2025,9,千克,?,?
167,其他冻比目鱼（鲽科、?科、舌鳎科、鳎科、菱?科、刺?科）,2025,9,千克,?,?
168,冻长鳍金枪鱼,2025,9,千克,?,?
169,冻黄鳍金枪鱼,2025,9,千克,?,?
170,冻鲣,2025,9,千克,?,?
171,冻大眼金枪鱼,2025,9,千克,?,?
172,冻大西洋及太平洋蓝鳍金枪鱼,2025,9,千克,?,?
173,冻南方蓝鳍金枪鱼,2025,9,千克,?,?
174,其他冻金枪鱼(金枪鱼属),2025,9,千克,?,?
175,冻鲱鱼（大西洋鲱鱼、太平洋鲱鱼）,2025,9,千克,?,?
176,冻沙丁鱼（沙丁鱼、沙瑙鱼属）、小沙丁鱼属、黍鲱或西鲱,2025,9,千克,?,?
177,冻鲭鱼〔大西洋鲭、澳洲鲭（鲐）、日本鲭（鲐）〕,2025,9,千克,?,?
178,冻对称竹荚鱼、新西兰竹荚鱼及竹荚鱼(竹荚鱼属),2025,9,千克,?,?
179,冻军曹鱼,2025,9,千克,?,?
180,冻剑鱼,2025,9,千克,?,?
181,冻?鱼（?属）、冻印度鲭(羽鳃鲐属)、冻马鲛鱼(马鲛属)、冻?鱼（?属）、冻银鲳(鲳属)、冻秋刀鱼、冻圆?(圆?属)、冻多春鱼（毛鳞鱼）、冻鲔鱼、冻狐鲣（狐鲣属）、冻枪鱼 、冻旗鱼、冻四鳍旗鱼（旗鱼科）,2025,9,千克,?,?
182,冻鳕鱼（大西洋鳕鱼、格陵兰鳕鱼、太平洋鳕鱼）,2025,9,千克,?,?
183,冻黑线鳕鱼（黑线鳕）,2025,9,千克,?,?
184,冻绿青鳕鱼,2025,9,千克,?,?
185,冻狗鳕鱼(无须鳕属、长鳍鳕属),2025,9,千克,?,?
186,冻阿拉斯加狭鳕鱼,2025,9,千克,?,?
187,冻蓝鳕鱼（小鳍鳕、南蓝鳕）,2025,9,千克,?,?
188,其他冻犀鳕科、冻多丝真鳕科、冻鳕科、冻长尾鳕科、冻黑鳕科、冻无须鳕科、冻深海鳕科及南极鳕科鱼,2025,9,千克,?,?
189,冻角鲨及其他鲨鱼,2025,9,千克,?,?
190,冻?鱼及鳐鱼（鳐科）,2025,9,千克,?,?
191,冻南极犬牙鱼（南极犬牙鱼属）,2025,9,千克,?,?
192,冻尖吻鲈鱼(舌齿鲈属),2025,9,千克,?,?
193,其他冻鱼,2025,9,千克,?,?
194,冻鱼肝、鱼卵及鱼精,2025,9,千克,?,?
195,冻鲨鱼翅,2025,9,千克,?,?
196,其他冻可食用鱼杂碎,2025,9,千克,?,?
197,鲜或冷罗非鱼（口孵非鲫属）鱼片,2025,9,千克,?,?
198,鲜或冷鲶鱼（（鱼芒）鲶属、鲶属、胡鲶属、真?属）鱼片,2025,9,千克,?,?
199,鲜或冷尼罗河鲈鱼（尼罗尖吻鲈）鱼片,2025,9,千克,?,?
200,鲜或冷的鲤科鱼（鲤属、?属、草鱼、鲢属、鲮属、青鱼、卡特拉?、野鲮属、哈氏纹唇鱼、何氏细须?、鲂属）、鳗鱼（鳗鲡属）及黑鱼（鳢属）的鱼片,2025,9,千克,?,?
201,鲜或冷大麻哈鱼、大西洋鲑鱼及多瑙哲罗鱼的鱼片,2025,9,千克,?,?
202,鲜或冷鳟鱼鱼片,2025,9,千克,?,?
203,鲜或冷比目鱼（鲽科、?科、舌鳎科、鳎科、菱?科、刺?科）的鱼片,2025,9,千克,?,?
204,鲜或冷犀鳕科、多丝真鳕科、鳕科、长尾鳕科、黑鳕科、无须鳕科、深海鳕科及南极鳕科鱼鱼片,2025,9,千克,?,?
205,鲜或冷剑鱼鱼片,2025,9,千克,?,?
206,鲜或冷南极犬牙鱼(南极犬牙鱼属)鱼片,2025,9,千克,?,?
207,鲜或冷角鲨及其他鲨鱼鱼片,2025,9,千克,?,?
208,鲜或冷?鱼及鳐鱼（鳐科）鱼片,2025,9,千克,?,?
209,其他鲜或冷的鱼片,2025,9,千克,?,?
210,鲜或冷的罗非鱼（口孵非鲫属）、鲶鱼（(鱼芒)鲶属、鲶属、胡鲶属、真?属）、鲤科鱼（鲤属、?属、草鱼、鲢属、鲮属、青鱼、卡特拉?、野鲮属、哈氏纹唇鱼、何氏细须?、鲂属）、鳗鱼（鳗鲡属）、尼罗河鲈鱼（尼罗尖吻鲈）及黑鱼（鳢属）鱼肉,2025,9,千克,?,?
211,鲜或冷的鲑科鱼鱼肉,2025,9,千克,?,?
212,鲜或冷的犀鳕科、多丝真鳕科、鳕科、长尾鳕科、黑鳕科、无须鳕科、深海鳕科及南极鳕科鱼鱼肉,2025,9,千克,?,?
213,鲜或冷的剑鱼鱼肉,2025,9,千克,?,?
214,鲜或冷的南极犬牙鱼（南极犬牙鱼属）鱼肉,2025,9,千克,?,?
215,鲜或冷的角鲨及其他鲨鱼鱼肉,2025,9,千克,?,?
216,鲜或冷的?鱼及鳐鱼（鳐科）鱼肉,2025,9,千克,?,?
217,其他鲜或冷的鱼肉,2025,9,千克,?,?
218,冻罗非鱼（口孵非鲫属）的鱼片,2025,9,千克,?,?
219,冻叉尾?鱼（真?属）的鱼片,2025,9,千克,?,?
220,冻尼罗河鲈鱼（尼罗尖吻鲈）的鱼片,2025,9,千克,?,?
221,冻鲤科鱼、鳗鱼（鳗鲡属）及黑鱼（鳢属）的鱼片,2025,9,千克,?,?
222,冻鳕鱼（大西洋鳕鱼、格陵兰鳕鱼、太平洋鳕鱼）鱼片,2025,9,千克,?,?
223,冻黑线鳕鱼（黑线鳕）鱼片,2025,9,千克,?,?
224,冻绿青鳕鱼鱼片,2025,9,千克,?,?
225,冻狗鳕鱼(无须鳕属、长鳍鳕属)鱼片,2025,9,千克,?,?
226,冻阿拉斯加狭鳕鱼鱼片,2025,9,千克,?,?
227,其他冻的犀鳕科、多丝真鳕科、鳕科、长尾鳕科、黑鳕科、无须鳕科、深海鳕科及南极鳕科鱼的鱼片,2025,9,千克,?,?
228,冻大麻哈鱼、大西洋鲑鱼及多瑙哲罗鱼的鱼片,2025,9,千克,?,?
229,冻鳟鱼的鱼片,2025,9,千克,?,?
230,冻比目鱼（鲽科、?科、舌鳎科、鳎科、菱?科、刺?科）的鱼片,2025,9,千克,?,?
231,冻剑鱼的鱼片,2025,9,千克,?,?
232,冻南极犬牙鱼(南极犬牙鱼属)的鱼片,2025,9,千克,?,?
233,冻鲱鱼（大西洋鲱鱼、太平洋鲱鱼）的鱼片,2025,9,千克,?,?
234,冻金枪鱼(金枪鱼属)、鲣的鱼片,2025,9,千克,?,?
235,冻的角鲨、其他鲨鱼、?鱼及鳐鱼（鳐科）的鱼片,2025,9,千克,?,?
236,其他冻鱼片,2025,9,千克,?,?
237,冻剑鱼鱼肉,2025,9,千克,?,?
238,冻南极犬牙鱼(南极犬牙鱼属)鱼肉,2025,9,千克,?,?
239,冻的罗非鱼（口孵非鲫属）、鲶鱼（(鱼芒)鲶属、鲶属、胡鲶属、真?属）、鲤科鱼（鲤属、?属、草鱼、鲢属、鲮属、青鱼、卡特拉?、野鲮属、哈氏纹唇鱼、何氏细须?、鲂属）、鳗鱼（鳗鲡属）、尼罗河鲈鱼（尼罗尖吻鲈）及黑鱼（鳢属）鱼肉,2025,9,千克,?,?
240,冻阿拉斯加狭鳕鱼鱼肉,2025,9,千克,?,?
241,冻的犀鳕科、多丝真鳕科、鳕科、长尾鳕科、黑鳕科、无须鳕科、深海鳕科及南极鳕科鱼鱼肉，阿拉斯加狭鳕鱼的除外,2025,9,千克,?,?
242,冻的角鲨及其他鲨鱼鱼肉,2025,9,千克,?,?
243,冻的?鱼及鳐鱼（鳐科）鱼肉,2025,9,千克,?,?
244,其他冻鱼肉,2025,9,千克,?,?
245,干、熏、盐腌或盐渍的鱼肝、鱼卵及鱼精,2025,9,千克,?,?
246,干、盐腌或盐渍的罗非鱼（口孵非鲫属）、鲶鱼（(鱼芒)鲶属、鲶属、胡鲶属、真?属）、鲤科鱼（鲤属、?属、草鱼、鲢属、鲮属、青鱼、卡特拉?、野鲮属、哈氏纹唇鱼、何氏细须?、鲂属）、鳗鱼（鳗鲡属）、尼罗河鲈鱼（尼罗尖吻鲈）及黑鱼（鳢属）的鱼片,2025,9,千克,?,?
247,干、盐腌或盐渍的犀鳕科、多丝真鳕科、鳕科、长尾鳕科、黑鳕科、无须鳕科、深海鳕科及南极鳕科鱼的鱼片,2025,9,千克,?,?
248,其他干、盐腌或盐渍的鱼片,2025,9,千克,?,?
249,熏大麻哈鱼、大西洋鲑鱼及多瑙哲罗鱼（不包括食用杂碎）,2025,9,千克,?,?
250,熏鲱鱼（不包括食用杂碎）,2025,9,千克,?,?
251,熏鳟鱼（不包括食用杂碎）,2025,9,千克,?,?
252,熏的罗非鱼（口孵非鲫属）、鲶鱼（(鱼芒)鲶属、鲶属、胡鲶属、真?属）、鲤科鱼（鲤属、?属、草鱼、鲢属、鲮属、青鱼、卡特拉?、野鲮属、哈氏纹唇鱼、何氏细须?、鲂属）、鳗鱼（鳗鲡属）、尼罗河鲈鱼（尼罗尖吻鲈）及黑鱼（鳢属）,2025,9,千克,?,?
253,其他熏鱼（不包括食用杂碎）,2025,9,千克,?,?
254,干鳕鱼(大西洋鳕鱼、格陵兰鳕鱼、太平洋鳕鱼)（不包括食用杂碎）,2025,9,千克,?,?
255,干的罗非鱼（口孵非鲫属）、鲶鱼（(鱼芒)鲶属、鲶属、胡鲶属、真?属）、鲤科鱼（鲤属、?属、草鱼、鲢属、鲮属、青鱼、卡特拉?、野鲮属、哈氏纹唇鱼、何氏细须?、鲂属）、鳗鱼（鳗鲡属）、尼罗河鲈鱼（尼罗尖吻鲈）及黑鱼（鳢属）,2025,9,千克,?,?
256,干的犀鳕科、多丝真鳕科、鳕科、长尾鳕科、黑鳕科、无须鳕科、深海鳕科及南极鳕科鱼，鳕鱼（大西洋鳕鱼、格陵兰鳕鱼、太平洋鳕鱼）除外,2025,9,千克,?,?
257,干的鲱鱼（大西洋鲱鱼、太平洋鲱鱼）、?鱼（?属）、沙丁鱼（沙丁鱼、沙瑙鱼属）、小沙丁鱼属、黍鲱或西鲱、鲭鱼[大西洋鲭、澳洲鲭（鲐）、日本鲭（鲐）]、印度鲭(羽鳃鲐属)、马鲛鱼(马鲛属)、对称竹荚鱼、新西兰竹荚鱼及竹荚鱼（竹荚鱼属）、?鱼（?属）、军曹鱼、银鲳(鲳属)、秋刀鱼、圆?(圆?属)、多春鱼（毛鳞鱼）、剑鱼、鲔鱼、狐鲣（狐鲣属）、枪鱼 、旗鱼、四鳍旗鱼（旗鱼科）,2025,9,千克,?,?
258,其他干鱼（不包括食用杂碎）,2025,9,千克,?,?
259,盐腌及盐渍的鲱鱼（不包括食用杂碎）,2025,9,千克,?,?
260,盐腌及盐渍的鳕鱼(大西洋鳕鱼、格陵兰鳕鱼、太平洋鳕鱼)（不包括食用杂碎）,2025,9,千克,?,?
261,盐腌及盐渍的?鱼(?属),2025,9,千克,?,?
262,盐腌及盐渍的罗非鱼（口孵非鲫属）、鲶鱼（(鱼芒)鲶属、鲶属、胡鲶属、真?属）、鲤科鱼（鲤属、?属、草鱼、鲢属、鲮属、青鱼、卡特拉?、野鲮属、哈氏纹唇鱼、何氏细须?、鲂属）、鳗鱼（鳗鲡属）、尼罗河鲈鱼（尼罗尖吻鲈）及黑鱼（鳢属）,2025,9,千克,?,?
263,其他盐腌及盐渍的鱼（不包括食用杂碎）,2025,9,千克,?,?
264,鲨鱼翅,2025,9,千克,?,?
265,鱼头、鱼尾、鱼鳔,2025,9,千克,?,?
266,其他鱼鳍及其他可食用杂碎,2025,9,千克,?,?
267,冻的岩礁虾和其他龙虾（真龙虾属、龙虾属、岩龙虾属）,2025,9,千克,?,?
268,冻的螯龙虾(螯龙虾属),2025,9,千克,?,?
269,冻蟹,2025,9,千克,?,?
270,冻挪威海螯虾,2025,9,千克,?,?
271,冻冷水小虾及对虾(长额虾属、褐虾),2025,9,千克,?,?
272,其他冻小虾及对虾,2025,9,千克,?,?
273,其他冻甲壳动物,2025,9,千克,?,?
274,活、鲜或冷的岩礁虾及其他龙虾（真龙虾属、龙虾属、岩龙虾属）,2025,9,千克,?,?
275,活、鲜或冷的螯龙虾（螯龙虾属）,2025,9,千克,?,?
276,活、鲜或冷的蟹,2025,9,千克,?,?
277,活、鲜或冷的挪威海螯虾,2025,9,千克,?,?
278,活、鲜或冷的冷水小虾及对虾(长额虾属、褐虾),2025,9,千克,?,?
279,其他小虾及对虾,2025,9,千克,?,?
280,其他活、鲜或冷的甲壳动物,2025,9,千克,?,?
281,本品目所列其他方法加工的岩礁虾及其他龙虾（真龙虾属、龙虾属、岩龙虾属）,2025,9,千克,?,?
282,本品目所列其他方法加工的螯龙虾（螯龙虾属）,2025,9,千克,?,?
283,本品目所列其他方法加工的蟹,2025,9,千克,?,?
284,本品目所列其他方法加工的挪威海螯虾,2025,9,千克,?,?
285,本品目所列其他方法加工的小虾及对虾,2025,9,千克,?,?
286,本品目所列其他方法加工的未列名甲壳动物,2025,9,千克,?,?
287,活、鲜或冷的牡蛎(蚝),2025,9,千克,?,?
288,冻的牡蛎(蚝),2025,9,千克,?,?
289,干、盐腌、盐渍或熏制的牡蛎(蚝),2025,9,千克,?,?
290,活、鲜或冷的扇贝及其他扇贝科软体动物,2025,9,千克,?,?
291,冻的扇贝及其他扇贝科软体动物,2025,9,千克,?,?
292,干、盐腌、盐渍或熏制的扇贝及其他扇贝科软体动物,2025,9,千克,?,?
293,活、鲜或冷的贻贝,2025,9,千克,?,?
294,冻的贻贝,2025,9,千克,?,?
295,干、盐腌、盐渍或熏制的贻贝,2025,9,千克,?,?
296,活、鲜或冷的墨鱼及鱿鱼,2025,9,千克,?,?
297,冻的墨鱼及鱿鱼,2025,9,千克,?,?
298,冻、干、盐腌、盐渍或熏制的墨鱼及鱿鱼,2025,9,千克,?,?
299,活、鲜或冷的章鱼,2025,9,千克,?,?
300,冻的章鱼,2025,9,千克,?,?
301,干、盐腌、盐渍或熏制的章鱼,2025,9,千克,?,?
302,蜗牛及螺，海螺除外,2025,9,千克,?,?
303,活、鲜或冷的蛤、鸟蛤及舟贝,2025,9,千克,?,?
304,冻的蛤、鸟蛤及舟贝（(蚶科、北极蛤科、鸟蛤科、斧蛤科、缝栖蛤科、蛤蜊科、中带蛤科、海螂科、双带蛤科、截蛏科、竹蛏科、砗磲科、帘蛤科),2025,9,千克,?,?
305,干、盐腌、盐渍或熏制的蛤、鸟蛤及舟贝(蚶科、北极蛤科、鸟蛤科、斧蛤科、缝栖蛤科、蛤蜊科、中带蛤科、海螂科、双带蛤科、截蛏科、竹蛏科、砗磲科、帘蛤科),2025,9,千克,?,?
306,活、鲜或冷的鲍鱼（鲍属）,2025,9,千克,?,?
307,活、鲜或冷的凤螺（凤螺属）,2025,9,千克,?,?
308,冻的鲍鱼（鲍属）,2025,9,千克,?,?
309,冻的凤螺（凤螺属）,2025,9,千克,?,?
310,干、盐腌、盐渍或熏制的鲍鱼（鲍属）,2025,9,千克,?,?
311,干、盐腌、盐渍或熏制的凤螺（凤螺属）,2025,9,千克,?,?
312,其他活、鲜、冷的软体动物,2025,9,千克,?,?
313,未列名冻的软体动物,2025,9,千克,?,?
314,未列名干、盐腌、盐渍或熏制的软体动物,2025,9,千克,?,?
315,活、鲜或冷的海参(仿刺参、海参纲),2025,9,千克,?,?
316,冻的海参(仿刺参、海参纲),2025,9,千克,?,?
317,干、盐腌、盐渍或熏制的海参(仿刺参、海参纲),2025,9,千克,?,?
318,活、鲜或冷的海胆,2025,9,千克,?,?
319,冻的海胆（球海胆属、拟球海胆、智利海胆、食用正海胆）,2025,9,千克,?,?
320,干、盐腌、盐渍或熏制的海胆（球海胆属、拟球海胆、智利海胆、食用正海胆）,2025,9,千克,?,?
321,活、鲜、冷、冻、干、盐腌、盐渍或熏制的海蜇,2025,9,千克,?,?
322,其他活、鲜、冷、冻、干、盐腌、盐渍或熏制的不属于甲壳动物及软体动物的水生无脊椎动物,2025,9,千克,?,?
