号商,商品线索数,报价线索数,线索报价率,平均报价时间,未报价线索数,未报价率,同意报价数,同意报价率,付费订单数,交易中订单,成交订单数,成交率,平均成交时间,成交订单金额,客单价,毛收入,收益率,被付费线索数,付费率,回收成功率
号商_047,2889,0,0%,0,2889,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_048,2951,0,0%,0,2951,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_048,2951,0,0%,0,2951,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_049,2687,0,0%,0,2687,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_050,2687,0,0%,0,2687,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_051,2372,0,0%,0,2372,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_052,2310,0,0%,0,2310,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_053,2889,0,0%,0,2889,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_054,2889,0,0%,0,2889,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_055,2512,0,0%,0,2512,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_056,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
号商_057,2329,0,0%,0,2329,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_058,3034,0,0%,0,3034,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_059,2951,0,0%,0,2951,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_060,2386,0,0%,0,2386,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_061,2998,0,0%,0,2998,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_062,2687,0,0%,0,2687,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_063,2357,0,0%,0,2357,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_064,2953,0,0%,0,2953,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_065,3277,0,0%,0,3277,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_066,3031,0,0%,0,3031,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_066,3031,0,0%,0,3031,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_066,3031,0,0%,0,3031,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_067,2687,0,0%,0,2687,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_068,2749,0,0%,0,2749,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_069,2687,0,0%,0,2687,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_070,2310,0,0%,0,2310,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_071,2512,0,0%,0,2512,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_071,2512,0,0%,0,2512,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_072,2936,0,0%,0,2936,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_073,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
号商_074,2951,0,0%,0,2951,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_075,2310,0,0%,0,2310,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_076,2638,0,0%,0,2638,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_077,2310,0,0%,0,2310,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_078,2687,0,0%,0,2687,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_079,2445,0,0%,0,2445,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_080,2587,0,0%,0,2587,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_081,2687,0,0%,0,2687,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_082,2531,0,0%,0,2531,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_083,2310,0,0%,0,2310,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_084,2687,0,0%,0,2687,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_085,2951,0,0%,0,2951,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_086,2889,0,0%,0,2889,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_087,3364,0,0%,0,3364,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_088,2412,0,0%,0,2412,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_089,2789,0,0%,0,2789,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_090,2687,0,0%,0,2687,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_090,3031,0,0%,0,3031,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_091,2889,0,0%,0,2889,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_092,2310,0,0%,0,2310,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_093,2512,1,0.04%,0,2511,99.96%,0,0%,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_094,2344,0,0%,0,2344,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_095,400,0,0%,0,400,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_096,3288,0,0%,0,3288,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_097,3342,0,0%,0,3342,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_098,2357,0,0%,0,2357,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_099,2310,0,0%,0,2310,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_100,2889,0,0%,0,2889,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_101,2310,0,0%,0,2310,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_102,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
号商_103,2559,0,0%,0,2559,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_104,2329,0,0%,0,2329,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_105,2904,0,0%,0,2904,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_106,2749,0,0%,0,2749,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_107,2945,0,0%,0,2945,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_108,3382,0,0%,0,3382,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_109,2889,0,0%,0,2889,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_110,2310,0,0%,0,2310,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_111,2908,0,0%,0,2908,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_112,3013,0,0%,0,3013,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_113,2346,0,0%,0,2346,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_114,2372,0,0%,0,2372,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_115,3367,0,0%,0,3367,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_116,627,0,0%,0,627,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_117,2310,0,0%,0,2310,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_118,2310,0,0%,0,2310,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_119,2936,0,0%,0,2936,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_120,2511,0,0%,0,2511,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_121,2344,0,0%,0,2344,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_122,2898,0,0%,0,2898,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_123,9,0,0%,0,9,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_124,2979,0,0%,0,2979,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_125,2687,0,0%,0,2687,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_027,2696,0,0%,0,2696,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_126,2889,0,0%,0,2889,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_127,2706,0,0%,0,2706,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_128,377,0,0%,0,377,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_129,377,0,0%,0,377,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_130,2452,0,0%,0,2452,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_131,3286,0,0%,0,3286,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_132,287,0,0%,0,287,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_133,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
号商_134,2319,0,0%,0,2319,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_135,3121,0,0%,0,3121,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_136,2310,0,0%,0,2310,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_137,2908,0,0%,0,2908,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_138,2329,0,0%,0,2329,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_139,467,0,0%,0,467,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_140,3122,0,0%,0,3122,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_141,2372,0,0%,0,2372,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_142,676,0,0%,0,676,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_143,377,0,0%,0,377,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_144,676,0,0%,0,676,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
