股票代码,年份,企业ID,时间ID,公司简称,所属省份,所属城市,股权性质,投入1_研发人员占比,投入2_数字化无形资产占比,投入3_研发投入占比,产出1_数字化成果,产出2_利润总额,产出3_数字化应用,环境变量1_所在城市移动互联网用户规模,环境变量2_地方财政科技支出强度（R&D经费强度）,环境变量3_企业规模
002051.SZ,2022,002051,2022,中工国际,北京市,北京市,1.0,66.02,13.1264690295333,6.4,22.215,468649320.11,73.2832,2.7506,6.84467452558803,23.8075180053711
002051.SZ,2023,002051,2023,中工国际,北京市,北京市,1.0,78.69,16.1416590212471,6.6,20.3836,530656658.31,26.4977,2.8095,6.73452038015845,23.8421516418457
002062.SZ,2019,002062,2019,宏润建设,浙江省,宁波市,0.0,21.31,0.628582309046476,2.78,29.0674,523080009.99,25.3314,2.2318,2.67329832538183,23.4789371490479
002062.SZ,2020,002062,2020,宏润建设,浙江省,宁波市,0.0,25.52,0.363523935515884,3.0,29.1528,627981412.25,24.9097,2.177,2.87512904028654,23.5564918518066
002062.SZ,2021,002062,2021,宏润建设,浙江省,宁波市,0.0,26.24,0.358982698725708,3.29,36.6163,513373950.82,26.3926,243.1847,2.91419109463971,23.6309757232666
002062.SZ,2022,002062,2022,宏润建设,浙江省,宁波市,0.0,31.82,0.358982698725708,2.84,22.215,646801409.48,25.9199,2.23,3.09601360993894,23.5196094512939
002062.SZ,2023,002062,2023,宏润建设,浙江省,宁波市,0.0,33.3,2.64182038203,3.2,20.3836,464774564.71,26.4977,2.2679,3.19816913214751,23.4705963134766
002081.SZ,2019,002081,2019,金螳螂,江苏省,苏州市,0.0,16.69,32.0225184109497,2.85,32.2646,2695090886.19,25.3314,2.5588,2.81735926971075,24.3988933563232
002081.SZ,2020,002081,2020,金螳螂,江苏省,苏州市,0.0,20.77,32.3145244017515,3.06,44.5924,2710282604.54,24.9097,2.3698,2.92383576327454,24.5300025939941
002081.SZ,2021,002081,2021,金螳螂,江苏省,苏州市,0.0,18.12,32.3794123679278,3.31,32.6764,-5459333465.73,26.3926,96.3273,2.92911398012137,24.3657112121582
002081.SZ,2022,002081,2022,金螳螂,江苏省,苏州市,0.0,18.5,27.6321089970015,3.36,22.215,1419738216.85,25.9199,2.415,3.14149413584974,24.3351650238037
002081.SZ,2023,002081,2023,金螳螂,江苏省,苏州市,0.0,16.41,30.380971395463,3.31,20.3836,1164906946.06,26.4977,2.4065,3.28514878078835,24.3363914489746
002116.SZ,2019,002116,2019,中国海诚,上海市,上海市,1.0,20.22,74.4045868465189,3.49,32.2646,91551951.67,25.3314,2.7278,4.01329223220209,22.1826019287109
002116.SZ,2020,002116,2020,中国海诚,上海市,上海市,1.0,19.64,75.4313086830036,3.52,29.1528,94860177.91,24.9097,2.8988,4.14669830327513,22.2319221496582
002116.SZ,2021,002116,2021,中国海诚,上海市,上海市,1.0,21.31,77.5185651855927,3.37,40.0413,190099851.77,62.8023,179.7986,4.16869897281299,22.3069019317627
002116.SZ,2022,002116,2022,中国海诚,上海市,上海市,1.0,21.59,79.4066227170448,3.72,22.215,226688513.53,69.6338,2.9478,4.422268021451,22.5251274108887
002116.SZ,2023,002116,2023,中国海诚,上海市,上海市,1.0,21.15,81.485671520401,4.02,24.9676,359142535.77,79.516,3.0296,4.34065916681315,22.4671669006348
002375.SZ,2019,002375,2019,亚厦股份,浙江省,绍兴市,0.0,13.59,13.0149421733693,2.68,36.4324,542818987.33,25.3314,1.4871,2.67329832538183,23.7973537445068
002375.SZ,2020,002375,2020,亚厦股份,浙江省,绍兴市,0.0,11.79,16.2374116829355,3.04,32.8482,408988390.47,37.2748,1.484,2.87512904028654,23.826976776123
002375.SZ,2021,002375,2021,亚厦股份,浙江省,绍兴市,0.0,12.54,16.4620478258258,3.17,32.6764,-1005270484.63,26.3926,134.3276,2.91419109463971,23.8620834350586
002375.SZ,2022,002375,2022,亚厦股份,浙江省,绍兴市,0.0,15.98,17.1368422115103,3.07,22.215,248248933.18,25.9199,1.5791,3.09601360993894,23.8665618896484
002375.SZ,2023,002375,2023,亚厦股份,浙江省,绍兴市,0.0,18.02,17.1381230472551,3.02,20.3836,267929332.34,26.4977,1.6263,3.19816913214751,23.8594360351563
002542.SZ,2019,002542,2019,中化岩土,北京市,北京市,1.0,18.85,0.437682925779951,2.97,29.0674,289982183.59,27.3882,2.8768,6.30153956400179,22.9214115142822
002542.SZ,2020,002542,2020,中化岩土,北京市,北京市,1.0,18.23,1.03357049823078,3.0,36.5086,198803171.35,71.8697,2.8696,6.47291511909034,23.0844898223877
002542.SZ,2021,002542,2021,中化岩土,北京市,北京市,1.0,20.79,1.03357049823078,3.06,29.2513,-356108315.02,70.56,225.1808,6.40585300251428,23.0403804779053
002542.SZ,2022,002542,2022,中化岩土,北京市,北京市,1.0,17.46,1.03357049823078,3.41,22.215,-807484301.26,60.9941,2.7506,6.84467452558803,22.8606567382813
002542.SZ,2023,002542,2023,中化岩土,北京市,北京市,1.0,21.45,1.03357049823078,3.84,27.7486,-880649211.89,54.4092,2.8095,6.73452038015845,22.8444118499756
002620.SZ,2019,002620,2019,瑞和股份,广东省,深圳市,0.0,16.45,27.7478464870964,3.27,29.0674,224569733.22,25.3314,5.3452,2.86931933410441,22.4921855926514
002620.SZ,2020,002620,2020,瑞和股份,广东省,深圳市,0.0,18.63,31.3465530130076,3.26,36.5086,199316171.69,24.9097,4.588,3.13075412319751,22.5724716186523
002620.SZ,2021,002620,2021,瑞和股份,广东省,深圳市,0.0,18.04,14.1886286309434,3.24,29.2513,-1786470186.0,26.3926,469.9828,3.20894447139381,22.3252182006836
002620.SZ,2022,002620,2022,瑞和股份,广东省,深圳市,0.0,17.07,14.1745077536791,3.12,22.215,96467417.82,25.9199,4.304,3.40651136251328,22.291187286377
002620.SZ,2023,002620,2023,瑞和股份,广东省,深圳市,0.0,19.08,37.1247704873573,3.17,27.7486,-279217071.93,26.4977,4.3207,3.53984138355991,22.126350402832
002663.SZ,2019,002663,2019,普邦股份,广东省,广州市,0.0,13.24,7.35904711461264,3.31,36.4324,-1077662360.39,25.3314,3.8219,2.86931933410441,22.7451610565186
002663.SZ,2020,002663,2020,普邦股份,广东省,广州市,0.0,14.86,2.43623580133651,4.05,29.1528,-350572569.63,40.9974,3.0235,3.13075412319751,22.6854915618896
002663.SZ,2021,002663,2021,普邦股份,广东省,广州市,0.0,11.17,2.48719227439132,3.53,29.2513,-679209790.74,26.3926,626.7545,3.20894447139381,22.5471611022949
002663.SZ,2022,002663,2022,普邦股份,广东省,广州市,0.0,14.11,3.10267805720715,2.98,29.58,-263059641.93,60.9941,3.5201,3.40651136251328,22.462890625
002663.SZ,2023,002663,2023,普邦股份,广东省,广州市,0.0,10.5,74.5664207578425,3.24,20.3836,-63874257.11,26.4977,3.1459,3.53984138355991,22.4328079223633
002713.SZ,2019,002713,2019,东易日盛,北京市,北京市,0.0,13.45,62.7705555477659,4.47,29.0674,-166116881.25,34.9692,2.8768,6.30153956400179,21.786018371582
002713.SZ,2020,002713,2020,东易日盛,北京市,北京市,0.0,15.85,66.7605904836416,4.6,45.512,258737568.38,38.288,2.8696,6.47291511909034,21.8747825622559
002713.SZ,2021,002713,2021,东易日盛,北京市,北京市,0.0,13.76,69.8976373456603,4.17,29.2513,120173289.07,35.7914,225.1808,6.40585300251428,22.0345401763916
002713.SZ,2022,002713,2022,东易日盛,北京市,北京市,0.0,15.49,72.7962954108703,6.69,29.58,-898195373.63,35.3139,2.7506,6.84467452558803,21.8957176208496
002713.SZ,2023,002713,2023,东易日盛,北京市,北京市,0.0,15.74,79.9253131538336,5.23,20.3836,-236709108.13,35.8756,2.8095,6.73452038015845,21.7985229492188
002775.SZ,2019,002775,2019,文科园林,广东省,深圳市,1.0,13.34,3.46200234391683,3.26,29.0674,285794602.8,25.3314,5.3452,2.86931933410441,22.2513618469238
002775.SZ,2020,002775,2020,文科园林,广东省,深圳市,1.0,13.29,3.74741507341769,3.15,29.1528,177121634.41,24.9097,4.588,3.13075412319751,22.4085655212402
002775.SZ,2021,002775,2021,文科园林,广东省,深圳市,1.0,15.82,4.27227693664398,3.1,29.2513,-1939312143.02,26.3926,469.9828,3.20894447139381,22.2388610839844
002775.SZ,2022,002775,2022,文科园林,广东省,深圳市,1.0,10.78,4.47567751687835,2.81,29.58,-431002176.59,25.9199,4.304,3.40651136251328,22.3350124359131
002775.SZ,2023,002775,2023,文科股份,广东省,佛山市,1.0,20.05,5.19678526780425,2.85,20.3836,-176284281.23,26.4977,2.536,3.53984138355991,22.4975509643555
002789.SZ,2019,002789,2019,建艺集团,广东省,深圳市,1.0,27.74,4.08906965719471,3.05,36.4324,36610834.18,25.3314,5.3452,2.86931933410441,22.2422847747803
002789.SZ,2020,002789,2020,建艺集团,广东省,深圳市,1.0,30.05,4.08906965719471,3.13,29.1528,-23134425.0,24.9097,4.588,3.13075412319751,22.1882820129395
002789.SZ,2021,002789,2021,建艺集团,广东省,深圳市,1.0,29.46,4.08906965719471,3.11,29.2513,-1059315714.98,26.3926,469.9828,3.20894447139381,21.9261684417725
002789.SZ,2022,002789,2022,建艺集团,广东省,深圳市,1.0,22.86,3.61425322226123,3.02,29.58,12381966.97,25.9199,4.304,3.40651136251328,22.9179801940918
002789.SZ,2023,002789,2023,建艺集团,广东省,深圳市,1.0,12.47,4.66129699983523,3.27,24.9676,-509467845.8,26.4977,4.3207,3.53984138355991,23.0366458892822
002811.SZ,2019,002811,2019,亚泰国际,广东省,深圳市,0.0,21.2,35.5031174564643,3.9,36.8253,159703991.84,29.669,5.3452,2.86931933410441,21.9536952972412
002811.SZ,2020,002811,2020,郑中设计,广东省,深圳市,0.0,23.0,43.7327943964047,5.18,40.2132,35615890.52,24.9097,4.588,3.13075412319751,21.86106300354
002811.SZ,2021,002811,2021,郑中设计,广东省,深圳市,0.0,27.41,45.2291964448608,5.44,29.2513,21351723.29,26.3926,469.9828,3.20894447139381,21.8197593688965
002811.SZ,2022,002811,2022,郑中设计,广东省,深圳市,0.0,26.1,44.6762454183137,6.79,22.215,-193952269.47,25.9199,4.304,3.40651136251328,21.6971836090088
002811.SZ,2023,002811,2023,郑中设计,广东省,深圳市,0.0,26.99,48.7783112144189,6.07,32.3326,-42686144.02,26.4977,4.3207,3.53984138355991,21.6788597106934
002830.SZ,2019,002830,2019,名雕股份,广东省,深圳市,0.0,8.94,38.9565379492439,1.87,29.0674,41422719.2,25.3314,5.3452,2.86931933410441,20.9895153045654
002830.SZ,2020,002830,2020,名雕股份,广东省,深圳市,0.0,9.16,41.9981132790606,1.43,29.1528,35447208.51,34.2001,4.588,3.13075412319751,21.127649307251
002830.SZ,2021,002830,2021,名雕股份,广东省,深圳市,0.0,8.47,42.9332811614901,1.45,29.2513,46740998.97,35.7286,469.9828,3.20894447139381,21.2269763946533
002830.SZ,2022,002830,2022,名雕股份,广东省,深圳市,0.0,7.57,42.9675952871033,1.54,22.215,42849652.11,35.2726,4.304,3.40651136251328,21.0935764312744
002830.SZ,2023,002830,2023,名雕股份,广东省,深圳市,0.0,6.04,42.9834875487715,0.96,20.3836,61308284.11,35.5372,4.3207,3.53984138355991,21.0970821380615
002883.SZ,2019,002883,2019,中设股份,江苏省,无锡市,1.0,19.82,17.3342552626332,5.59,29.0674,74595494.02,34.9692,1.9868,2.81735926971075,20.2056427001953
002883.SZ,2020,002883,2020,中设股份,江苏省,无锡市,1.0,22.88,16.0532830269665,4.89,29.1528,87761865.42,34.5654,1.8575,2.92383576327454,20.7043056488037
002883.SZ,2021,002883,2021,中设股份,江苏省,无锡市,1.0,16.2,18.9989116190911,5.06,29.2513,77392101.33,35.7914,67.8137,2.92911398012137,20.9131507873535
002883.SZ,2022,002883,2022,中设股份,江苏省,无锡市,1.0,15.92,22.5554360617182,5.12,29.58,70616523.69,35.3139,1.973,3.14149413584974,20.9467639923096
002883.SZ,2023,002883,2023,中设股份,江苏省,无锡市,1.0,16.87,25.6882557235285,5.04,24.9676,55384650.3,35.8755,1.9944,3.28514878078835,21.0000057220459
002949.SZ,2019,002949,2019,华阳国际,广东省,深圳市,0.0,10.42,34.8650333232417,4.4,39.6296,171524065.32,25.3314,5.3452,2.86931933410441,21.3541946411133
002949.SZ,2020,002949,2020,华阳国际,广东省,深圳市,0.0,11.39,15.4556127773813,3.85,35.9033,219730165.58,24.9097,4.588,3.13075412319751,21.7361259460449
002949.SZ,2021,002949,2021,华阳国际,广东省,深圳市,0.0,12.22,16.0600171478501,3.38,32.6764,147057759.22,26.3926,469.9828,3.20894447139381,21.8355751037598
002949.SZ,2022,002949,2022,华阳国际,广东省,深圳市,0.0,13.41,16.8337764475427,4.38,29.58,160287779.46,25.9199,4.304,3.40651136251328,21.8930053710938
002949.SZ,2023,002949,2023,华阳国际,广东省,深圳市,0.0,14.2,16.3704902078032,4.52,20.3836,214707182.85,26.4977,4.3207,3.53984138355991,21.9060649871826
002963.SZ,2019,002963,2019,豪尔赛,北京市,北京市,0.0,22.225,90.4006692114307,3.7600000000000002,29.0674,255626317.63,29.669,2.8768,6.30153956400179,21.5505275726318
002963.SZ,2020,002963,2020,豪尔赛,北京市,北京市,0.0,24.63,83.367136281275,4.93,32.8482,46624651.72,29.0567,2.8696,6.47291511909034,21.481990814209
002963.SZ,2021,002963,2021,豪尔赛,北京市,北京市,0.0,22.41,87.0363762742698,6.3,36.6163,12054265.7,33.6924,225.1808,6.40585300251428,21.5608596801758
002963.SZ,2022,002963,2022,豪尔赛,北京市,北京市,0.0,27.33,87.564906489496,10.54,34.9444,-188948356.87,25.9199,2.7506,6.84467452558803,21.4729137420654
002963.SZ,2023,002963,2023,豪尔赛,北京市,北京市,0.0,28.23,90.9824022320651,6.76,24.9676,21115976.94,26.4977,2.8095,6.73452038015845,21.4413146972656
300284.SZ,2019,300284,2019,苏交科,江苏省,南京市,1.0,18.0,39.7922441187024,4.62,53.2409,876085062.07,31.7407,1.8427,2.81735926971075,23.3148670196533
300284.SZ,2020,300284,2020,苏交科,江苏省,南京市,1.0,18.0,43.1876893178246,4.32,44.9383,507533876.98,43.451,1.749,2.92383576327454,23.3827133178711
300284.SZ,2021,300284,2021,苏交科,江苏省,南京市,1.0,18.01,39.3962432788415,4.48,45.0005,593216848.35,79.9543,80.7749,2.92911398012137,23.4369125366211
300284.SZ,2022,300284,2022,苏交科,江苏省,南京市,1.0,18.0,41.3049623445225,6.25,29.58,752653966.83,78.9865,1.8313,3.14149413584974,23.4647026062012
300284.SZ,2023,300284,2023,苏交科,江苏省,南京市,1.0,18.0,44.9303305305563,5.83,36.1805,354674366.48,80.6961,1.9169,3.28514878078835,23.4907150268555
300384.SZ,2019,300384,2019,三联虹普,北京市,北京市,0.0,73.86,6.25496505145973,6.31,29.0674,214856189.88,90.3622,2.8768,6.30153956400179,21.7816886901855
300384.SZ,2020,300384,2020,三联虹普,北京市,北京市,0.0,50.9,6.45893011720816,8.04,36.5086,198762669.62,90.3326,2.8696,6.47291511909034,21.8246440887451
300384.SZ,2021,300384,2021,三联虹普,北京市,北京市,0.0,48.19,4.85361384241879,9.35,29.2513,223278094.57,72.4723,225.1808,6.40585300251428,21.8993606567383
300384.SZ,2022,300384,2022,三联虹普,北京市,北京市,0.0,46.24,4.78756336323588,6.01,22.215,293301154.83,69.6338,2.7506,6.84467452558803,22.0246353149414
300384.SZ,2023,300384,2023,三联虹普,北京市,北京市,0.0,47.59,4.64989746501087,5.72,24.9676,360816791.13,26.4977,2.8095,6.73452038015845,22.0875644683838
300500.SZ,2019,300500,2019,启迪设计,江苏省,苏州市,0.0,21.14,10.3976077668119,5.11,29.0674,209517636.5,60.3291,2.5588,2.81735926971075,21.6456451416016
300500.SZ,2020,300500,2020,启迪设计,江苏省,苏州市,0.0,18.81,11.9454871343875,4.25,40.204,68302028.49,37.2748,2.3698,2.92383576327454,21.7360076904297
300500.SZ,2021,300500,2021,启迪设计,江苏省,苏州市,0.0,20.88,13.8875604061851,4.58,35.6482,151027312.34,26.3926,96.3273,2.92911398012137,21.9596214294434
300500.SZ,2022,300500,2022,启迪设计,江苏省,苏州市,0.0,21.56,16.261659453754,6.07,22.215,-2997076.65,25.9199,2.415,3.14149413584974,22.034538269043
300500.SZ,2023,300500,2023,启迪设计,江苏省,苏州市,0.0,21.67,16.4228118186644,5.76,27.9842,-339016531.65,47.5543,2.4065,3.28514878078835,21.9581890106201
300621.SZ,2019,300621,2019,维业股份,广东省,深圳市,1.0,21.44,14.5428754622039,2.75,29.0674,102539810.53,25.3314,5.3452,2.86931933410441,21.7237396240234
300621.SZ,2020,300621,2020,维业股份,广东省,深圳市,1.0,20.26,16.4213016204439,2.67,29.1528,63859234.67,24.9097,4.588,3.13075412319751,21.820779800415
300621.SZ,2021,300621,2021,维业股份,广东省,深圳市,1.0,4.91,30.1392248270521,0.51,36.6163,148514286.42,26.3926,469.9828,3.20894447139381,22.8115425109863
300621.SZ,2022,300621,2022,维业股份,广东省,深圳市,1.0,3.24,37.4618944265166,0.34,22.215,128840198.36,25.9199,4.304,3.40651136251328,23.2216300964355
300621.SZ,2023,300621,2023,维业股份,广东省,深圳市,1.0,3.37,34.8427109044718,0.54,20.3836,65657607.54,26.4977,4.3207,3.53984138355991,23.2978992462158
300635.SZ,2019,300635,2019,中达安,广东省,广州市,1.0,11.56,96.8892180482687,6.49,37.5222,85768948.99,25.3314,3.8219,2.86931933410441,20.9446353912354
300635.SZ,2020,300635,2020,中达安,广东省,广州市,1.0,11.27,97.3909885670178,8.2,29.1528,39046567.1,50.4946,3.0235,3.13075412319751,20.9132022857666
300635.SZ,2021,300635,2021,中达安,广东省,广州市,1.0,12.18,98.0420014503288,7.48,36.6163,41782091.69,26.3926,626.7545,3.20894447139381,20.8930015563965
300635.SZ,2022,300635,2022,中达安,广东省,广州市,1.0,10.99,98.4134709028539,7.64,22.215,-215261178.44,53.3257,3.5201,3.40651136251328,20.7171649932861
300635.SZ,2023,300635,2023,中达安,广东省,广州市,1.0,11.44,98.5253566864589,7.85,20.3836,2782686.02,47.5543,3.1459,3.53984138355991,20.9415168762207
300649.SZ,2019,300649,2019,杭州园林,浙江省,杭州市,0.0,17.51,100.0,4.52,29.0674,74440615.61,25.3314,2.2845,2.67329832538183,20.6993618011475
300649.SZ,2020,300649,2020,杭州园林,浙江省,杭州市,0.0,15.49,100.0,3.77,40.204,56192125.17,24.9097,2.2964,2.87512904028654,20.9667263031006
300649.SZ,2021,300649,2021,杭州园林,浙江省,杭州市,0.0,16.43,100.0,3.41,29.2513,35946913.75,26.3926,133.8158,2.91419109463971,21.0673694610596
300649.SZ,2022,300649,2022,杭州园林,浙江省,杭州市,0.0,17.99,100.0,4.51,22.215,11506367.45,25.9199,2.1848,3.09601360993894,20.9383792877197
300649.SZ,2023,300649,2023,杭州园林,浙江省,杭州市,0.0,17.0,100.0,5.37,20.3836,8549300.8,26.4977,2.1857,3.19816913214751,20.8110008239746
300668.SZ,2019,300668,2019,杰恩设计,广东省,深圳市,0.0,31.51,99.3924821516907,5.03,29.0674,97702166.85,40.7896,5.3452,2.86931933410441,20.1765995025635
300668.SZ,2020,300668,2020,杰恩设计,广东省,深圳市,0.0,17.64,99.4039688641828,5.43,36.5086,29052919.24,37.2748,4.588,3.13075412319751,20.1478042602539
300668.SZ,2021,300668,2021,杰恩设计,广东省,深圳市,0.0,10.82,99.4317243594522,3.93,29.2513,21803883.57,26.3926,469.9828,3.20894447139381,20.2220191955566
300668.SZ,2022,300668,2022,杰恩设计,广东省,深圳市,0.0,18.88,99.4733909648098,5.12,22.215,35631257.52,25.9199,4.304,3.40651136251328,20.6218032836914
300668.SZ,2023,300668,2023,杰恩设计,广东省,深圳市,0.0,20.34,99.4738912971431,3.83,27.7486,71061083.96,26.4977,4.3207,3.53984138355991,20.8877468109131
300675.SZ,2019,300675,2019,建科院,广东省,深圳市,1.0,21.61,28.5861975493186,9.22,32.2646,43367423.61,25.3314,5.3452,2.86931933410441,20.7791366577148
300675.SZ,2020,300675,2020,建科院,广东省,深圳市,1.0,26.29,34.3181935761942,8.78,36.5086,52388575.47,24.9097,4.588,3.13075412319751,20.9932651519775
300675.SZ,2021,300675,2021,建科院,广东省,深圳市,1.0,26.9,36.345985933794,9.89,32.6764,51984551.98,45.9676,469.9828,3.20894447139381,21.0140018463135
300675.SZ,2022,300675,2022,建科院,广东省,深圳市,1.0,22.94,72.5145908394876,9.03,22.215,83430464.24,44.3103,4.304,3.40651136251328,21.0469665527344
300675.SZ,2023,300675,2023,建科院,广东省,深圳市,1.0,24.2,73.6363812644636,10.61,20.3836,29480326.97,26.4977,4.3207,3.53984138355991,21.0833797454834
300712.SZ,2019,300712,2019,永福股份,福建省,福州市,0.0,14.64,63.1860837618447,2.1,32.2646,87371031.34,64.1371,1.3998,1.7807870228178,21.5817184448242
300712.SZ,2020,300712,2020,永福股份,福建省,福州市,0.0,13.53,61.7914855570762,3.92,40.204,58788150.01,45.0185,1.4276,1.9317455731209,21.5064373016357
300712.SZ,2021,300712,2021,永福股份,福建省,福州市,0.0,26.98,61.1772542795277,3.55,37.6286,26582705.78,66.6962,58.2325,1.95441884675211,21.8305282592773
300712.SZ,2022,300712,2022,永福股份,福建省,福州市,0.0,24.01,56.0689441190603,3.25,22.215,84110667.68,68.5078,1.3521,2.09047176572633,21.9416275024414
300712.SZ,2023,300712,2023,永福股份,福建省,福州市,0.0,27.3,49.1831349120839,4.71,28.7413,56067959.41,72.1905,1.3583,2.15559752442733,22.1863555908203
300746.SZ,2019,300746,2019,汉嘉设计,浙江省,杭州市,0.0,12.55,100.0,3.86,32.2646,102087470.95,40.7896,2.2845,2.67329832538183,21.6087551116943
300746.SZ,2020,300746,2020,汉嘉设计,浙江省,杭州市,0.0,14.13,100.0,3.0,40.204,83825403.74,24.9097,2.2964,2.87512904028654,21.4488048553467
300746.SZ,2021,300746,2021,汉嘉设计,浙江省,杭州市,0.0,16.68,100.0,3.15,32.6764,118125257.39,26.3926,133.8158,2.91419109463971,21.5062637329102
300746.SZ,2022,300746,2022,汉嘉设计,浙江省,杭州市,0.0,17.78,100.0,3.4,22.215,19473519.31,25.9199,2.1848,3.09601360993894,21.5913333892822
300746.SZ,2023,300746,2023,汉嘉设计,浙江省,杭州市,0.0,17.19,100.0,3.61,27.7486,24398415.26,26.4977,2.1857,3.19816913214751,21.7028369903564
300778.SZ,2019,300778,2019,新城市,广东省,深圳市,0.0,22.58,45.8525567940373,3.89,29.0674,124644433.41,25.3314,5.3452,2.86931933410441,20.9103527069092
300778.SZ,2020,300778,2020,新城市,广东省,深圳市,0.0,22.98,54.2627666523584,3.23,29.1528,117325747.76,24.9097,4.588,3.13075412319751,21.0081253051758
300778.SZ,2021,300778,2021,新城市,广东省,深圳市,0.0,22.12,57.2787324112334,3.37,40.0413,94436130.68,26.3926,469.9828,3.20894447139381,20.9466247558594
300778.SZ,2022,300778,2022,新城市,广东省,深圳市,0.0,23.84,58.9642777723623,3.72,22.215,69507248.34,25.9199,4.304,3.40651136251328,21.3401851654053
300778.SZ,2023,300778,2023,新城市,广东省,深圳市,0.0,22.05,58.9642777723623,4.62,24.9676,-64171872.59,26.4977,4.3207,3.53984138355991,21.2541694641113
600133.SH,2019,600133,2019,东湖高新,湖北省,武汉市,1.0,12.91,0.658339312641937,0.69,29.0674,416358983.26,49.5162,1.7398,2.10852605164102,24.0058250427246
600133.SH,2020,600133,2020,东湖高新,湖北省,武汉市,1.0,15.0,0.646892468150695,1.02,29.1528,861952636.82,28.6323,1.6998,2.33761583090142,24.0256881713867
600133.SH,2021,600133,2021,东湖高新,湖北省,武汉市,1.0,20.0,0.734648988131161,0.98,29.2513,862182152.09,26.3926,120.5974,2.31621083144345,24.0873394012451
600133.SH,2022,600133,2022,东湖高新,湖北省,武汉市,1.0,20.24,0.75531396228773,1.09,22.215,923602804.36,25.9199,1.7482,2.37889487824625,24.2777614593506
600133.SH,2023,600133,2023,东湖高新,湖北省,武汉市,1.0,12.13,0.382079198653584,1.28,20.3836,1760361101.76,26.4977,1.8199,2.52343209040277,23.6727848052979
600512.SH,2019,600512,2019,腾达建设,浙江省,台州市,0.0,4.38,0.201921571851017,3.98,36.4324,746348085.67,25.3314,1.5841,2.67329832538183,23.0500259399414
