公司,事业部,站点,员工名称,出行方式,任务审核状态,是否活跃
公司1,事业部10,站点16,员工88,公共交通,未提交,沉默
公司1,事业部8,站点9,员工89,电动车,未提交,沉默
公司1,事业部11,站点17,员工90,汽车,未提交,沉默
公司1,事业部11,站点17,员工91,电动车,未提交,沉默
公司1,事业部1,站点1,员工92,电动车,未提交,沉默
公司1,事业部4,站点4,员工93,汽车,未提交,沉默
公司1,事业部7,站点7,员工94,电动车,未提交,沉默
公司1,事业部1,站点1,员工95,公共交通,未提交,沉默
公司1,事业部9,站点14,员工96,电动车,未提交,沉默
公司1,事业部5,站点5,员工97,公共交通,未提交,沉默
公司1,事业部1,站点1,员工98,电动车,未提交,沉默
公司1,事业部5,站点5,员工99,电动车,未提交,沉默
公司1,事业部1,站点20,员工100,公共交通,未提交,沉默
公司1,事业部5,站点5,员工101,电动车,未提交,沉默
公司1,事业部4,站点4,员工102,汽车,未提交,沉默
公司1,事业部9,站点21,员工103,公共交通,未提交,沉默
公司1,事业部4,站点12,员工104,电动车,未提交,沉默
公司1,事业部5,站点5,员工105,电动车,未提交,沉默
公司1,事业部1,站点20,员工106,摩托车,未提交,沉默
公司1,事业部1,站点20,员工107,电动车,未提交,沉默
公司1,事业部4,站点12,员工108,公共交通,未提交,沉默
公司1,事业部9,站点22,员工109,公共交通,未提交,沉默
公司1,事业部7,站点7,员工110,电动车,未提交,沉默
公司1,事业部7,站点7,员工111,电动车,未提交,沉默
公司1,事业部4,站点15,员工112,电动车,未提交,沉默
公司1,事业部1,站点20,员工113,摩托车,未提交,沉默
公司1,事业部1,站点1,员工114,电动车,未提交,沉默
公司1,事业部3,站点10,员工115,公共交通,未提交,沉默
公司1,事业部4,站点15,员工116,电动车,未提交,沉默
公司1,事业部3,站点23,员工117,电动车,未提交,沉默
公司1,事业部3,站点10,员工118,电动车,未提交,沉默
公司1,事业部1,站点1,员工119,电动车,未提交,沉默
公司1,事业部11,站点17,员工120,电动车,未提交,沉默
公司1,事业部3,站点3,员工121,电动车,未提交,沉默
公司1,事业部5,站点13,员工122,电动车,未提交,沉默
公司1,事业部1,站点20,员工123,公共交通,未提交,沉默
公司1,事业部3,站点3,员工124,电动车,未提交,沉默
公司1,事业部10,站点24,员工125,电动车,未提交,沉默
公司1,事业部3,站点10,员工126,电动车,未提交,沉默
公司1,事业部10,站点25,员工127,电动车,未提交,沉默
公司1,事业部5,站点26,员工128,电动车,未提交,沉默
