号商,商品线索数,报价线索数,线索报价率,平均报价时间,未报价线索数,未报价率,同意报价数,同意报价率,付费订单数,交易中订单,成交订单数,成交率,平均成交时间,成交订单金额,客单价,毛收入,收益率,被付费线索数,付费率,回收成功率
号商_102,4999,1,0.02%,11分08秒,4998,99.98%,1,100%,1,0,1,100%,24时47分28秒,137.5,137.5,27.5,20%,0,0%,0.02%
号商_024,5490,13,0.24%,32分01秒,5477,99.76%,0,0%,1,0,1,100%,01时07分07秒,135.3,135.3,27.3,20.18%,0,0%,0.02%
号商_115,4535,14,0.31%,11分58秒,4521,99.69%,0,0%,1,0,0,0%,0,0.0,0.0,0.0,0,0,0%,0%
号商_034,5942,0,0%,0,5942,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_035,5946,0,0%,0,5946,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_036,4831,0,0%,0,4831,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_037,4654,0,0%,0,4654,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_038,4535,0,0%,0,4535,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_039,4989,2,0.04%,07分19秒,4987,99.96%,0,0%,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_040,4535,0,0%,0,4535,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_041,5942,0,0%,0,5942,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_041,5942,0,0%,0,5942,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_042,4535,0,0%,0,4535,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_043,5904,0,0%,0,5904,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_044,5819,0,0%,0,5819,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_045,5942,0,0%,0,5942,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_046,5444,0,0%,0,5444,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_047,5444,0,0%,0,5444,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_018,4658,1,0.02%,02分53秒,4657,99.98%,0,0%,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_048,4535,0,0%,0,4535,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_049,5819,0,0%,0,5819,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_050,4910,0,0%,0,4910,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_051,4535,0,0%,0,4535,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_052,5292,0,0%,0,5292,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_053,4891,0,0%,0,4891,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_054,5942,0,0%,0,5942,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_055,5453,0,0%,0,5453,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_056,4706,0,0%,0,4706,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_057,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
号商_059,6674,0,0%,0,6674,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_012,6115,0,0%,0,6115,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_012,6115,0,0%,0,6115,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_060,5444,0,0%,0,5444,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_061,5444,0,0%,0,5444,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_062,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
号商_063,4535,0,0%,0,4535,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_064,4910,0,0%,0,4910,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_064,4910,0,0%,0,4910,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_065,5942,0,0%,0,5942,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_066,5444,0,0%,0,5444,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_067,4535,0,0%,0,4535,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_068,4910,0,0%,0,4910,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_069,4535,0,0%,0,4535,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_070,4535,0,0%,0,4535,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_071,4856,0,0%,0,4856,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_072,5152,12,0.23%,10分25秒,5140,99.77%,0,0%,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_073,4910,0,0%,0,4910,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_074,4956,17,0.34%,01时50分20秒,4939,99.66%,0,0%,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_075,5444,0,0%,0,5444,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_076,5819,0,0%,0,5819,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_077,6862,0,0%,0,6862,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_078,4721,0,0%,0,4721,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_079,5444,0,0%,0,5444,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_079,6155,2,0.03%,04分47秒,6153,99.97%,0,0%,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_080,5819,0,0%,0,5819,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_081,4620,0,0%,0,4620,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_082,959,0,0%,0,959,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_083,6781,0,0%,0,6781,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_084,4535,0,0%,0,4535,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_086,4535,0,0%,0,4535,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_087,5819,15,0.26%,05分39秒,5804,99.74%,0,0%,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_088,4535,0,0%,0,4535,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_089,4812,0,0%,0,4812,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_090,5819,0,0%,0,5819,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_091,5942,0,0%,0,5942,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_092,5029,0,0%,0,5029,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_093,5769,6,0.1%,02时17分10秒,5763,99.9%,0,0%,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_094,5444,0,0%,0,5444,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_030,5970,0,0%,0,5970,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_095,4535,65,1.43%,04分45秒,4470,98.57%,0,0%,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_096,5865,0,0%,0,5865,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_097,6103,0,0%,0,6103,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_098,4594,0,0%,0,4594,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_099,4658,0,0%,0,4658,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_100,4535,10,0.22%,05时03分27秒,4525,99.78%,0,0%,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_101,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
号商_103,85,0,0%,0,85,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_104,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
号商_105,1,0,0%,0,1,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_031,6015,3,0.05%,09分54秒,6012,99.95%,0,0%,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_106,5444,0,0%,0,5444,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_016,5487,0,0%,0,5487,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_107,910,1,0.11%,02分54秒,909,99.89%,0,0%,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_108,909,0,0%,0,909,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_109,4535,0,0%,0,4535,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_110,5942,0,0%,0,5942,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_111,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
号商_112,5444,0,0%,0,5444,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_113,4581,0,0%,0,4581,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_114,4560,0,0%,0,4560,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_116,4581,0,0%,0,4581,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
号商_117,6310,0,0%,0,6310,100%,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0%,0%
