号商,商品线索数,报价线索数,线索报价率,未报价线索数,未报价率,同意报价数,同意报价率,付费订单数,交易中订单,成交订单数,成交率,成交订单金额,客单价,毛收入,收益率,被付费线索数,付费率,回收成功率
19,3238,23,0.71%,3215,99.29%,1,4.35%,3,0,1,33.33%,305.56,305.56,55.56,18.18%,0,0%,0.03%
20,3001,38,1.27%,2963,98.73%,0,0%,3,0,0,0%,0,0,0,0,0,0%,0%
21,3751,23,0.61%,3728,99.39%,0,0%,2,0,0,0%,0,0,0,0,0,0%,0%
22,2654,2,0.08%,2652,99.92%,1,50%,1,0,1,100%,60.5,60.5,20.5,33.88%,0,0%,0.04%
23,3282,7,0.21%,3275,99.79%,0,0%,1,0,0,0%,0,0,0,0,0,0%,0%
24,3270,145,4.43%,3125,95.57%,0,0%,1,0,0,0%,0,0,0,0,0,0%,0%
25,2986,4,0.13%,2982,99.87%,0,0%,1,0,0,0%,0,0,0,0,0,0%,0%
26,2695,12,0.45%,2683,99.55%,0,0%,1,0,0,0%,0,0,0,0,0,0%,0%
27,2956,12,0.41%,2944,99.59%,0,0%,1,0,0,0%,0,0,0,0,0,0%,0%
28,3377,1,0.03%,3376,99.97%,0,0%,1,0,0,0%,0,0,0,0,0,0%,0%
29,3724,45,1.21%,3679,98.79%,0,0%,1,0,0,0%,0,0,0,0,0,0%,0%
30,2443,11,0.45%,2432,99.55%,1,9.09%,1,0,1,100%,80.3,80.3,22.3,27.77%,0,0%,0.04%
31,3018,9,0.30%,3009,99.70%,1,11.11%,1,0,1,100%,82.5,82.5,22.5,27.27%,0,0%,0.03%
32,2592,6,0.23%,2586,99.77%,0,0%,1,0,0,0%,0,0,0,0,0,0%,0%
33,2443,12,0.49%,2431,99.51%,0,0%,1,0,0,0%,0,0,0,0,0,0%,0%
34,3282,0,0%,3282,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
35,3494,0,0%,3494,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
36,3284,0,0%,3284,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
37,2592,0,0%,2592,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
38,2502,0,0%,2502,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
39,2443,0,0%,2443,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
40,2443,0,0%,2443,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
41,3282,0,0%,3282,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
42,3282,0,0%,3282,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
43,2443,0,0%,2443,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
44,3251,0,0%,3251,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
45,3206,0,0%,3206,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
46,2986,0,0%,2986,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
47,2986,0,0%,2986,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
48,2519,2,0.08%,2517,99.92%,0,0%,0,0,0,0,0,0,0,0,0,0%,0%
49,2443,0,0%,2443,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
50,3206,0,0%,3206,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
51,2663,0,0%,2663,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
52,2443,0,0%,2443,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
53,2834,0,0%,2834,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
54,2654,0,0%,2654,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
55,3282,1,0.03%,3281,99.97%,0,0%,0,0,0,0,0,0,0,0,0,0%,0%
56,2906,0,0%,2906,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
57,2523,0,0%,2523,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,3633,0,0%,3633,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
60,3355,0,0%,3355,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
61,3355,21,0.63%,3334,99.37%,0,0%,0,0,0,0,0,0,0,0,0,0%,0%
62,3355,60,1.79%,3295,98.21%,0,0%,0,0,0,0,0,0,0,0,0,0%,0%
63,2986,0,0%,2986,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
64,2986,0,0%,2986,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
65,2443,0,0%,2443,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
66,2663,0,0%,2663,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
67,2663,0,0%,2663,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
68,3282,0,0%,3282,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
69,2986,0,0%,2986,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
70,2443,0,0%,2443,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
71,2663,0,0%,2663,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
72,2443,0,0%,2443,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
73,2801,0,0%,2801,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
74,2443,0,0%,2443,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
75,2587,0,0%,2587,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
76,2736,14,0.51%,2722,99.49%,0,0%,0,0,0,0,0,0,0,0,0,0%,0%
77,2986,33,1.11%,2953,98.89%,0,0%,0,0,0,0,0,0,0,0,0,0%,0%
78,2663,0,0%,2663,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
79,2986,0,0%,2986,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
80,3206,0,0%,3206,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
81,3737,0,0%,3737,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
82,2556,0,0%,2556,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
83,2986,1,0.03%,2985,99.97%,0,0%,0,0,0,0,0,0,0,0,0,0%,0%
84,3206,0,0%,3206,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
85,2488,0,0%,2488,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
86,577,0,0%,577,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
87,3644,1,0.03%,3643,99.97%,0,0%,0,0,0,0,0,0,0,0,0,0%,0%
88,3694,0,0%,3694,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
89,2443,0,0%,2443,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
90,2502,1,0.04%,2501,99.96%,0,0%,0,0,0,0,0,0,0,0,0,0%,0%
91,2443,0,0%,2443,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
92,3206,12,0.37%,3194,99.63%,0,0%,0,0,0,0,0,0,0,0,0,0%,0%
93,2443,0,0%,2443,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
94,2531,0,0%,2531,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
95,3206,0,0%,3206,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
96,3282,0,0%,3282,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
97,2722,0,0%,2722,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
98,3092,1,0.03%,3091,99.97%,0,0%,0,0,0,0,0,0,0,0,0,0%,0%
99,2986,0,0%,2986,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
100,3280,0,0%,3280,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
101,2443,28,1.15%,2415,98.85%,0,0%,0,0,0,0,0,0,0,0,0,0%,0%
102,3238,0,0%,3238,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
103,3337,0,0%,3337,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
104,2478,0,0%,2478,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
105,2519,0,0%,2519,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,2663,1,0.04%,2662,99.96%,0,0%,0,0,0,0,0,0,0,0,0,0%,0%
108,45,0,0%,45,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,3309,1,0.03%,3308,99.97%,0,0%,0,0,0,0,0,0,0,0,0,0%,0%
111,2986,0,0%,2986,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
112,544,0,0%,544,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
113,543,0,0%,543,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
114,2443,0,0%,2443,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
115,3282,0,0%,3282,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,2986,0,0%,2986,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
118,2475,0,0%,2475,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
119,2458,0,0%,2458,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
120,2475,0,0%,2475,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
121,3468,0,0%,3468,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
