号商,商品线索数,报价线索数,线索报价率,未报价线索数,未报价率,同意报价数,同意报价率,付费订单数,交易中订单,成交订单数,成交率,成交订单金额,客单价,毛收入,收益率,被付费线索数,付费率,回收成功率
22,2644,9,0.34%,2635,99.66%,1,11.11%,2,0,1,50%,900.78,900.78,163.78,18.18%,0,0%,0.04%
23,3118,16,0.51%,3102,99.49%,1,6.25%,2,0,1,50%,427.78,427.78,77.78,18.18%,0,0%,0.03%
24,3061,49,1.60%,3012,98.40%,1,2.04%,2,0,1,50%,474.22,474.22,86.22,18.18%,0,0%,0.03%
25,2409,181,7.51%,2228,92.49%,0,0%,2,0,0,0%,0,0,0,0,0,0%,0%
26,3061,126,4.12%,2935,95.88%,1,0.79%,1,0,1,100%,674.67,674.67,122.66,18.18%,0,0%,0.03%
27,3152,30,0.95%,3122,99.05%,0,0%,1,0,0,0%,0,0,0,0,0,0%,0%
28,3240,49,1.51%,3191,98.49%,0,0%,1,0,0,0%,0,0,0,0,0,0%,0%
29,3472,15,0.43%,3457,99.57%,0,0%,1,0,0,0%,0,0,0,0,0,0%,0%
30,2458,3,0.12%,2455,99.88%,0,0%,1,0,0,0%,0,0,0,0,0,0%,0%
31,2628,4,0.15%,2624,99.85%,0,0%,1,0,0,0%,0,0,0,0,0,0%,0%
32,2858,9,0.31%,2849,99.69%,0,0%,1,0,0,0%,0,0,0,0,0,0%,0%
33,3119,0,0%,3119,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
34,3350,0,0%,3350,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
35,3123,0,0%,3123,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
36,2568,0,0%,2568,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
37,2458,0,0%,2458,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
38,2409,0,0%,2409,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
39,2599,2,0.08%,2597,99.92%,0,0%,0,0,0,0,0,0,0,0,0,0%,0%
40,2409,0,0%,2409,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
41,3119,0,0%,3119,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
42,3119,0,0%,3119,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
43,2409,0,0%,2409,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
44,3112,0,0%,3112,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
45,3061,0,0%,3061,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
46,3119,0,0%,3119,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
47,2842,0,0%,2842,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
48,2842,0,0%,2842,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
49,2409,0,0%,2409,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
50,3061,0,0%,3061,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
51,2628,0,0%,2628,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
52,2425,66,2.72%,2359,97.28%,0,0%,0,0,0,0,0,0,0,0,0,0%,0%
53,2409,0,0%,2409,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
54,2842,0,0%,2842,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
55,2621,0,0%,2621,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
56,3119,3,0.10%,3116,99.90%,0,0%,0,0,0,0,0,0,0,0,0,0%,0%
57,2883,0,0%,2883,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
58,2490,0,0%,2490,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
59,1582,0,0%,1582,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
60,2842,2,0.07%,2840,99.93%,0,0%,0,0,0,0,0,0,0,0,0,0%,0%
61,3497,0,0%,3497,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
62,3220,0,0%,3220,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
63,2842,0,0%,2842,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
64,2842,0,0%,2842,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
65,2409,0,0%,2409,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
66,2628,0,0%,2628,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
67,2628,0,0%,2628,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
68,3119,0,0%,3119,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
69,2842,0,0%,2842,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
70,2409,0,0%,2409,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
71,2628,0,0%,2628,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
72,2409,0,0%,2409,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
73,2409,0,0%,2409,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
74,2546,0,0%,2546,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
75,2746,0,0%,2746,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
76,2842,0,0%,2842,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
77,3061,0,0%,3061,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
78,3610,0,0%,3610,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
79,2542,0,0%,2542,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
80,2842,0,0%,2842,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
81,3207,1,0.03%,3206,99.97%,0,0%,0,0,0,0,0,0,0,0,0,0%,0%
82,3061,0,0%,3061,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
83,2460,0,0%,2460,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
84,453,0,0%,453,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
85,3561,0,0%,3561,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
86,2409,0,0%,2409,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
87,2409,0,0%,2409,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
88,3061,1,0.03%,3060,99.97%,0,0%,0,0,0,0,0,0,0,0,0,0%,0%
89,2409,0,0%,2409,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
90,2550,0,0%,2550,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
91,3061,0,0%,3061,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
92,3119,0,0%,3119,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
93,2677,0,0%,2677,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
94,3068,1,0.03%,3067,99.97%,0,0%,0,0,0,0,0,0,0,0,0,0%,0%
95,2842,0,0%,2842,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
96,3626,15,0.41%,3611,99.59%,0,0%,0,0,0,0,0,0,0,0,0,0%,0%
97,2409,36,1.49%,2373,98.51%,0,0%,0,0,0,0,0,0,0,0,0,0%,0%
98,3077,0,0%,3077,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
99,3178,0,0%,3178,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
100,2480,0,0%,2480,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
101,2467,0,0%,2467,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
102,3602,18,0.50%,3584,99.50%,0,0%,0,0,0,0,0,0,0,0,0,0%,0%
103,2409,0,0%,2409,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
104,760,0,0%,760,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
105,51,0,0%,51,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
106,8,0,0%,8,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
107,3152,24,0.76%,3128,99.24%,0,0%,0,0,0,0,0,0,0,0,0,0%,0%
108,2842,0,0%,2842,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
109,2852,32,1.12%,2820,98.88%,0,0%,0,0,0,0,0,0,0,0,0,0%,0%
110,433,1,0.23%,432,99.77%,0,0%,0,0,0,0,0,0,0,0,0,0%,0%
111,433,0,0%,433,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
112,2409,0,0%,2409,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
113,2568,14,0.55%,2554,99.45%,0,0%,0,0,0,0,0,0,0,0,0,0%,0%
114,3119,0,0%,3119,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,2842,0,0%,2842,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
117,2425,0,0%,2425,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
118,2419,0,0%,2419,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
119,2409,9,0.37%,2400,99.63%,0,0%,0,0,0,0,0,0,0,0,0,0%,0%
120,2425,0,0%,2425,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
121,3333,0,0%,3333,100%,0,0,0,0,0,0,0,0,0,0,0,0%,0%
