订单年月日,订单年月,is_ot,ot_official,科目,线索量,约课量,试听完课量,新签订单量
2025-11-17,2025-11,1,0,English,12,9,9,12
2025-11-17,2025-11,1,1,Chinese,7,1,0,2
2025-11-17,2025-11,1,1,English,0,0,0,0
2025-11-17,2025-11,1,0,Math,0,0,0,1
2025-11-17,2025-11,0,0,Math,0,0,0,37
2025-11-17,2025-11,1,1,Math,0,0,0,1
2025-11-16,2025-11,0,0,Chinese,816,418,231,70
2025-11-16,2025-11,1,0,Chinese,588,377,309,5
2025-11-16,2025-11,0,0,English,76,47,41,63
2025-11-16,2025-11,1,1,Chinese,15,11,10,1
2025-11-16,2025-11,1,0,English,10,7,6,16
2025-11-16,2025-11,1,0,Math,0,0,0,2
2025-11-16,2025-11,0,0,Math,0,0,0,24
2025-11-15,2025-11,0,0,Chinese,819,415,286,63
2025-11-15,2025-11,1,0,Chinese,558,347,299,2
2025-11-15,2025-11,0,0,English,88,54,41,51
2025-11-15,2025-11,1,0,English,9,8,7,21
2025-11-15,2025-11,1,1,Chinese,5,3,1,2
2025-11-15,2025-11,1,1,English,0,0,0,1
2025-11-15,2025-11,0,0,Math,0,0,0,21
2025-11-14,2025-11,0,0,Chinese,1358,377,245,69
2025-11-14,2025-11,1,0,Chinese,567,360,298,0
2025-11-14,2025-11,0,0,English,81,52,44,40
2025-11-14,2025-11,1,0,English,12,9,7,22
2025-11-14,2025-11,1,1,Chinese,13,6,5,3
2025-11-14,2025-11,1,1,Math,0,0,0,1
2025-11-14,2025-11,0,0,Math,0,0,0,13
2025-11-13,2025-11,1,0,Chinese,619,408,338,2
2025-11-13,2025-11,0,0,Chinese,845,366,269,67
2025-11-13,2025-11,0,0,English,95,50,43,21
2025-11-13,2025-11,1,0,English,7,5,5,19
2025-11-13,2025-11,1,1,Chinese,4,3,3,1
2025-11-13,2025-11,1,1,Math,0,0,0,1
2025-11-13,2025-11,0,0,Math,0,0,0,16
2025-11-13,2025-11,1,0,Math,0,0,0,1
2025-11-12,2025-11,0,0,Chinese,1079,409,306,76
2025-11-12,2025-11,1,0,Chinese,463,274,226,3
2025-11-12,2025-11,0,0,English,79,38,30,52
2025-11-12,2025-11,1,0,English,4,3,3,38
2025-11-12,2025-11,1,1,Chinese,11,3,2,2
2025-11-12,2025-11,0,0,Math,0,0,0,15
2025-11-11,2025-11,0,0,Chinese,1046,539,412,339
2025-11-11,2025-11,1,0,Chinese,564,345,297,13
2025-11-11,2025-11,0,0,English,90,57,46,272
2025-11-11,2025-11,1,0,English,13,12,11,69
2025-11-11,2025-11,1,1,Chinese,3,3,3,3
2025-11-11,2025-11,0,0,Math,0,0,0,89
2025-11-11,2025-11,1,1,English,0,0,0,0
2025-11-11,2025-11,1,0,Math,0,0,0,1
2025-11-10,2025-11,0,0,Chinese,1167,558,417,130
2025-11-10,2025-11,1,0,Chinese,566,331,275,7
2025-11-10,2025-11,0,0,English,97,54,51,74
2025-11-10,2025-11,1,0,English,8,8,7,45
2025-11-10,2025-11,1,1,Chinese,12,4,2,5
2025-11-10,2025-11,0,0,Math,0,0,0,42
2025-11-10,2025-11,1,0,Math,0,0,0,1
2025-11-09,2025-11,0,0,Chinese,1074,530,360,93
2025-11-09,2025-11,1,0,Chinese,533,344,289,2
2025-11-09,2025-11,0,0,English,158,58,40,89
2025-11-09,2025-11,1,0,English,14,11,10,33
2025-11-09,2025-11,1,1,Chinese,8,8,6,2
2025-11-09,2025-11,1,1,English,0,0,0,0
2025-11-09,2025-11,0,0,Math,0,0,0,36
2025-11-09,2025-11,1,0,Math,0,0,0,3
2025-11-08,2025-11,0,0,Chinese,1510,576,413,82
2025-11-08,2025-11,1,0,Chinese,495,310,274,3
2025-11-08,2025-11,0,0,English,139,53,44,55
2025-11-08,2025-11,1,0,English,8,5,4,22
2025-11-08,2025-11,1,1,Chinese,5,2,2,2
2025-11-08,2025-11,0,0,Math,0,0,0,24
2025-11-08,2025-11,1,0,Math,0,0,0,1
2025-11-08,2025-11,1,1,English,0,0,0,0
2025-11-07,2025-11,0,0,Chinese,750,416,306,66
2025-11-07,2025-11,1,0,Chinese,518,325,278,3
2025-11-07,2025-11,0,0,English,73,39,31,67
2025-11-07,2025-11,1,1,Chinese,11,6,4,1
2025-11-07,2025-11,1,0,English,8,4,3,20
2025-11-07,2025-11,1,0,Math,0,0,0,0
2025-11-07,2025-11,0,0,Math,0,0,0,23
2025-11-06,2025-11,0,0,Chinese,1127,468,350,55
2025-11-06,2025-11,1,0,Chinese,403,253,206,0
2025-11-06,2025-11,0,0,English,92,40,35,51
2025-11-06,2025-11,1,0,English,7,6,5,24
2025-11-06,2025-11,1,1,Chinese,4,1,1,2
2025-11-06,2025-11,0,0,Math,0,0,0,13
2025-11-05,2025-11,0,0,Chinese,661,340,266,27
2025-11-05,2025-11,1,0,Chinese,454,309,263,1
2025-11-05,2025-11,0,0,English,62,37,29,48
2025-11-05,2025-11,1,0,English,13,11,11,33
2025-11-05,2025-11,1,1,Chinese,8,5,4,0
2025-11-05,2025-11,1,1,English,0,0,0,0
2025-11-05,2025-11,0,0,Math,0,0,0,9
2025-11-04,2025-11,0,0,Chinese,770,412,293,75
2025-11-04,2025-11,1,0,Chinese,425,278,242,2
2025-11-04,2025-11,0,0,English,68,45,37,42
2025-11-04,2025-11,1,0,English,9,5,5,14
2025-11-04,2025-11,1,1,Chinese,8,5,3,1
2025-11-04,2025-11,1,0,Math,0,0,0,0
2025-11-04,2025-11,0,0,Math,0,0,0,12
2025-11-04,2025-11,1,1,English,0,0,0,0
2025-11-03,2025-11,0,0,Chinese,1015,440,321,75
2025-11-03,2025-11,1,0,Chinese,598,369,325,0
2025-11-03,2025-11,0,0,English,82,43,39,65
2025-11-03,2025-11,1,0,English,9,8,5,43
2025-11-03,2025-11,1,1,Chinese,11,3,2,1
2025-11-03,2025-11,0,0,Math,0,0,0,29
2025-11-03,2025-11,1,0,Math,0,0,0,2
2025-11-03,2025-11,1,1,English,0,0,0,1
2025-11-02,2025-11,0,0,Chinese,992,451,321,65
2025-11-02,2025-11,1,0,Chinese,431,288,238,1
2025-11-02,2025-11,0,0,English,66,37,30,89
2025-11-02,2025-11,1,0,English,9,7,6,45
2025-11-02,2025-11,1,1,Chinese,9,6,6,3
2025-11-02,2025-11,0,0,Math,0,0,0,12
2025-11-02,2025-11,1,0,Math,0,0,0,1
2025-11-01,2025-11,0,0,Chinese,823,398,272,57
2025-11-01,2025-11,1,0,Chinese,335,210,175,2
2025-11-01,2025-11,0,0,English,69,42,40,95
2025-11-01,2025-11,1,0,English,10,8,8,32
2025-11-01,2025-11,1,1,Chinese,5,1,1,3
2025-11-01,2025-11,0,0,Math,0,0,0,28
2025-11-01,2025-11,1,0,Math,0,0,0,2
2025-10-31,2025-10,0,0,Chinese,567,335,256,55
2025-10-31,2025-10,1,0,Chinese,479,318,269,2
2025-10-31,2025-10,0,0,English,66,38,35,58
2025-10-31,2025-10,1,0,English,8,5,4,26
2025-10-31,2025-10,1,1,Chinese,7,2,2,6
2025-10-31,2025-10,1,1,English,0,0,0,1
2025-10-31,2025-10,0,0,Math,0,0,0,15
2025-10-30,2025-10,0,0,Chinese,612,363,274,65
2025-10-30,2025-10,1,0,Chinese,467,309,262,0
2025-10-30,2025-10,0,0,English,78,46,41,51
2025-10-30,2025-10,1,0,English,9,4,2,17
2025-10-30,2025-10,1,1,Chinese,4,2,0,0
2025-10-30,2025-10,0,0,Math,0,0,0,25
2025-10-29,2025-10,1,0,Chinese,484,326,288,0
2025-10-29,2025-10,0,0,Chinese,541,279,217,30
2025-10-29,2025-10,0,0,English,91,50,40,68
2025-10-29,2025-10,1,0,English,8,6,4,21
2025-10-29,2025-10,1,1,Chinese,7,2,2,3
2025-10-29,2025-10,0,0,Math,0,0,0,15
2025-10-29,2025-10,1,0,Math,0,0,0,1
2025-10-29,2025-10,1,1,English,0,0,0,1
2025-10-28,2025-10,1,0,Chinese,494,346,298,2
2025-10-28,2025-10,0,0,Chinese,617,312,248,50
2025-10-28,2025-10,0,0,English,62,34,30,54
2025-10-28,2025-10,1,1,Chinese,5,5,3,2
2025-10-28,2025-10,1,0,English,6,2,2,24
2025-10-28,2025-10,0,0,Math,0,0,0,20
2025-10-28,2025-10,1,1,English,0,0,0,0
2025-10-28,2025-10,1,0,Math,0,0,0,2
2025-10-27,2025-10,0,0,Chinese,1112,480,337,52
2025-10-27,2025-10,1,0,Chinese,584,398,340,2
2025-10-27,2025-10,0,0,English,88,43,36,47
2025-10-27,2025-10,1,0,English,10,7,5,30
2025-10-27,2025-10,1,1,Chinese,7,3,1,1
2025-10-27,2025-10,0,0,Math,0,0,0,20
2025-10-26,2025-10,0,0,Chinese,1085,473,324,71
2025-10-26,2025-10,1,0,Chinese,516,328,289,4
2025-10-26,2025-10,0,0,English,81,46,39,116
2025-10-26,2025-10,1,0,English,17,15,10,43
2025-10-26,2025-10,1,1,Chinese,10,3,2,1
2025-10-26,2025-10,1,1,English,0,0,0,0
2025-10-26,2025-10,0,0,Math,0,0,0,24
2025-10-25,2025-10,0,0,Chinese,730,391,277,68
2025-10-25,2025-10,1,0,Chinese,452,301,252,3
2025-10-25,2025-10,0,0,English,73,36,34,139
2025-10-25,2025-10,1,0,English,12,9,9,52
2025-10-25,2025-10,1,1,Chinese,8,4,4,1
2025-10-25,2025-10,1,0,Math,0,0,0,1
2025-10-25,2025-10,0,0,Math,0,0,0,26
2025-10-25,2025-10,1,1,Math,0,0,0,1
2025-10-25,2025-10,1,1,English,0,0,0,1
2025-10-24,2025-10,0,0,Chinese,711,362,255,50
2025-10-24,2025-10,1,0,Chinese,455,303,241,1
2025-10-24,2025-10,0,0,English,61,32,26,30
2025-10-24,2025-10,1,0,English,11,9,7,17
2025-10-24,2025-10,1,1,Chinese,8,6,6,2
2025-10-24,2025-10,1,1,English,0,0,0,1
2025-10-24,2025-10,0,0,Math,0,0,0,27
2025-10-23,2025-10,0,0,Chinese,796,413,301,43
2025-10-23,2025-10,1,0,Chinese,571,393,328,1
2025-10-23,2025-10,0,0,English,72,38,29,28
2025-10-23,2025-10,1,0,English,8,7,5,13
2025-10-23,2025-10,1,1,Chinese,3,3,3,2
2025-10-23,2025-10,0,0,Math,0,0,0,22
2025-10-23,2025-10,1,1,Math,0,0,0,0
2025-10-23,2025-10,1,0,Math,0,0,0,1
2025-10-22,2025-10,0,0,Chinese,571,327,232,10
2025-10-22,2025-10,1,0,Chinese,468,313,249,2
2025-10-22,2025-10,0,0,English,76,50,41,49
2025-10-22,2025-10,1,0,English,9,6,6,12
2025-10-22,2025-10,1,1,Chinese,2,0,0,1
2025-10-22,2025-10,0,0,Math,0,0,0,8
2025-10-22,2025-10,1,0,Math,0,0,0,0
2025-10-21,2025-10,1,0,Chinese,517,346,286,1
2025-10-21,2025-10,0,0,Chinese,594,330,250,38
2025-10-21,2025-10,0,0,English,69,42,31,48
2025-10-21,2025-10,1,1,Chinese,6,4,3,1
2025-10-21,2025-10,1,0,English,5,3,3,20
2025-10-21,2025-10,1,1,English,0,0,0,1
2025-10-21,2025-10,1,1,Math,0,0,0,1
2025-10-21,2025-10,0,0,Math,0,0,0,20
2025-10-20,2025-10,1,0,Chinese,631,376,310,2
2025-10-20,2025-10,0,0,Chinese,661,373,270,49
2025-10-20,2025-10,0,0,English,84,50,45,49
2025-10-20,2025-10,1,0,English,11,6,6,17
2025-10-20,2025-10,1,1,Chinese,7,1,1,1
2025-10-20,2025-10,1,1,Math,0,0,0,1
2025-10-20,2025-10,0,0,Math,0,0,0,15
2025-10-20,2025-10,1,0,Math,0,0,0,1
2025-10-19,2025-10,0,0,Chinese,814,419,262,51
2025-10-19,2025-10,1,0,Chinese,519,322,267,5
2025-10-19,2025-10,0,0,English,77,38,35,51
2025-10-19,2025-10,1,0,English,9,6,5,30
2025-10-19,2025-10,1,1,Chinese,8,3,3,1
2025-10-19,2025-10,0,0,Math,0,0,0,29
2025-10-18,2025-10,0,0,Chinese,915,394,250,51
2025-10-18,2025-10,1,0,Chinese,535,316,269,3
2025-10-18,2025-10,0,0,English,84,48,42,55
2025-10-18,2025-10,1,0,English,11,8,8,24
2025-10-18,2025-10,1,1,Chinese,9,3,3,2
2025-10-18,2025-10,0,0,Math,0,0,0,19
2025-10-18,2025-10,1,0,Math,0,0,0,0
2025-10-17,2025-10,0,0,Chinese,621,384,304,47
2025-10-17,2025-10,1,0,Chinese,530,335,277,2
2025-10-17,2025-10,0,0,English,67,39,33,82
2025-10-17,2025-10,1,0,English,9,7,5,14
2025-10-17,2025-10,1,1,Chinese,11,5,3,2
2025-10-17,2025-10,1,0,Math,0,0,0,1
2025-10-17,2025-10,0,0,Math,0,0,0,18
2025-10-16,2025-10,0,0,Chinese,581,331,265,43
2025-10-16,2025-10,1,0,Chinese,477,288,240,1
2025-10-16,2025-10,0,0,English,72,38,34,37
2025-10-16,2025-10,1,0,English,6,6,4,23
2025-10-16,2025-10,1,1,Chinese,15,5,3,2
2025-10-16,2025-10,1,1,English,0,0,0,1
2025-10-16,2025-10,1,0,Math,0,0,0,1
2025-10-16,2025-10,0,0,Math,0,0,0,17
2025-10-15,2025-10,0,0,Chinese,569,311,241,25
2025-10-15,2025-10,1,0,Chinese,511,301,257,3
2025-10-15,2025-10,0,0,English,83,58,53,69
2025-10-15,2025-10,1,1,Chinese,9,3,2,1
2025-10-15,2025-10,1,0,English,5,3,3,19
2025-10-15,2025-10,1,0,Math,0,0,0,0
2025-10-15,2025-10,0,0,Math,0,0,0,11
2025-10-15,2025-10,1,1,English,0,0,0,0
2025-10-14,2025-10,0,0,Chinese,629,368,272,51
2025-10-14,2025-10,1,0,Chinese,506,267,231,0
2025-10-14,2025-10,0,0,English,92,55,44,29
2025-10-14,2025-10,1,0,English,11,8,7,7
2025-10-14,2025-10,1,1,Chinese,12,7,5,0
2025-10-14,2025-10,1,0,Math,0,0,0,1
2025-10-14,2025-10,0,0,Math,0,0,0,18
2025-10-13,2025-10,0,0,Chinese,708,408,309,63
2025-10-13,2025-10,1,0,Chinese,566,321,272,2
2025-10-13,2025-10,0,0,English,97,51,42,34
2025-10-13,2025-10,1,1,Chinese,6,4,4,3
2025-10-13,2025-10,1,0,English,5,2,2,15
2025-10-13,2025-10,0,0,Math,0,0,0,19
2025-10-12,2025-10,0,0,Chinese,968,489,334,65
2025-10-12,2025-10,1,0,Chinese,525,320,274,2
2025-10-12,2025-10,0,0,English,92,46,40,51
2025-10-12,2025-10,1,0,English,10,6,5,17
2025-10-12,2025-10,1,1,Chinese,2,1,1,4
2025-10-12,2025-10,0,0,Math,0,0,0,21
2025-10-12,2025-10,1,1,Math,0,0,0,1
2025-10-11,2025-10,0,0,Chinese,893,501,333,62
2025-10-11,2025-10,1,0,Chinese,424,270,226,2
2025-10-11,2025-10,0,0,English,66,39,31,22
2025-10-11,2025-10,1,0,English,9,5,5,18
2025-10-11,2025-10,1,1,Chinese,8,5,5,2
2025-10-11,2025-10,0,0,Math,0,0,0,24
2025-10-11,2025-10,1,0,Math,0,0,0,1
2025-10-10,2025-10,0,0,Chinese,540,335,259,48
2025-10-10,2025-10,1,0,Chinese,341,199,158,3
2025-10-10,2025-10,0,0,English,92,52,43,26
2025-10-10,2025-10,1,0,English,11,8,7,7
2025-10-10,2025-10,1,1,Chinese,6,2,0,4
2025-10-10,2025-10,0,0,Math,0,0,0,15
2025-10-10,2025-10,1,0,Math,0,0,0,1
2025-10-09,2025-10,0,0,Chinese,581,331,243,42
2025-10-09,2025-10,1,0,Chinese,381,230,193,3
2025-10-09,2025-10,0,0,English,83,37,28,34
2025-10-09,2025-10,1,1,Chinese,9,5,4,1
2025-10-09,2025-10,1,0,English,9,5,4,9
2025-10-09,2025-10,0,0,Math,0,0,0,20
2025-10-09,2025-10,1,0,Math,0,0,0,1
2025-10-08,2025-10,0,0,Chinese,364,217,163,23
2025-10-08,2025-10,0,0,English,71,41,30,30
2025-10-08,2025-10,1,0,English,3,2,2,10
2025-10-08,2025-10,1,1,Chinese,7,1,1,1
2025-10-08,2025-10,0,0,Math,0,0,0,2
2025-10-08,2025-10,1,0,Math,0,0,0,1
2025-10-07,2025-10,1,0,Chinese,459,244,202,1
2025-10-07,2025-10,0,0,Chinese,374,219,160,36
2025-10-07,2025-10,0,0,English,64,34,29,18
2025-10-07,2025-10,1,1,Chinese,10,6,6,1
2025-10-07,2025-10,1,0,English,4,3,2,10
2025-10-07,2025-10,1,0,Math,0,0,0,1
2025-10-07,2025-10,0,0,Math,0,0,0,12
2025-10-06,2025-10,0,0,Chinese,599,294,184,32
2025-10-06,2025-10,1,0,Chinese,184,82,69,3
2025-10-06,2025-10,0,0,English,66,25,18,14
2025-10-06,2025-10,1,1,Chinese,13,6,5,2
2025-10-06,2025-10,1,0,English,3,1,0,2
2025-10-06,2025-10,1,0,Math,0,0,0,1
2025-10-06,2025-10,0,0,Math,0,0,0,19
2025-10-05,2025-10,0,0,Chinese,722,321,207,43
2025-10-05,2025-10,1,0,Chinese,214,105,87,1
2025-10-05,2025-10,0,0,English,153,23,20,15
2025-10-05,2025-10,1,1,Chinese,10,4,3,0
2025-10-05,2025-10,1,0,English,3,1,1,4
2025-10-05,2025-10,0,0,Math,0,0,0,17
2025-10-04,2025-10,0,0,Chinese,599,318,193,26
2025-10-04,2025-10,0,0,English,142,23,19,11
2025-10-04,2025-10,1,1,Chinese,14,6,2,1
2025-10-04,2025-10,1,0,English,4,1,0,3
2025-10-04,2025-10,1,1,English,0,0,0,1
2025-10-04,2025-10,0,0,Math,0,0,0,9
2025-10-03,2025-10,0,0,Chinese,423,239,131,10
2025-10-03,2025-10,1,0,Chinese,296,156,140,1
2025-10-03,2025-10,0,0,English,120,31,22,8
2025-10-03,2025-10,1,1,Chinese,7,2,0,2
2025-10-03,2025-10,1,0,English,1,0,0,1
2025-10-03,2025-10,0,0,Math,0,0,0,6
2025-10-03,2025-10,1,0,Math,0,0,0,1
2025-10-02,2025-10,0,0,Chinese,326,197,123,6
2025-10-02,2025-10,1,0,Chinese,279,142,119,1
2025-10-02,2025-10,0,0,English,136,48,39,10
2025-10-02,2025-10,1,1,Chinese,12,8,5,0
2025-10-02,2025-10,1,0,English,7,6,6,2
2025-10-02,2025-10,0,0,Math,0,0,0,3
2025-10-02,2025-10,1,0,Math,0,0,0,1
2025-10-01,2025-10,0,0,Chinese,393,231,152,11
2025-10-01,2025-10,1,0,Chinese,300,147,127,0
2025-10-01,2025-10,0,0,English,95,33,26,13
2025-10-01,2025-10,1,0,English,4,4,3,3
2025-10-01,2025-10,1,1,Chinese,7,4,3,0
2025-10-01,2025-10,0,0,Math,0,0,0,9
2025-09-30,2025-09,0,0,Chinese,581,291,209,76
2025-09-30,2025-09,1,0,Chinese,388,219,184,4
2025-09-30,2025-09,0,0,English,119,50,44,196
2025-09-30,2025-09,1,1,Chinese,12,6,6,2
2025-09-30,2025-09,1,0,English,1,1,1,41
2025-09-30,2025-09,1,1,English,0,0,0,1
2025-09-30,2025-09,0,0,Math,0,0,0,19
2025-09-29,2025-09,0,0,Chinese,727,371,238,123
2025-09-29,2025-09,1,0,Chinese,420,262,210,3
2025-09-29,2025-09,0,0,English,117,55,36,113
2025-09-29,2025-09,1,1,Chinese,6,3,3,1
2025-09-29,2025-09,1,0,English,4,3,2,32
2025-09-29,2025-09,0,0,Math,0,0,0,32
2025-09-28,2025-09,0,0,Chinese,897,468,295,126
2025-09-28,2025-09,1,0,Chinese,304,194,167,4
2025-09-28,2025-09,0,0,English,107,47,40,91
2025-09-28,2025-09,1,1,Chinese,15,9,6,3
2025-09-28,2025-09,1,0,English,9,5,4,17
2025-09-28,2025-09,1,0,Math,0,0,0,2
2025-09-28,2025-09,1,1,Math,0,0,0,0
2025-09-28,2025-09,0,0,Math,0,0,0,25
2025-09-27,2025-09,0,0,Chinese,823,444,272,94
2025-09-27,2025-09,1,0,Chinese,371,233,195,2
2025-09-27,2025-09,0,0,English,124,61,49,90
2025-09-27,2025-09,1,0,English,10,6,6,22
2025-09-27,2025-09,1,1,Chinese,8,3,2,3
2025-09-27,2025-09,0,0,Math,0,0,0,25
2025-09-27,2025-09,1,1,English,0,0,0,0
2025-09-26,2025-09,0,0,Chinese,543,312,228,71
2025-09-26,2025-09,1,0,Chinese,331,210,176,2
2025-09-26,2025-09,0,0,English,104,54,42,69
2025-09-26,2025-09,1,0,English,10,5,5,12
2025-09-26,2025-09,1,1,Chinese,8,4,3,1
2025-09-26,2025-09,1,1,English,0,0,0,0
2025-09-26,2025-09,0,0,Math,0,0,0,25
2025-09-26,2025-09,1,0,Math,0,0,0,2
2025-09-25,2025-09,0,0,Chinese,751,406,283,76
2025-09-25,2025-09,1,0,Chinese,224,145,109,1
2025-09-25,2025-09,0,0,English,119,62,53,70
2025-09-25,2025-09,1,0,English,11,9,9,24
2025-09-25,2025-09,1,1,Chinese,6,4,2,1
