订单年月日,订单年月,科目,是否ot渠道,是否ot官网,线索量,约课量,试听完课量,新签订单量
2025-12-07,2025-12,Math,0,0,196,78,43,16
2025-12-07,2025-12,Chinese,1,1,6,4,3,2
2025-12-07,2025-12,Chinese,1,0,5,2,2,1
2025-12-07,2025-12,Math,1,0,5,1,0,0
2025-12-07,2025-12,Ace vocab,0,0,0,0,0,1
2025-12-06,2025-12,Chinese,0,0,416,273,127,40
2025-12-06,2025-12,English,1,0,396,216,180,29
2025-12-06,2025-12,English,0,0,296,174,155,56
2025-12-06,2025-12,Math,0,0,144,97,66,12
2025-12-06,2025-12,Math,1,0,4,4,3,2
2025-12-06,2025-12,Chinese,1,0,4,3,2,0
2025-12-06,2025-12,Chinese,1,1,5,3,2,1
2025-12-06,2025-12,Ace vocab,0,0,0,0,0,1
2025-12-06,2025-12,Ace vocab,1,0,0,0,0,2
2025-12-05,2025-12,English,1,0,420,217,170,23
2025-12-05,2025-12,English,0,0,404,167,138,44
2025-12-05,2025-12,Chinese,0,0,266,160,88,40
2025-12-05,2025-12,Math,0,0,107,72,52,16
2025-12-05,2025-12,Chinese,1,1,6,3,1,0
2025-12-05,2025-12,Chinese,1,0,4,1,0,1
2025-12-04,2025-12,English,1,0,443,238,198,18
2025-12-04,2025-12,English,0,0,288,166,144,38
2025-12-04,2025-12,Chinese,0,0,285,142,87,33
2025-12-04,2025-12,Math,0,0,92,72,50,20
2025-12-04,2025-12,Chinese,1,1,5,4,3,0
2025-12-04,2025-12,Chinese,1,0,5,3,3,1
2025-12-04,2025-12,English,1,1,1,1,1,2
2025-12-04,2025-12,Math,1,1,0,0,0,1
2025-12-03,2025-12,English,1,0,431,250,206,16
2025-12-03,2025-12,English,0,0,248,147,124,22
2025-12-03,2025-12,Chinese,0,0,219,110,71,31
2025-12-03,2025-12,Math,0,0,116,80,53,6
2025-12-03,2025-12,Chinese,1,1,6,4,3,4
2025-12-03,2025-12,Chinese,1,0,1,0,0,0
2025-12-03,2025-12,English,1,1,0,0,0,1
2025-12-02,2025-12,English,1,0,502,298,249,27
2025-12-02,2025-12,English,0,0,246,147,133,30
2025-12-02,2025-12,Chinese,0,0,217,134,94,49
2025-12-02,2025-12,Math,0,0,116,78,48,6
2025-12-02,2025-12,Chinese,1,0,8,4,4,3
2025-12-01,2025-12,English,1,0,614,402,341,16
2025-12-01,2025-12,Chinese,0,0,322,193,117,44
2025-12-01,2025-12,English,0,0,277,181,149,42
2025-12-01,2025-12,Math,0,0,147,73,45,7
2025-12-01,2025-12,Chinese,1,1,5,3,0,2
2025-12-01,2025-12,Math,1,0,4,2,2,1
2025-12-01,2025-12,Chinese,1,0,5,1,1,0
2025-11-30,2025-11,Chinese,0,0,482,282,135,143
2025-11-30,2025-11,English,1,0,354,223,191,42
2025-11-30,2025-11,English,0,0,338,160,136,128
2025-11-30,2025-11,Math,0,0,113,56,28,74
2025-11-30,2025-11,Chinese,1,0,4,2,1,0
2025-11-30,2025-11,English,1,1,2,2,1,2
2025-11-30,2025-11,Chinese,1,1,4,2,1,1
2025-11-30,2025-11,Math,1,0,4,1,1,0
2025-11-30,2025-11,Math,1,1,0,0,0,1
2025-11-29,2025-11,English,1,0,397,231,192,39
2025-11-29,2025-11,Chinese,0,0,402,222,97,96
2025-11-29,2025-11,English,0,0,264,142,120,66
2025-11-29,2025-11,Math,0,0,113,72,52,22
2025-11-29,2025-11,Chinese,1,1,9,6,5,3
2025-11-29,2025-11,Chinese,1,0,4,3,1,3
2025-11-29,2025-11,Math,1,0,4,2,2,2
2025-11-29,2025-11,English,1,1,0,0,0,1
2025-11-28,2025-11,English,1,0,385,236,205,33
2025-11-28,2025-11,English,0,0,345,164,138,35
2025-11-28,2025-11,Chinese,0,0,263,145,67,68
2025-11-28,2025-11,Math,0,0,89,63,44,39
2025-11-28,2025-11,Chinese,1,0,4,2,1,1
2025-11-28,2025-11,Chinese,1,1,5,2,2,1
2025-11-28,2025-11,English,1,1,1,1,1,2
2025-11-27,2025-11,English,1,0,402,252,206,9
2025-11-27,2025-11,Chinese,0,0,481,237,178,51
2025-11-27,2025-11,English,0,0,331,158,129,49
2025-11-27,2025-11,Math,0,0,105,79,52,16
2025-11-27,2025-11,Chinese,1,1,10,4,4,2
2025-11-27,2025-11,Math,1,0,7,4,3,2
2025-11-27,2025-11,Chinese,1,0,4,2,0,0
2025-11-27,2025-11,Math,1,1,0,0,0,1
2025-11-26,2025-11,English,1,0,646,412,332,23
2025-11-26,2025-11,Chinese,0,0,448,170,113,59
2025-11-26,2025-11,English,0,0,355,162,133,53
2025-11-26,2025-11,Math,0,0,120,82,56,26
2025-11-26,2025-11,Chinese,1,1,12,8,7,0
2025-11-26,2025-11,Chinese,1,0,8,6,4,3
2025-11-26,2025-11,English,1,1,1,1,1,0
2025-11-25,2025-11,English,1,0,664,399,325,24
2025-11-25,2025-11,Chinese,0,0,483,208,135,22
2025-11-25,2025-11,English,0,0,417,201,165,48
2025-11-25,2025-11,Math,0,0,123,86,55,19
2025-11-25,2025-11,Chinese,1,1,12,5,4,0
2025-11-25,2025-11,Chinese,1,0,8,4,1,0
2025-11-24,2025-11,English,1,0,748,461,388,46
2025-11-24,2025-11,Chinese,0,0,548,184,111,78
2025-11-24,2025-11,English,0,0,360,184,167,36
2025-11-24,2025-11,Math,0,0,190,89,63,43
2025-11-24,2025-11,Chinese,1,1,14,7,5,1
2025-11-24,2025-11,Chinese,1,0,6,2,1,0
2025-11-24,2025-11,Math,1,0,4,1,1,1
2025-11-24,2025-11,English,1,1,0,0,0,0
2025-11-23,2025-11,English,1,0,605,383,315,13
2025-11-23,2025-11,Chinese,0,0,441,258,148,86
2025-11-23,2025-11,English,0,0,348,160,132,77
2025-11-23,2025-11,Math,0,0,170,81,50,22
2025-11-23,2025-11,Chinese,1,1,7,6,4,4
2025-11-23,2025-11,Chinese,1,0,7,5,3,2
2025-11-23,2025-11,Math,1,0,6,2,1,2
2025-11-22,2025-11,English,1,0,432,295,257,9
2025-11-22,2025-11,Chinese,0,0,434,261,134,78
2025-11-22,2025-11,English,0,0,278,163,144,50
2025-11-22,2025-11,Math,0,0,140,81,58,16
2025-11-22,2025-11,Chinese,1,1,8,5,3,1
2025-11-22,2025-11,Chinese,1,0,8,4,3,2
2025-11-22,2025-11,Math,1,0,8,2,2,1
2025-11-21,2025-11,English,0,0,376,226,196,45
2025-11-21,2025-11,Chinese,0,0,376,163,114,73
2025-11-21,2025-11,Math,0,0,137,88,58,17
2025-11-21,2025-11,English,1,0,55,34,28,6
2025-11-21,2025-11,Chinese,1,0,10,3,2,2
2025-11-21,2025-11,Chinese,1,1,7,2,2,2
2025-11-21,2025-11,Math,1,0,3,2,2,2
2025-11-21,2025-11,Math,1,1,0,0,0,1
2025-11-20,2025-11,English,0,0,308,186,151,31
2025-11-20,2025-11,Chinese,0,0,273,155,110,43
2025-11-20,2025-11,Math,0,0,128,82,48,23
2025-11-20,2025-11,English,1,0,58,44,39,7
2025-11-20,2025-11,Chinese,1,1,9,4,3,4
2025-11-20,2025-11,Chinese,1,0,7,3,1,1
2025-11-19,2025-11,English,0,0,437,228,182,48
2025-11-19,2025-11,Chinese,0,0,213,139,82,39
2025-11-19,2025-11,Math,0,0,118,63,41,2
2025-11-19,2025-11,English,1,0,72,45,38,10
2025-11-19,2025-11,Chinese,1,0,12,6,6,0
2025-11-18,2025-11,English,0,0,275,182,151,27
2025-11-18,2025-11,Chinese,0,0,225,138,95,50
2025-11-18,2025-11,Math,0,0,120,75,48,19
2025-11-18,2025-11,English,1,0,53,36,32,6
2025-11-18,2025-11,Chinese,1,0,11,6,4,1
2025-11-18,2025-11,Chinese,1,1,3,2,2,3
2025-11-18,2025-11,Math,1,0,1,1,0,1
2025-11-18,2025-11,Math,1,1,0,0,0,1
2025-11-17,2025-11,English,0,0,469,228,187,48
2025-11-17,2025-11,Chinese,0,0,419,202,116,72
2025-11-17,2025-11,English,1,0,190,109,93,12
2025-11-17,2025-11,Math,0,0,173,90,59,37
2025-11-17,2025-11,Chinese,1,0,9,4,2,3
2025-11-17,2025-11,Math,1,0,4,2,2,1
2025-11-17,2025-11,Chinese,1,1,5,1,0,2
2025-11-17,2025-11,Math,1,1,0,0,0,1
2025-11-17,2025-11,English,1,1,0,0,0,0
2025-11-16,2025-11,English,1,0,583,384,314,16
2025-11-16,2025-11,Chinese,0,0,440,252,113,70
2025-11-16,2025-11,English,0,0,249,151,129,63
2025-11-16,2025-11,Math,0,0,163,60,40,24
2025-11-16,2025-11,Chinese,1,1,13,11,10,1
2025-11-16,2025-11,Math,1,0,6,2,1,2
2025-11-16,2025-11,Chinese,1,0,6,2,2,5
2025-11-15,2025-11,English,1,0,550,348,305,21
2025-11-15,2025-11,English,0,0,435,199,167,51
2025-11-15,2025-11,Chinese,0,0,291,185,99,63
2025-11-15,2025-11,Math,0,0,136,80,62,21
2025-11-15,2025-11,Chinese,1,0,9,6,4,2
2025-11-15,2025-11,Chinese,1,1,4,3,2,2
2025-11-15,2025-11,English,1,1,0,0,0,1
2025-11-14,2025-11,English,1,0,568,366,304,22
2025-11-14,2025-11,English,0,0,355,202,162,40
2025-11-14,2025-11,Chinese,0,0,949,152,79,69
2025-11-14,2025-11,Math,0,0,107,74,49,13
2025-11-14,2025-11,Chinese,1,1,12,5,4,3
2025-11-14,2025-11,Chinese,1,0,6,5,3,0
2025-11-14,2025-11,Math,1,1,0,0,0,1
2025-11-13,2025-11,English,1,0,610,411,347,19
2025-11-13,2025-11,English,0,0,279,163,146,21
2025-11-13,2025-11,Chinese,0,0,490,154,105,67
2025-11-13,2025-11,Math,0,0,136,95,65,16
2025-11-13,2025-11,Chinese,1,0,7,4,3,2
2025-11-13,2025-11,Chinese,1,1,4,3,3,1
2025-11-13,2025-11,Math,1,0,6,1,1,1
2025-11-13,2025-11,Math,1,1,0,0,0,1
2025-11-12,2025-11,English,1,0,452,275,229,38
2025-11-12,2025-11,English,0,0,332,194,166,52
2025-11-12,2025-11,Chinese,0,0,653,168,123,76
2025-11-12,2025-11,Math,0,0,129,81,46,15
2025-11-12,2025-11,Chinese,1,0,5,4,3,3
2025-11-12,2025-11,Chinese,1,1,10,3,2,2
2025-11-11,2025-11,English,1,0,562,355,309,69
2025-11-11,2025-11,English,0,0,602,310,257,272
2025-11-11,2025-11,Chinese,0,0,348,183,137,339
2025-11-11,2025-11,Math,0,0,150,102,67,89
2025-11-11,2025-11,Chinese,1,1,3,3,3,3
2025-11-11,2025-11,Math,1,0,9,2,2,1
2025-11-11,2025-11,Chinese,1,0,6,2,1,13
2025-11-11,2025-11,English,1,1,0,0,0,0
2025-11-10,2025-11,English,1,0,559,334,279,45
2025-11-10,2025-11,English,0,0,530,257,231,74
2025-11-10,2025-11,Chinese,0,0,478,244,177,130
2025-11-10,2025-11,Math,0,0,208,107,59,42
2025-11-10,2025-11,Chinese,1,0,7,5,3,7
2025-11-10,2025-11,Chinese,1,1,10,4,2,5
2025-11-10,2025-11,Math,1,0,7,1,1,1
2025-11-09,2025-11,English,1,0,528,344,294,33
2025-11-09,2025-11,Chinese,0,0,559,297,179,93
2025-11-09,2025-11,English,0,0,431,207,171,89
2025-11-09,2025-11,Math,0,0,197,82,54,36
2025-11-09,2025-11,Chinese,1,0,12,9,6,2
2025-11-09,2025-11,Chinese,1,1,8,8,6,2
2025-11-09,2025-11,Math,1,0,7,4,2,3
2025-11-09,2025-11,English,1,1,0,0,0,0
2025-11-08,2025-11,Chinese,0,0,1099,358,236,82
2025-11-08,2025-11,English,1,0,484,307,275,22
2025-11-08,2025-11,English,0,0,363,194,172,55
2025-11-08,2025-11,Math,0,0,146,81,52,24
2025-11-08,2025-11,Chinese,1,0,12,8,5,3
2025-11-08,2025-11,Chinese,1,1,5,2,2,2
2025-11-08,2025-11,Math,1,0,5,2,1,1
2025-11-08,2025-11,English,1,1,0,0,0,0
2025-11-07,2025-11,English,1,0,506,323,276,20
2025-11-07,2025-11,Chinese,0,0,346,210,133,66
2025-11-07,2025-11,English,0,0,356,184,162,67
2025-11-07,2025-11,Math,0,0,76,60,46,23
2025-11-07,2025-11,Chinese,1,0,8,6,4,3
2025-11-07,2025-11,Chinese,1,1,8,5,3,1
2025-11-07,2025-11,Math,1,0,8,2,2,0
2025-11-06,2025-11,English,1,0,401,253,209,24
2025-11-06,2025-11,Chinese,0,0,735,244,173,55
2025-11-06,2025-11,English,0,0,293,169,149,51
2025-11-06,2025-11,Math,0,0,128,92,62,13
2025-11-06,2025-11,Chinese,1,0,4,2,0,0
2025-11-06,2025-11,Chinese,1,1,4,1,1,2
2025-11-05,2025-11,English,1,0,459,318,273,33
2025-11-05,2025-11,English,0,0,389,196,170,48
2025-11-05,2025-11,Chinese,0,0,209,116,82,27
2025-11-05,2025-11,Math,0,0,97,66,43,9
2025-11-05,2025-11,Chinese,1,0,6,4,3,1
2025-11-05,2025-11,Chinese,1,1,6,4,3,0
2025-11-05,2025-11,English,1,1,0,0,0,0
2025-11-04,2025-11,English,1,0,417,272,242,14
2025-11-04,2025-11,English,0,0,378,196,164,42
2025-11-04,2025-11,Chinese,0,0,299,186,117,75
2025-11-04,2025-11,Math,0,0,117,78,52,12
2025-11-04,2025-11,Chinese,1,0,13,9,5,2
2025-11-04,2025-11,Chinese,1,1,6,5,3,1
2025-11-04,2025-11,Math,1,0,4,3,1,0
2025-11-04,2025-11,English,1,1,0,0,0,0
2025-11-03,2025-11,English,1,0,592,372,328,43
2025-11-03,2025-11,English,0,0,533,201,181,65
2025-11-03,2025-11,Chinese,0,0,362,197,123,75
2025-11-03,2025-11,Math,0,0,145,79,54,29
2025-11-03,2025-11,Chinese,1,0,9,4,4,0
2025-11-03,2025-11,Chinese,1,1,11,3,2,1
2025-11-03,2025-11,Math,1,0,3,2,0,2
2025-11-03,2025-11,English,1,1,0,0,0,1
2025-11-02,2025-11,English,1,0,425,290,243,45
2025-11-02,2025-11,Chinese,0,0,576,267,167,65
2025-11-02,2025-11,English,0,0,241,151,131,89
2025-11-02,2025-11,Math,0,0,152,62,48,12
2025-11-02,2025-11,Chinese,1,1,9,6,6,3
2025-11-02,2025-11,Chinese,1,0,7,3,1,1
2025-11-02,2025-11,Math,1,0,6,2,1,1
2025-11-01,2025-11,Chinese,0,0,468,214,128,57
2025-11-01,2025-11,English,1,0,326,211,179,32
2025-11-01,2025-11,English,0,0,262,177,149,95
2025-11-01,2025-11,Math,0,0,92,49,33,28
2025-11-01,2025-11,Chinese,1,0,10,6,4,2
2025-11-01,2025-11,Math,1,0,7,2,1,2
2025-11-01,2025-11,Chinese,1,1,5,1,1,3
2025-10-31,2025-10,English,1,0,477,320,270,26
2025-10-31,2025-10,English,0,0,317,198,174,58
2025-10-31,2025-10,Chinese,0,0,212,118,82,55
2025-10-31,2025-10,Math,0,0,66,55,36,15
2025-10-31,2025-10,Chinese,1,0,7,4,3,2
2025-10-31,2025-10,Chinese,1,1,7,2,2,6
2025-10-31,2025-10,English,1,1,0,0,0,1
2025-10-30,2025-10,English,1,0,460,305,262,17
2025-10-30,2025-10,English,0,0,362,209,186,51
2025-10-30,2025-10,Chinese,0,0,220,141,91,65
2025-10-30,2025-10,Math,0,0,67,55,36,25
2025-10-30,2025-10,Chinese,1,0,10,7,2,0
2025-10-30,2025-10,Chinese,1,1,4,2,0,0
2025-10-29,2025-10,English,1,0,482,325,287,21
2025-10-29,2025-10,English,0,0,296,168,149,68
2025-10-29,2025-10,Chinese,0,0,162,93,64,30
2025-10-29,2025-10,Math,0,0,135,65,44,15
2025-10-29,2025-10,Chinese,1,0,7,5,4,0
2025-10-29,2025-10,Math,1,0,2,2,1,1
2025-10-29,2025-10,Chinese,1,1,6,2,2,3
2025-10-29,2025-10,English,1,1,0,0,0,1
2025-10-28,2025-10,English,1,0,493,345,299,24
2025-10-28,2025-10,English,0,0,285,160,146,54
2025-10-28,2025-10,Chinese,0,0,209,113,88,50
2025-10-28,2025-10,Math,0,0,147,72,42,20
2025-10-28,2025-10,Chinese,1,1,5,5,3,2
2025-10-28,2025-10,Chinese,1,0,5,3,2,2
2025-10-28,2025-10,Math,1,0,2,1,0,2
2025-10-28,2025-10,English,1,1,0,0,0,0
2025-10-27,2025-10,English,1,0,583,402,345,30
2025-10-27,2025-10,Chinese,0,0,535,222,135,52
2025-10-27,2025-10,English,0,0,493,219,183,47
2025-10-27,2025-10,Math,0,0,143,75,49,20
2025-10-27,2025-10,Chinese,1,0,6,3,1,2
2025-10-27,2025-10,Chinese,1,1,6,3,1,1
2025-10-26,2025-10,English,1,0,516,337,294,43
2025-10-26,2025-10,Chinese,0,0,667,264,150,71
2025-10-26,2025-10,English,0,0,305,173,155,116
2025-10-26,2025-10,Math,0,0,138,71,50,24
2025-10-26,2025-10,Chinese,1,0,14,6,5,4
2025-10-26,2025-10,Chinese,1,1,9,3,2,1
2025-10-26,2025-10,English,1,1,0,0,0,0
2025-10-25,2025-10,English,1,0,452,307,258,52
2025-10-25,2025-10,Chinese,0,0,314,180,103,68
2025-10-25,2025-10,English,0,0,345,177,159,139
2025-10-25,2025-10,Math,0,0,114,66,48,26
2025-10-25,2025-10,Chinese,1,0,8,4,4,3
2025-10-25,2025-10,Chinese,1,1,8,4,4,1
2025-10-25,2025-10,Math,1,0,2,1,1,1
2025-10-25,2025-10,English,1,1,0,0,0,1
2025-10-25,2025-10,Math,1,1,0,0,0,1
2025-10-24,2025-10,English,1,0,446,301,244,17
2025-10-24,2025-10,English,0,0,473,206,156,30
2025-10-24,2025-10,Chinese,0,0,168,114,73,50
2025-10-24,2025-10,Math,0,0,103,72,53,27
2025-10-24,2025-10,Chinese,1,0,13,8,5,1
2025-10-24,2025-10,Chinese,1,1,8,6,6,2
2025-10-24,2025-10,English,1,1,0,0,0,1
2025-10-23,2025-10,English,1,0,568,392,327,13
2025-10-23,2025-10,English,0,0,477,222,178,28
2025-10-23,2025-10,Chinese,0,0,226,143,104,43
2025-10-23,2025-10,Math,0,0,129,82,50,22
2025-10-23,2025-10,Chinese,1,0,10,9,7,1
2025-10-23,2025-10,Chinese,1,1,2,2,2,2
2025-10-23,2025-10,Math,1,0,1,0,0,1
2025-10-23,2025-10,Math,1,1,0,0,0,0
2025-10-22,2025-10,English,1,0,467,316,253,12
2025-10-22,2025-10,English,0,0,303,183,140,49
2025-10-22,2025-10,Chinese,0,0,181,119,83,10
2025-10-22,2025-10,Math,0,0,136,73,48,8
2025-10-22,2025-10,Math,1,0,4,3,2,0
2025-10-22,2025-10,Chinese,1,0,6,1,0,2
2025-10-22,2025-10,Chinese,1,1,2,0,0,1
2025-10-21,2025-10,English,1,0,512,346,288,20
2025-10-21,2025-10,English,0,0,298,193,166,48
2025-10-21,2025-10,Chinese,0,0,212,106,67,38
2025-10-21,2025-10,Math,0,0,126,73,45,20
2025-10-21,2025-10,Chinese,1,0,6,3,2,1
2025-10-21,2025-10,Chinese,1,1,5,3,3,1
2025-10-21,2025-10,English,1,1,1,1,0,1
2025-10-21,2025-10,Math,1,1,0,0,0,1
2025-10-20,2025-10,English,1,0,625,377,312,17
2025-10-20,2025-10,English,0,0,307,182,159,49
2025-10-20,2025-10,Chinese,0,0,285,161,108,49
2025-10-20,2025-10,Math,0,0,126,71,42,15
2025-10-20,2025-10,Chinese,1,0,9,3,3,2
2025-10-20,2025-10,Math,1,0,6,2,2,1
2025-10-20,2025-10,Chinese,1,1,6,1,1,1
2025-10-20,2025-10,Math,1,1,0,0,0,1
2025-10-19,2025-10,English,1,0,508,316,263,30
2025-10-19,2025-10,Chinese,0,0,468,242,137,51
2025-10-19,2025-10,English,0,0,273,143,124,51
2025-10-19,2025-10,Math,0,0,121,69,38,29
2025-10-19,2025-10,Chinese,1,0,11,10,8,5
2025-10-19,2025-10,Chinese,1,1,7,3,3,1
2025-10-18,2025-10,English,1,0,527,319,273,24
2025-10-18,2025-10,English,0,0,570,203,169,55
2025-10-18,2025-10,Chinese,0,0,268,169,84,51
2025-10-18,2025-10,Math,0,0,131,67,38,19
2025-10-18,2025-10,Chinese,1,0,15,4,3,3
2025-10-18,2025-10,Chinese,1,1,8,3,3,2
2025-10-18,2025-10,Math,1,0,1,1,1,0
2025-10-17,2025-10,English,1,0,532,340,280,14
2025-10-17,2025-10,English,0,0,377,227,198,82
2025-10-17,2025-10,Chinese,0,0,164,109,74,47
2025-10-17,2025-10,Math,0,0,126,80,58,18
2025-10-17,2025-10,Chinese,1,1,10,5,3,2
2025-10-17,2025-10,Math,1,0,4,3,1,1
2025-10-17,2025-10,Chinese,0,0,1,1,1,47
2025-10-17,2025-10,Chinese,1,0,2,1,1,2
2025-10-16,2025-10,English,1,0,458,287,241,23
2025-10-16,2025-10,English,0,0,326,190,166,37
2025-10-16,2025-10,Chinese,0,0,197,111,83,43
2025-10-16,2025-10,Math,0,0,109,66,48,17
2025-10-16,2025-10,Chinese,1,0,8,5,4,1
2025-10-16,2025-10,Chinese,1,1,14,4,2,2
2025-10-16,2025-10,Math,1,0,14,2,1,1
2025-10-16,2025-10,English,1,1,1,1,1,1
2025-10-15,2025-10,English,1,0,507,299,256,19
2025-10-15,2025-10,English,0,0,329,210,184,69
2025-10-15,2025-10,Chinese,0,0,197,94,59,25
2025-10-15,2025-10,Math,0,0,92,58,44,11
2025-10-15,2025-10,Math,1,0,5,4,3,0
2025-10-15,2025-10,Chinese,1,1,9,3,2,1
2025-10-15,2025-10,Chinese,1,0,3,1,1,3
2025-10-15,2025-10,English,1,1,0,0,0,0
2025-10-14,2025-10,English,1,0,507,274,237,7
2025-10-14,2025-10,English,0,0,324,206,170,29
2025-10-14,2025-10,Chinese,0,0,225,131,88,51
2025-10-14,2025-10,Math,0,0,130,79,53,18
2025-10-14,2025-10,Chinese,1,1,11,6,5,0
2025-10-14,2025-10,Chinese,1,0,6,2,1,0
2025-10-14,2025-10,Math,1,0,4,1,1,1
